,#node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score,lifespan_x,lifespan_y,edgetype
35,Rps6kb1,Mtor,2112781,2110226,10090.ENSMUSP00000119715,10090.ENSMUSP00000099510,0.0,0.0,0.0,0.0,0.055999999999999994,0.8420000000000001,0.95,0.98,0.9990000000000001,extened,,
36,Ndc80,Aurkb,2096108,2095125,10090.ENSMUSP00000024851,10090.ENSMUSP00000021277,0.0,0.0,0.0,0.0,0.8320000000000001,0.395,0.95,0.8540000000000001,0.9990000000000001,,,
37,Insr,Irs1,2108203,2104432,10090.ENSMUSP00000088837,10090.ENSMUSP00000063795,0.0,0.0,0.0,0.0,0.0,0.754,0.883,0.987,0.9990000000000001,extened,extened,extened;extened
38,Mcat,Oxsm,2102400,2095461,10090.ENSMUSP00000051569,10090.ENSMUSP00000022311,0.318,0.0,0.512,0.0,0.841,0.517,0.946,0.64,0.9990000000000001,extened,,
39,Mcat,Acaca,2102400,2094986,10090.ENSMUSP00000051569,10090.ENSMUSP00000020843,0.777,0.0,0.0,0.0,0.868,0.249,0.9670000000000001,0.6729999999999999,0.9990000000000001,extened,,
40,Mad2l1,Aurkb,2110075,2095125,10090.ENSMUSP00000098897,10090.ENSMUSP00000021277,0.0,0.0,0.0,0.0,0.897,0.914,0.9,0.65,0.9990000000000001,,,
41,Bub1b,Cdk1,2099749,2094764,10090.ENSMUSP00000037126,10090.ENSMUSP00000020099,0.0,0.0,0.0,0.0,0.8079999999999999,0.6809999999999999,0.95,0.787,0.9990000000000001,reduced,,
42,Grb2,Egfr,2095072,2094834,10090.ENSMUSP00000021090,10090.ENSMUSP00000020329,0.0,0.0,0.0,0.0,0.0,0.685,0.95,0.945,0.9990000000000001,,,
43,Cdca8,Birc5,2107296,2106931,10090.ENSMUSP00000081319,10090.ENSMUSP00000079124,0.0,0.0,0.0,0.0,0.857,0.7040000000000001,0.95,0.784,0.9990000000000001,,,
44,Mcat,Acacb,2102400,2098236,10090.ENSMUSP00000051569,10090.ENSMUSP00000031583,0.777,0.0,0.0,0.0,0.868,0.249,0.9670000000000001,0.659,0.9990000000000001,extened,,
45,Mlst8,Rictor,2104608,2102432,10090.ENSMUSP00000065004,10090.ENSMUSP00000051809,0.0,0.0,0.0,0.0,0.076,0.889,0.95,0.941,0.9990000000000001,,,
46,Mapkap1,Mtor,2111755,2110226,10090.ENSMUSP00000108751,10090.ENSMUSP00000099510,0.0,0.0,0.0,0.0,0.052000000000000005,0.895,0.95,0.861,0.9990000000000001,,,
47,Shc1,Grb2,2108594,2095072,10090.ENSMUSP00000091940,10090.ENSMUSP00000021090,0.0,0.0,0.0,0.0,0.054000000000000006,0.912,0.9009999999999999,0.9840000000000001,0.9990000000000001,extened,,
48,Bub1b,Aurkb,2099749,2095125,10090.ENSMUSP00000037126,10090.ENSMUSP00000021277,0.0,0.0,0.0,0.0,0.897,0.912,0.9,0.8240000000000001,0.9990000000000001,reduced,,
49,Ccna2,Cdk2,2097462,2096601,10090.ENSMUSP00000029270,10090.ENSMUSP00000026416,0.0,0.01,0.0,0.0,0.465,0.983,0.95,0.9059999999999999,0.9990000000000001,,,
50,Hlcs,Acaca,2109622,2094986,10090.ENSMUSP00000097112,10090.ENSMUSP00000020843,0.777,0.0,0.0,0.0,0.679,0.787,0.9,0.665,0.9990000000000001,,,
51,Trp53,Mdm2,2111141,2094859,10090.ENSMUSP00000104298,10090.ENSMUSP00000020408,0.0,0.0,0.0,0.0,0.16699999999999998,0.772,0.95,0.982,0.9990000000000001,,,
52,Hlcs,Acacb,2109622,2098236,10090.ENSMUSP00000097112,10090.ENSMUSP00000031583,0.777,0.0,0.0,0.0,0.679,0.787,0.9,0.659,0.9990000000000001,,,
53,Cdk2,Cdkn1a,2096601,2095964,10090.ENSMUSP00000026416,10090.ENSMUSP00000023829,0.0,0.0,0.0,0.0,0.0,0.6609999999999999,0.95,0.9259999999999999,0.998,,,
54,Tsc2,Akt1,2109084,2093284,10090.ENSMUSP00000094986,10090.ENSMUSP00000001780,0.0,0.0,0.0,0.0,0.09,0.40700000000000003,0.95,0.95,0.998,,,
55,Mlst8,Rptor,2104608,2096691,10090.ENSMUSP00000065004,10090.ENSMUSP00000026671,0.0,0.0,0.0,0.0,0.0,0.679,0.9009999999999999,0.9470000000000001,0.998,,,
56,Ccnb1,Cdk2,2105622,2096601,10090.ENSMUSP00000071989,10090.ENSMUSP00000026416,0.0,0.0,0.0,0.0,0.8690000000000001,0.934,0.528,0.7340000000000001,0.998,,,
57,Ccnb2,Ccna2,2099229,2097462,10090.ENSMUSP00000034742,10090.ENSMUSP00000029270,0.0,0.0,0.0,0.755,0.987,0.7759999999999999,0.379,0.807,0.998,,,
58,Atm,Rad17,2112380,2095404,10090.ENSMUSP00000113388,10090.ENSMUSP00000022136,0.0,0.0,0.0,0.0,0.145,0.773,0.95,0.857,0.998,reduced,,
59,Anapc10,Cdc16,2101817,2101759,10090.ENSMUSP00000048244,10090.ENSMUSP00000047950,0.0,0.0,0.0,0.0,0.09300000000000001,0.963,0.9,0.5589999999999999,0.998,,,
60,Atm,H2afx,2112380,2102373,10090.ENSMUSP00000113388,10090.ENSMUSP00000051432,0.0,0.0,0.0,0.0,0.0,0.545,0.95,0.9440000000000001,0.998,reduced,,
61,Cbl,Egfr,2100642,2094834,10090.ENSMUSP00000041902,10090.ENSMUSP00000020329,0.0,0.0,0.0,0.0,0.0,0.845,0.95,0.818,0.998,,,
62,Ccnb1,Ccna2,2105622,2097462,10090.ENSMUSP00000071989,10090.ENSMUSP00000029270,0.0,0.0,0.0,0.7609999999999999,0.986,0.7759999999999999,0.379,0.856,0.998,,,
63,Cenpa,Aurkb,2112931,2095125,10090.ENSMUSP00000122831,10090.ENSMUSP00000021277,0.0,0.0,0.0,0.0,0.657,0.401,0.95,0.873,0.998,,,
64,Bub1,Ndc80,2097328,2096108,10090.ENSMUSP00000028858,10090.ENSMUSP00000024851,0.0,0.0,0.0,0.0,0.883,0.8290000000000001,0.72,0.78,0.998,,,
65,Bub1b,Plk1,2099749,2098695,10090.ENSMUSP00000037126,10090.ENSMUSP00000033154,0.0,0.0,0.0,0.0,0.7759999999999999,0.111,0.95,0.823,0.998,reduced,,
66,Kif2c,Aurkb,2104499,2095125,10090.ENSMUSP00000064261,10090.ENSMUSP00000021277,0.0,0.0,0.0,0.0,0.7140000000000001,0.115,0.95,0.8590000000000001,0.998,,,
67,Bub1b,Bub1,2099749,2097328,10090.ENSMUSP00000037126,10090.ENSMUSP00000028858,0.0,0.0,0.0,0.617,0.75,0.965,0.72,0.8640000000000001,0.998,reduced,,
68,Bub3,Mad1l1,2107328,2098220,10090.ENSMUSP00000081547,10090.ENSMUSP00000031534,0.0,0.0,0.0,0.0,0.14,0.963,0.9,0.6809999999999999,0.998,,,
69,Bub1b,Mad1l1,2099749,2098220,10090.ENSMUSP00000037126,10090.ENSMUSP00000031534,0.0,0.0,0.0,0.0,0.063,0.963,0.9,0.636,0.998,reduced,,
70,Ccnb1,Plk1,2105622,2098695,10090.ENSMUSP00000071989,10090.ENSMUSP00000033154,0.0,0.0,0.0,0.0,0.9470000000000001,0.34,0.9,0.7240000000000001,0.998,,,
71,Lcp2,Grb2,2113352,2095072,10090.ENSMUSP00000126796,10090.ENSMUSP00000021090,0.0,0.0,0.0,0.0,0.046,0.83,0.95,0.8,0.998,,,
72,Bub3,Cdc20,2107328,2093817,10090.ENSMUSP00000081547,10090.ENSMUSP00000006565,0.0,0.0,0.0,0.0,0.17,0.752,0.9,0.929,0.998,,,
73,Cdca8,Aurkb,2107296,2095125,10090.ENSMUSP00000081319,10090.ENSMUSP00000021277,0.0,0.0,0.0,0.0,0.84,0.111,0.95,0.855,0.998,,,
74,Cdc27,Anapc10,2108514,2101817,10090.ENSMUSP00000091452,10090.ENSMUSP00000048244,0.0,0.0,0.0,0.0,0.195,0.9670000000000001,0.9,0.547,0.998,,,
75,Pten,Akt1,2094170,2093284,10090.ENSMUSP00000013807,10090.ENSMUSP00000001780,0.0,0.0,0.0,0.0,0.068,0.409,0.8,0.986,0.998,,,
76,Cdc27,Anapc1,2108514,2094204,10090.ENSMUSP00000091452,10090.ENSMUSP00000014499,0.0,0.0,0.0,0.0,0.19699999999999998,0.9590000000000001,0.9,0.682,0.998,,,
77,Anapc10,Cdc20,2101817,2093817,10090.ENSMUSP00000048244,10090.ENSMUSP00000006565,0.0,0.0,0.0,0.0,0.16,0.972,0.9,0.498,0.998,,,
78,Bcl2,Trp53,2111690,2111141,10090.ENSMUSP00000108371,10090.ENSMUSP00000104298,0.0,0.0,0.0,0.0,0.0,0.20199999999999999,0.9009999999999999,0.981,0.998,,,
79,Rps6kb1,Rps6,2112781,2110399,10090.ENSMUSP00000119715,10090.ENSMUSP00000099878,0.0,0.0,0.0,0.0,0.047,0.746,0.95,0.86,0.998,extened,,
80,Ccnb1,Cdc20,2105622,2093817,10090.ENSMUSP00000071989,10090.ENSMUSP00000006565,0.0,0.0,0.0,0.0,0.879,0.6940000000000001,0.9,0.752,0.998,,,
81,Ttk,Bub1b,2104584,2099749,10090.ENSMUSP00000064839,10090.ENSMUSP00000037126,0.0,0.0,0.0,0.0,0.852,0.965,0.0,0.6609999999999999,0.998,,reduced,
82,Cdc27,Bub1b,2108514,2099749,10090.ENSMUSP00000091452,10090.ENSMUSP00000037126,0.0,0.0,0.0,0.0,0.124,0.965,0.9,0.479,0.998,,reduced,
83,Atm,Mre11a,2112380,2099107,10090.ENSMUSP00000113388,10090.ENSMUSP00000034405,0.0,0.0,0.0,0.0,0.11900000000000001,0.555,0.95,0.938,0.998,reduced,,
84,Acly,Acacb,2110942,2098236,10090.ENSMUSP00000103012,10090.ENSMUSP00000031583,0.379,0.0,0.0,0.0,0.956,0.065,0.8,0.8140000000000001,0.998,,,
85,Cdc16,Cdc20,2101759,2093817,10090.ENSMUSP00000047950,10090.ENSMUSP00000006565,0.0,0.0,0.0,0.0,0.10300000000000001,0.943,0.9,0.708,0.998,,,
86,Ube2c,Cdc20,2107801,2093817,10090.ENSMUSP00000085581,10090.ENSMUSP00000006565,0.0,0.0,0.0,0.0,0.8240000000000001,0.7759999999999999,0.9,0.629,0.998,,,
87,Aurka,Cdc20,2097382,2093817,10090.ENSMUSP00000028997,10090.ENSMUSP00000006565,0.0,0.0,0.0,0.0,0.889,0.111,0.9,0.846,0.998,,,
88,Mtor,Rheb,2110226,2097962,10090.ENSMUSP00000099510,10090.ENSMUSP00000030787,0.0,0.0,0.0,0.0,0.049,0.39399999999999996,0.95,0.943,0.998,,,
89,Atm,Chek2,2112380,2104828,10090.ENSMUSP00000113388,10090.ENSMUSP00000066679,0.0,0.0,0.0,0.0,0.054000000000000006,0.365,0.95,0.965,0.998,reduced,,
90,Trp53,Pten,2111141,2094170,10090.ENSMUSP00000104298,10090.ENSMUSP00000013807,0.0,0.0,0.0,0.0,0.0,0.545,0.95,0.92,0.998,,,
91,Bub1,Aurkb,2097328,2095125,10090.ENSMUSP00000028858,10090.ENSMUSP00000021277,0.0,0.0,0.0,0.0,0.795,0.9109999999999999,0.528,0.805,0.998,,,
92,Cenpe,Bub1b,2103478,2099749,10090.ENSMUSP00000057938,10090.ENSMUSP00000037126,0.0,0.0,0.0,0.0,0.655,0.596,0.9,0.882,0.998,,reduced,
93,Aurkb,Cdc20,2095125,2093817,10090.ENSMUSP00000021277,10090.ENSMUSP00000006565,0.0,0.0,0.0,0.0,0.897,0.111,0.9,0.861,0.998,,,
94,Insr,Irs2,2108203,2100009,10090.ENSMUSP00000088837,10090.ENSMUSP00000038514,0.0,0.0,0.0,0.0,0.0,0.5770000000000001,0.95,0.941,0.998,extened,extened,extened;extened
95,Bub3,Aurkb,2107328,2095125,10090.ENSMUSP00000081547,10090.ENSMUSP00000021277,0.0,0.0,0.0,0.0,0.369,0.91,0.9,0.784,0.998,,,
96,Ccnb2,Cdc20,2099229,2093817,10090.ENSMUSP00000034742,10090.ENSMUSP00000006565,0.0,0.0,0.0,0.0,0.8809999999999999,0.6940000000000001,0.9,0.711,0.998,,,
97,Bub1b,Anapc1,2099749,2094204,10090.ENSMUSP00000037126,10090.ENSMUSP00000014499,0.0,0.0,0.0,0.0,0.075,0.965,0.9,0.384,0.997,reduced,,
98,Trp53,Cdkn1a,2111141,2095964,10090.ENSMUSP00000104298,10090.ENSMUSP00000023829,0.0,0.0,0.0,0.0,0.0,0.528,0.9009999999999999,0.958,0.997,,,
99,Mdm4,Mdm2,2105341,2094859,10090.ENSMUSP00000070411,10090.ENSMUSP00000020408,0.0,0.0,0.0,0.7709999999999999,0.051,0.932,0.95,0.8009999999999999,0.997,,,
100,Cdc16,Bub1b,2101759,2099749,10090.ENSMUSP00000047950,10090.ENSMUSP00000037126,0.0,0.0,0.0,0.0,0.165,0.965,0.9,0.375,0.997,,reduced,
101,Ccnb1,Aurkb,2105622,2095125,10090.ENSMUSP00000071989,10090.ENSMUSP00000021277,0.0,0.0,0.0,0.0,0.9109999999999999,0.17,0.9,0.6509999999999999,0.997,,,
102,Cdc16,Anapc1,2101759,2094204,10090.ENSMUSP00000047950,10090.ENSMUSP00000014499,0.0,0.0,0.0,0.0,0.152,0.924,0.9,0.682,0.997,,,
103,Bub1,Cdc20,2097328,2093817,10090.ENSMUSP00000028858,10090.ENSMUSP00000006565,0.0,0.0,0.0,0.0,0.767,0.815,0.0,0.94,0.997,,,
104,Trp53,Ep300,2111141,2104849,10090.ENSMUSP00000104298,10090.ENSMUSP00000066789,0.0,0.0,0.0,0.0,0.0,0.8909999999999999,0.95,0.653,0.997,,,
105,Atm,Chek1,2112380,2099199,10090.ENSMUSP00000113388,10090.ENSMUSP00000034625,0.0,0.0,0.0,0.0,0.05,0.174,0.95,0.9420000000000001,0.997,reduced,,
106,Kl,Fgf23,2106690,2093067,10090.ENSMUSP00000077899,10090.ENSMUSP00000000186,0.0,0.0,0.0,0.0,0.0,0.064,0.95,0.9470000000000001,0.997,reduced,,
107,Plk1,Aurkb,2098695,2095125,10090.ENSMUSP00000033154,10090.ENSMUSP00000021277,0.0,0.0,0.0,0.78,0.863,0.616,0.9359999999999999,0.813,0.997,,,
108,Cdc27,Cdc16,2108514,2101759,10090.ENSMUSP00000091452,10090.ENSMUSP00000047950,0.0,0.0,0.0,0.62,0.16,0.9640000000000001,0.9,0.9229999999999999,0.997,,,
109,Birc5,Cdk1,2106931,2094764,10090.ENSMUSP00000079124,10090.ENSMUSP00000020099,0.0,0.0,0.0,0.0,0.8859999999999999,0.111,0.9,0.76,0.997,,,
110,Ttk,Bub1,2104584,2097328,10090.ENSMUSP00000064839,10090.ENSMUSP00000028858,0.0,0.0,0.0,0.0,0.8009999999999999,0.9640000000000001,0.0,0.6829999999999999,0.997,,,
111,Ccnb2,Plk1,2099229,2098695,10090.ENSMUSP00000034742,10090.ENSMUSP00000033154,0.0,0.0,0.0,0.0,0.9,0.34,0.9,0.662,0.997,,,
112,Atm,Trp53,2112380,2111141,10090.ENSMUSP00000113388,10090.ENSMUSP00000104298,0.0,0.0,0.0,0.0,0.0,0.43200000000000005,0.95,0.9229999999999999,0.997,reduced,,
113,Cdca8,Incenp,2107296,2096332,10090.ENSMUSP00000081319,10090.ENSMUSP00000025562,0.0,0.0,0.0,0.0,0.713,0.10800000000000001,0.95,0.8390000000000001,0.997,,,
114,Rictor,Akt1,2102432,2093284,10090.ENSMUSP00000051809,10090.ENSMUSP00000001780,0.0,0.0,0.0,0.0,0.091,0.585,0.95,0.883,0.997,,,
115,Anapc10,Bub1b,2101817,2099749,10090.ENSMUSP00000048244,10090.ENSMUSP00000037126,0.0,0.0,0.0,0.0,0.17,0.965,0.9,0.10099999999999999,0.997,,reduced,
116,Mad2l1,Cdk1,2110075,2094764,10090.ENSMUSP00000098897,10090.ENSMUSP00000020099,0.0,0.0,0.0,0.0,0.929,0.157,0.9,0.621,0.997,,,
117,Mad2l1,Cdc16,2110075,2101759,10090.ENSMUSP00000098897,10090.ENSMUSP00000047950,0.0,0.0,0.0,0.0,0.10400000000000001,0.955,0.9,0.455,0.997,,,
118,Trp53,Cdk2,2111141,2096601,10090.ENSMUSP00000104298,10090.ENSMUSP00000026416,0.0,0.0,0.0,0.0,0.052000000000000005,0.544,0.95,0.889,0.997,,,
119,Mad2l1,Ccnb1,2110075,2105622,10090.ENSMUSP00000098897,10090.ENSMUSP00000071989,0.0,0.0,0.0,0.0,0.898,0.115,0.9,0.613,0.996,,,
120,Shc1,Egfr,2108594,2094834,10090.ENSMUSP00000091940,10090.ENSMUSP00000020329,0.0,0.0,0.0,0.0,0.0,0.6659999999999999,0.9009999999999999,0.914,0.996,extened,,
121,Birc5,Plk1,2106931,2098695,10090.ENSMUSP00000079124,10090.ENSMUSP00000033154,0.0,0.0,0.0,0.0,0.857,0.071,0.9,0.7909999999999999,0.996,,,
122,Aurkb,Cdk1,2095125,2094764,10090.ENSMUSP00000021277,10090.ENSMUSP00000020099,0.0,0.0,0.41100000000000003,0.7509999999999999,0.925,0.319,0.9,0.8240000000000001,0.996,,,
123,Ccnb2,Aurkb,2099229,2095125,10090.ENSMUSP00000034742,10090.ENSMUSP00000021277,0.0,0.0,0.0,0.0,0.897,0.17,0.9,0.608,0.996,,,
124,Aurka,Incenp,2097382,2096332,10090.ENSMUSP00000028997,10090.ENSMUSP00000025562,0.0,0.0,0.0,0.0,0.81,0.88,0.39299999999999996,0.76,0.996,,,
125,Bub1b,Aurka,2099749,2097382,10090.ENSMUSP00000037126,10090.ENSMUSP00000028997,0.0,0.0,0.0,0.0,0.883,0.912,0.0,0.725,0.996,reduced,,
126,Acacb,Oxsm,2098236,2095461,10090.ENSMUSP00000031583,10090.ENSMUSP00000022311,0.777,0.0,0.0,0.0,0.863,0.295,0.619,0.659,0.996,,,
127,Bub1b,Ndc80,2099749,2096108,10090.ENSMUSP00000037126,10090.ENSMUSP00000024851,0.0,0.0,0.0,0.0,0.879,0.106,0.9,0.7070000000000001,0.996,reduced,,
128,Plk1,Aurka,2098695,2097382,10090.ENSMUSP00000033154,10090.ENSMUSP00000028997,0.0,0.0,0.0,0.743,0.77,0.616,0.95,0.8909999999999999,0.996,,,
129,Ccnb2,Cdk2,2099229,2096601,10090.ENSMUSP00000034742,10090.ENSMUSP00000026416,0.0,0.0,0.0,0.0,0.861,0.8640000000000001,0.528,0.6729999999999999,0.996,,,
130,Ttk,Mad1l1,2104584,2098220,10090.ENSMUSP00000064839,10090.ENSMUSP00000031534,0.0,0.0,0.0,0.0,0.111,0.965,0.8,0.555,0.996,,,
131,Mad2l1,Ttk,2110075,2104584,10090.ENSMUSP00000098897,10090.ENSMUSP00000064839,0.0,0.0,0.0,0.0,0.745,0.965,0.0,0.627,0.996,,,
132,Chek2,H2afx,2104828,2102373,10090.ENSMUSP00000066679,10090.ENSMUSP00000051432,0.0,0.0,0.0,0.0,0.091,0.113,0.95,0.9129999999999999,0.996,,,
133,Oxsm,Acaca,2095461,2094986,10090.ENSMUSP00000022311,10090.ENSMUSP00000020843,0.777,0.0,0.0,0.0,0.863,0.295,0.619,0.6759999999999999,0.996,,,
134,Birc5,Aurka,2106931,2097382,10090.ENSMUSP00000079124,10090.ENSMUSP00000028997,0.0,0.0,0.0,0.0,0.8390000000000001,0.42100000000000004,0.773,0.8540000000000001,0.996,,,
135,Ccnb1,Bub1b,2105622,2099749,10090.ENSMUSP00000071989,10090.ENSMUSP00000037126,0.0,0.0,0.0,0.0,0.856,0.1,0.95,0.5,0.996,,reduced,
136,Anapc10,Anapc1,2101817,2094204,10090.ENSMUSP00000048244,10090.ENSMUSP00000014499,0.0,0.0,0.0,0.0,0.049,0.917,0.9,0.595,0.996,,,
137,Aurka,Bub1,2097382,2097328,10090.ENSMUSP00000028997,10090.ENSMUSP00000028858,0.0,0.0,0.0,0.0,0.715,0.9109999999999999,0.39299999999999996,0.768,0.995,,,
138,Rheb,Rptor,2097962,2096691,10090.ENSMUSP00000030787,10090.ENSMUSP00000026671,0.0,0.0,0.0,0.0,0.069,0.5539999999999999,0.9009999999999999,0.898,0.995,,,
139,Irs1,Igf1r,2104432,2093723,10090.ENSMUSP00000063795,10090.ENSMUSP00000005671,0.0,0.0,0.0,0.0,0.0,0.733,0.883,0.875,0.995,extened,extened,extened;extened
