#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Trp53	Pten	2111141	2094170	10090.ENSMUSP00000104298	10090.ENSMUSP00000013807	0	0	0	0	0	0.545	0.95	0.92	0.998
Bub1	Aurkb	2097328	2095125	10090.ENSMUSP00000028858	10090.ENSMUSP00000021277	0	0	0	0	0.795	0.911	0.528	0.805	0.998
Cenpe	Bub1b	2103478	2099749	10090.ENSMUSP00000057938	10090.ENSMUSP00000037126	0	0	0	0	0.655	0.596	0.9	0.882	0.998
Aurkb	Cdc20	2095125	2093817	10090.ENSMUSP00000021277	10090.ENSMUSP00000006565	0	0	0	0	0.897	0.111	0.9	0.861	0.998
Insr	Irs2	2108203	2100009	10090.ENSMUSP00000088837	10090.ENSMUSP00000038514	0	0	0	0	0	0.577	0.95	0.941	0.998
Bub3	Aurkb	2107328	2095125	10090.ENSMUSP00000081547	10090.ENSMUSP00000021277	0	0	0	0	0.369	0.91	0.9	0.784	0.998
Ccnb2	Cdc20	2099229	2093817	10090.ENSMUSP00000034742	10090.ENSMUSP00000006565	0	0	0	0	0.881	0.694	0.9	0.711	0.998
Bub1b	Anapc1	2099749	2094204	10090.ENSMUSP00000037126	10090.ENSMUSP00000014499	0	0	0	0	0.075	0.965	0.9	0.384	0.997
Trp53	Cdkn1a	2111141	2095964	10090.ENSMUSP00000104298	10090.ENSMUSP00000023829	0	0	0	0	0	0.528	0.901	0.958	0.997
Mdm4	Mdm2	2105341	2094859	10090.ENSMUSP00000070411	10090.ENSMUSP00000020408	0	0	0	0.771	0.051	0.932	0.95	0.801	0.997
Cdc16	Bub1b	2101759	2099749	10090.ENSMUSP00000047950	10090.ENSMUSP00000037126	0	0	0	0	0.165	0.965	0.9	0.375	0.997
Ccnb1	Aurkb	2105622	2095125	10090.ENSMUSP00000071989	10090.ENSMUSP00000021277	0	0	0	0	0.911	0.17	0.9	0.651	0.997
Cdc16	Anapc1	2101759	2094204	10090.ENSMUSP00000047950	10090.ENSMUSP00000014499	0	0	0	0	0.152	0.924	0.9	0.682	0.997
Bub1	Cdc20	2097328	2093817	10090.ENSMUSP00000028858	10090.ENSMUSP00000006565	0	0	0	0	0.767	0.815	0	0.94	0.997
Trp53	Ep300	2111141	2104849	10090.ENSMUSP00000104298	10090.ENSMUSP00000066789	0	0	0	0	0	0.891	0.95	0.653	0.997
Atm	Chek1	2112380	2099199	10090.ENSMUSP00000113388	10090.ENSMUSP00000034625	0	0	0	0	0.05	0.174	0.95	0.942	0.997
Kl	Fgf23	2106690	2093067	10090.ENSMUSP00000077899	10090.ENSMUSP00000000186	0	0	0	0	0	0.064	0.95	0.947	0.997
Plk1	Aurkb	2098695	2095125	10090.ENSMUSP00000033154	10090.ENSMUSP00000021277	0	0	0	0.78	0.863	0.616	0.936	0.813	0.997
Cdc27	Cdc16	2108514	2101759	10090.ENSMUSP00000091452	10090.ENSMUSP00000047950	0	0	0	0.62	0.16	0.964	0.9	0.923	0.997
Birc5	Cdk1	2106931	2094764	10090.ENSMUSP00000079124	10090.ENSMUSP00000020099	0	0	0	0	0.886	0.111	0.9	0.76	0.997
Ttk	Bub1	2104584	2097328	10090.ENSMUSP00000064839	10090.ENSMUSP00000028858	0	0	0	0	0.801	0.964	0	0.683	0.997
Ccnb2	Plk1	2099229	2098695	10090.ENSMUSP00000034742	10090.ENSMUSP00000033154	0	0	0	0	0.9	0.34	0.9	0.662	0.997
Atm	Trp53	2112380	2111141	10090.ENSMUSP00000113388	10090.ENSMUSP00000104298	0	0	0	0	0	0.432	0.95	0.923	0.997
Cdca8	Incenp	2107296	2096332	10090.ENSMUSP00000081319	10090.ENSMUSP00000025562	0	0	0	0	0.713	0.108	0.95	0.839	0.997
Rictor	Akt1	2102432	2093284	10090.ENSMUSP00000051809	10090.ENSMUSP00000001780	0	0	0	0	0.091	0.585	0.95	0.883	0.997
Anapc10	Bub1b	2101817	2099749	10090.ENSMUSP00000048244	10090.ENSMUSP00000037126	0	0	0	0	0.17	0.965	0.9	0.101	0.997
Mad2l1	Cdk1	2110075	2094764	10090.ENSMUSP00000098897	10090.ENSMUSP00000020099	0	0	0	0	0.929	0.157	0.9	0.621	0.997
Mad2l1	Cdc16	2110075	2101759	10090.ENSMUSP00000098897	10090.ENSMUSP00000047950	0	0	0	0	0.104	0.955	0.9	0.455	0.997
Trp53	Cdk2	2111141	2096601	10090.ENSMUSP00000104298	10090.ENSMUSP00000026416	0	0	0	0	0.052	0.544	0.95	0.889	0.997
Mad2l1	Ccnb1	2110075	2105622	10090.ENSMUSP00000098897	10090.ENSMUSP00000071989	0	0	0	0	0.898	0.115	0.9	0.613	0.996
Shc1	Egfr	2108594	2094834	10090.ENSMUSP00000091940	10090.ENSMUSP00000020329	0	0	0	0	0	0.666	0.901	0.914	0.996
Birc5	Plk1	2106931	2098695	10090.ENSMUSP00000079124	10090.ENSMUSP00000033154	0	0	0	0	0.857	0.071	0.9	0.791	0.996
Aurkb	Cdk1	2095125	2094764	10090.ENSMUSP00000021277	10090.ENSMUSP00000020099	0	0	0.411	0.751	0.925	0.319	0.9	0.824	0.996
Ccnb2	Aurkb	2099229	2095125	10090.ENSMUSP00000034742	10090.ENSMUSP00000021277	0	0	0	0	0.897	0.17	0.9	0.608	0.996
Aurka	Incenp	2097382	2096332	10090.ENSMUSP00000028997	10090.ENSMUSP00000025562	0	0	0	0	0.81	0.88	0.393	0.76	0.996
Bub1b	Aurka	2099749	2097382	10090.ENSMUSP00000037126	10090.ENSMUSP00000028997	0	0	0	0	0.883	0.912	0	0.725	0.996
Acacb	Oxsm	2098236	2095461	10090.ENSMUSP00000031583	10090.ENSMUSP00000022311	0.777	0	0	0	0.863	0.295	0.619	0.659	0.996
Bub1b	Ndc80	2099749	2096108	10090.ENSMUSP00000037126	10090.ENSMUSP00000024851	0	0	0	0	0.879	0.106	0.9	0.707	0.996
Plk1	Aurka	2098695	2097382	10090.ENSMUSP00000033154	10090.ENSMUSP00000028997	0	0	0	0.743	0.77	0.616	0.95	0.891	0.996
Ccnb2	Cdk2	2099229	2096601	10090.ENSMUSP00000034742	10090.ENSMUSP00000026416	0	0	0	0	0.861	0.864	0.528	0.673	0.996
Ttk	Mad1l1	2104584	2098220	10090.ENSMUSP00000064839	10090.ENSMUSP00000031534	0	0	0	0	0.111	0.965	0.8	0.555	0.996
Mad2l1	Ttk	2110075	2104584	10090.ENSMUSP00000098897	10090.ENSMUSP00000064839	0	0	0	0	0.745	0.965	0	0.627	0.996
Chek2	H2afx	2104828	2102373	10090.ENSMUSP00000066679	10090.ENSMUSP00000051432	0	0	0	0	0.091	0.113	0.95	0.913	0.996
Oxsm	Acaca	2095461	2094986	10090.ENSMUSP00000022311	10090.ENSMUSP00000020843	0.777	0	0	0	0.863	0.295	0.619	0.676	0.996
Birc5	Aurka	2106931	2097382	10090.ENSMUSP00000079124	10090.ENSMUSP00000028997	0	0	0	0	0.839	0.421	0.773	0.854	0.996
Ccnb1	Bub1b	2105622	2099749	10090.ENSMUSP00000071989	10090.ENSMUSP00000037126	0	0	0	0	0.856	0.1	0.95	0.5	0.996
Anapc10	Anapc1	2101817	2094204	10090.ENSMUSP00000048244	10090.ENSMUSP00000014499	0	0	0	0	0.049	0.917	0.9	0.595	0.996
Aurka	Bub1	2097382	2097328	10090.ENSMUSP00000028997	10090.ENSMUSP00000028858	0	0	0	0	0.715	0.911	0.393	0.768	0.995
Rheb	Rptor	2097962	2096691	10090.ENSMUSP00000030787	10090.ENSMUSP00000026671	0	0	0	0	0.069	0.554	0.901	0.898	0.995
Irs1	Igf1r	2104432	2093723	10090.ENSMUSP00000063795	10090.ENSMUSP00000005671	0	0	0	0	0	0.733	0.883	0.875	0.995
Bcl2	Akt1	2111690	2093284	10090.ENSMUSP00000108371	10090.ENSMUSP00000001780	0	0	0	0	0.049	0.047	0.901	0.955	0.995
Trp53	Chek2	2111141	2104828	10090.ENSMUSP00000104298	10090.ENSMUSP00000066679	0	0	0	0	0.054	0.111	0.95	0.905	0.995
Chek1	Rad17	2099199	2095404	10090.ENSMUSP00000034625	10090.ENSMUSP00000022136	0	0	0	0	0.092	0.223	0.95	0.891	0.995
Trp53	Chek1	2111141	2099199	10090.ENSMUSP00000104298	10090.ENSMUSP00000034625	0	0	0	0	0.053	0.111	0.95	0.902	0.995
Rps6kb1	Rptor	2112781	2096691	10090.ENSMUSP00000119715	10090.ENSMUSP00000026671	0	0	0	0	0.156	0.424	0.901	0.922	0.995
Mad1l1	Aurkb	2098220	2095125	10090.ENSMUSP00000031534	10090.ENSMUSP00000021277	0	0	0	0	0.094	0.911	0.9	0.494	0.995
Anapc1	Cdc20	2094204	2093817	10090.ENSMUSP00000014499	10090.ENSMUSP00000006565	0	0	0	0	0.046	0.903	0.9	0.564	0.995
Ccnb1	Ccnb2	2105622	2099229	10090.ENSMUSP00000071989	10090.ENSMUSP00000034742	0	0	0	0.948	0.824	0.554	0.95	0.634	0.995
Plk1	Cdk1	2098695	2094764	10090.ENSMUSP00000033154	10090.ENSMUSP00000020099	0	0	0	0.669	0.87	0.552	0.9	0.922	0.995
Eif4ebp1	Rptor	2098910	2096691	10090.ENSMUSP00000033880	10090.ENSMUSP00000026671	0	0	0	0	0	0.403	0.901	0.924	0.995
Mad2l1	Ndc80	2110075	2096108	10090.ENSMUSP00000098897	10090.ENSMUSP00000024851	0	0	0	0	0.765	0.539	0.9	0.597	0.995
Mad2l1	Aurka	2110075	2097382	10090.ENSMUSP00000098897	10090.ENSMUSP00000028997	0	0	0	0	0.82	0.914	0	0.649	0.994
Mapkap1	Akt1	2111755	2093284	10090.ENSMUSP00000108751	10090.ENSMUSP00000001780	0	0	0	0	0.051	0.662	0.95	0.684	0.994
Plk1	Incenp	2098695	2096332	10090.ENSMUSP00000033154	10090.ENSMUSP00000025562	0	0	0	0	0.835	0.107	0.9	0.697	0.994
Cdca8	Cdc20	2107296	2093817	10090.ENSMUSP00000081319	10090.ENSMUSP00000006565	0	0	0	0	0.897	0	0.9	0.537	0.994
Sos1	Egfr	2104984	2094834	10090.ENSMUSP00000067786	10090.ENSMUSP00000020329	0	0	0	0	0.051	0.48	0.95	0.787	0.994
Mad2l1	Birc5	2110075	2106931	10090.ENSMUSP00000098897	10090.ENSMUSP00000079124	0	0	0	0	0.923	0	0.9	0.31	0.994
Ndc80	Cdc20	2096108	2093817	10090.ENSMUSP00000024851	10090.ENSMUSP00000006565	0	0	0	0	0.86	0	0.9	0.64	0.994
Cdkn1a	Akt1	2095964	2093284	10090.ENSMUSP00000023829	10090.ENSMUSP00000001780	0	0	0	0	0	0.203	0.95	0.859	0.994
Incenp	Cdc20	2096332	2093817	10090.ENSMUSP00000025562	10090.ENSMUSP00000006565	0	0	0	0	0.844	0	0.9	0.651	0.994
Mad2l1	Ccna2	2110075	2097462	10090.ENSMUSP00000098897	10090.ENSMUSP00000029270	0	0	0	0	0.9	0.115	0.9	0.478	0.994
Kif2c	Plk1	2104499	2098695	10090.ENSMUSP00000064261	10090.ENSMUSP00000033154	0	0	0	0	0.718	0.111	0.94	0.695	0.994
Mad2l1	Plk1	2110075	2098695	10090.ENSMUSP00000098897	10090.ENSMUSP00000033154	0	0	0	0	0.832	0.17	0.9	0.622	0.994
Mre11a	Rad17	2099107	2095404	10090.ENSMUSP00000034405	10090.ENSMUSP00000022136	0	0	0	0	0.155	0.746	0.9	0.782	0.994
Irs2	Grb2	2100009	2095072	10090.ENSMUSP00000038514	10090.ENSMUSP00000021090	0	0	0	0	0	0.328	0.936	0.862	0.993
Plk1	Ndc80	2098695	2096108	10090.ENSMUSP00000033154	10090.ENSMUSP00000024851	0	0	0	0	0.749	0.188	0.95	0.459	0.993
Cdc27	Bub3	2108514	2107328	10090.ENSMUSP00000091452	10090.ENSMUSP00000081547	0	0	0	0	0.116	0.812	0.9	0.665	0.993
Ube2c	Cdc16	2107801	2101759	10090.ENSMUSP00000085581	10090.ENSMUSP00000047950	0	0	0	0	0.094	0.897	0.9	0.382	0.993
Chek2	Mre11a	2104828	2099107	10090.ENSMUSP00000066679	10090.ENSMUSP00000034405	0	0	0	0	0.052	0.099	0.95	0.873	0.993
Mre11a	Wrn	2099107	2098950	10090.ENSMUSP00000034405	10090.ENSMUSP00000033990	0.061	0	0	0	0.085	0.688	0.9	0.806	0.993
Cdca8	Cdk1	2107296	2094764	10090.ENSMUSP00000081319	10090.ENSMUSP00000020099	0	0	0	0	0.879	0	0.9	0.48	0.993
Rps6kb1	Irs1	2112781	2104432	10090.ENSMUSP00000119715	10090.ENSMUSP00000063795	0	0	0	0	0	0.541	0.883	0.88	0.993
Trp53	Akt1	2111141	2093284	10090.ENSMUSP00000104298	10090.ENSMUSP00000001780	0	0	0	0	0.051	0.072	0.917	0.914	0.993
Ndc80	Cdk1	2096108	2094764	10090.ENSMUSP00000024851	10090.ENSMUSP00000020099	0	0	0	0	0.842	0	0.9	0.598	0.993
Plk1	Bub1	2098695	2097328	10090.ENSMUSP00000033154	10090.ENSMUSP00000028858	0	0	0	0	0.749	0.402	0.862	0.707	0.993
Mad2l1	Ccnb2	2110075	2099229	10090.ENSMUSP00000098897	10090.ENSMUSP00000034742	0	0	0	0	0.798	0.115	0.9	0.659	0.993
Rptor	Akt1	2096691	2093284	10090.ENSMUSP00000026671	10090.ENSMUSP00000001780	0	0	0	0	0.156	0.424	0.901	0.881	0.993
Cenpa	Incenp	2112931	2096332	10090.ENSMUSP00000122831	10090.ENSMUSP00000025562	0	0	0	0	0.585	0.064	0.95	0.632	0.992
