,Proliferation 1h (P1) /Control,Proliferation 6h (P6) /Control,Proliferation 24h (P24) /Control,Quiescence 1h (Q1) /Control,Quiescence 6h (Q6) /Control,Quiescence 24h (Q24) /Control,Quiescence 96h (Q96) /Control,Senescence 1h (S1) /Control,Senescence 6h (S6) /Control,Senescence 24h (S24) /Control,Senescence 96h (S96) /Control
NFkB-p100/p52 (Phospho-Ser865) ,1.015,0.535,0.464,0.906,0.723,0.718,0.672,0.655,0.724,0.553,0.776
NFkB-p100/p52 (Phospho-Ser869) ,1.071,1.072,1.026,1.385,1.256,0.989,0.968,0.882,0.732,0.885,0.909
MKK4/SEK1 (Phospho-Ser80) ,1.186,1.131,1.406,3.029,2.746,2.314,2.673,0.943,1.098,0.979,1.014
ASK1 (Phospho-Ser966) ,1.373,1.124,1.373,2.662,1.88,1.601,1.975,0.884,1.051,0.944,1.04
HDAC4 (Phospho-Ser632) ,0.917,0.924,1.125,1.267,1.12,0.971,1.044,0.745,0.897,0.774,0.847
HDAC5 (Phospho-Ser498) ,1.042,0.862,0.921,1.176,0.97,0.962,1.164,0.595,0.765,0.681,0.844
HDAC8 (Phospho-Ser39) ,1.051,0.939,1.207,0.984,0.921,0.857,0.839,0.821,0.857,0.921,0.976
HSP27 (Phospho-Ser15) ,1.104,1.058,0.961,1.537,1.264,1.214,1.538,0.742,0.806,0.924,1.029
SMC1 (Phospho-Ser957) ,0.955,1.136,1.142,1.679,1.727,1.854,1.639,0.912,0.968,0.974,0.99
BCR (Phospho-Tyr177) ,1.281,0.947,1.3,1.482,1.42,1.487,1.329,0.825,0.857,0.933,0.987
MSK1 (Phospho-Ser376) ,1.506,0.967,1.312,1.714,1.678,1.954,1.801,1.056,0.952,1.228,1.098
Paxillin (Phospho-Tyr31) ,1.109,0.966,1.115,1.462,1.139,1.264,1.228,0.808,0.795,0.92,0.866
Ezrin (Phospho-Thr566) ,1.072,0.931,0.998,1.706,1.884,1.653,1.577,0.834,0.752,0.693,0.785
Rac1/cdc42 (Phospho-Ser71) ,1.165,0.973,1.125,1.058,0.917,1.011,0.919,1.097,0.939,1.158,0.894
Raf1 (Phospho-Ser338) ,1.16,0.979,1.1,1.509,1.257,1.278,0.94,0.972,0.819,0.95,0.939
MEK1 (Phospho-Ser217) ,1.078,0.883,0.988,1.339,1.047,1.016,1.154,0.759,0.678,0.939,0.897
p21Cip1 (Phospho-Thr145) ,1.035,0.959,1.064,1.219,1.015,0.979,0.918,1.114,0.835,1.353,1.02
p27Kip1 (Phospho-Ser10) ,1.035,0.93,1.006,1.022,0.776,0.758,0.739,0.866,0.718,0.907,0.906
p27Kip1 (Phospho-Thr187) ,1.051,1.019,1.057,1.919,1.507,1.325,1.654,1.082,0.865,1.017,1.015
Histone H3.1 (Phospho-Ser10) ,1.093,0.968,1.029,1.705,1.516,1.55,1.439,0.96,0.737,0.895,0.793
ASK1 (Phospho-Ser83) ,0.854,0.791,0.64,0.66,0.48,0.493,0.515,0.792,0.634,0.577,0.959
NFkB-p105/p50 (Ab-893) ,1.241,1.18,1.146,1.612,1.008,1.032,1.539,1.025,1.252,1.157,1.26
NFkB-p105/p50 (Ab-907) ,1.11,0.932,1.039,1.677,1.257,1.233,1.572,0.869,0.931,1.035,1.175
Rel (Ab-503) ,1.136,0.987,1.321,1.204,0.978,1.026,1.142,0.819,0.885,1.207,1.251
c-Jun (Ab-91) ,1.138,1.049,1.315,1.59,1.32,1.271,1.441,0.996,1.062,1.215,1.17
c-Jun (Ab-93) ,1.357,1.077,1.254,0.835,0.641,0.63,0.565,0.917,0.943,0.771,0.985
c-Jun (Ab-170) ,1.235,1.136,1.294,1.511,1.358,1.449,1.306,0.946,1.442,1.447,1.31
c-Jun (Ab-239) ,1.086,0.925,1.146,1.362,1.295,1.303,1.236,0.961,1.041,1.05,1.013
c-Jun (Ab-243) ,1.112,0.93,0.899,1.619,1.508,1.455,1.623,0.817,0.827,0.871,0.889
JunB (Ab-79) ,1.121,0.953,0.876,1.12,0.915,1.525,0.935,0.798,0.861,1.048,0.988
JunB (Ab-259) ,1.048,0.81,1.16,0.907,0.893,0.869,0.971,0.923,0.902,0.89,0.784
JunD (Ab-255) ,1.002,0.856,1.216,0.885,0.831,0.83,0.682,0.852,0.838,0.807,0.69
ATF2 (Ab-62/44) ,0.779,0.575,0.665,0.423,0.399,0.377,0.437,0.737,0.669,0.471,0.633
ATF2 (Ab-69/51) ,0.978,0.865,0.976,1.041,1.021,0.887,1.006,0.983,0.804,0.948,0.741
ATF2 (Ab-71/53) ,0.993,0.831,0.993,1.04,0.929,0.863,0.935,1.03,0.858,1.124,0.806
ATF2 (Ab-73/55) ,1.028,0.839,1.031,1.195,1.116,0.967,0.924,1.19,0.958,1.049,0.787
ATF2 (Ab-112/94) ,0.944,0.741,0.918,0.855,0.894,0.805,0.785,0.838,0.75,0.94,0.73
Myc (Ab-58) ,1.016,0.899,0.795,2.794,2.379,2.282,2.032,0.893,0.779,0.825,0.854
Myc (Ab-358),0.992,1.046,0.811,0.531,0.412,0.438,0.388,0.612,0.558,0.484,0.786
Myc (Ab-373) ,1.025,0.875,0.979,0.83,0.699,0.705,0.702,1.082,0.835,0.913,0.802
FAK (Ab-397) ,1.256,0.92,1.585,1.717,1.196,1.272,1.447,1.072,1.131,0.975,0.963
Pyk2 (Ab-402) ,1.138,0.913,1.297,1.403,1.201,1.165,1.802,0.937,1.149,1.001,1.058
NFkB-p65 (Ab-529) ,1.051,0.923,0.96,0.787,0.622,0.669,0.725,0.785,0.794,0.72,0.946
Catenin beta (Ab-37) ,0.972,0.715,0.871,0.668,0.526,0.616,0.586,0.729,0.74,0.598,0.772
EGFR (Ab-1172) ,1.071,0.815,0.912,0.949,0.946,0.921,1.023,0.622,0.7,0.596,0.938
mTOR (Ab-2448) ,1.067,0.925,1.219,1.056,0.947,1,0.943,1.023,1.241,1.097,1.036
4E-BP1 (Ab-36) ,1.03,0.914,1.111,1.018,0.816,0.896,1.009,0.984,1.032,1.056,0.998
4E-BP1 (Ab-45) ,1.236,0.991,0.953,1.226,1.041,1.149,1.301,0.928,0.906,0.849,0.857
Stathmin 1 (Ab-24) ,1.158,0.977,1.298,0.956,0.914,1.041,0.842,1.317,1.334,1.373,1.007
Stathmin 1 (Ab-37) ,1.076,0.916,1.117,0.939,0.991,0.928,0.998,1.028,0.986,0.976,0.755
PDGFR beta (Ab-751) ,1.041,0.779,0.92,0.655,0.643,0.667,0.628,0.774,0.941,0.726,1.061
Met (Ab-1234) ,1.15,0.9,1.168,1.378,1.391,1.339,1.214,0.938,1.005,1.112,0.856
EGFR (Ab-1197) ,1.143,0.859,1.08,1.336,1.139,1.206,1.223,1.008,0.969,1.08,0.897
EGFR (Ab-869) ,1.067,0.835,0.729,0.519,0.363,0.445,0.356,0.545,0.636,0.504,0.618
IRS-1 (Ab-636) ,0.897,0.676,0.904,0.806,0.757,0.746,0.66,0.905,0.812,0.943,0.791
IRS-1 (Ab-639) ,0.728,0.571,0.533,0.432,0.3,0.306,0.291,0.563,0.529,0.347,0.39
S6 Ribosomal Protein (Ab-235),1,0.746,1.029,0.846,1.045,0.906,0.774,1.105,0.864,0.943,0.701
eIF4E (Ab-209) ,1.184,1.09,1.614,1.239,1.184,1.149,1.069,1.359,1.038,1.086,0.843
Stathmin 1 (Ab-15) ,1.2,1.18,1.112,1.189,1.067,0.923,0.906,1.105,0.809,0.94,0.733
DYN1 (Phospho-Ser774),1.054,1.402,0.932,1.602,0.792,0.895,1.439,1.15,0.929,1.164,1.226
E2F1 (Phospho-Thr433),1.071,1.005,1.189,1.59,1.147,1.548,1.262,0.86,1,0.878,0.79
FAK (Phospho-Tyr576),1.117,0.937,0.979,1.06,0.862,1.011,0.945,0.989,0.978,1.048,1.011
Fos (Phospho-Ser362),1.044,1.069,1.3,1.028,0.995,0.983,0.966,0.874,1.155,0.93,1.018
GRF-1 (Phospho-Tyr1105),1.213,1.059,1.057,1.677,1.049,1.262,1.349,0.888,1.135,1.089,1.026
HDAC5 (Phospho-Ser259),1.191,0.937,1.119,1.044,0.932,1.031,0.962,0.781,0.997,0.835,0.851
HSL (Phospho-Ser552/563),1.083,1.086,1.176,1.17,1.031,1.035,1.047,0.953,1.162,1.125,0.968
IkB-beta (Phospho-Thr19),1.018,0.781,0.9,1.054,1.285,1.352,1.273,0.917,0.965,1.013,0.842
IKK-alpha/beta (Phospho-Ser180/181),1.041,0.856,1.012,0.928,0.911,0.959,0.868,1.056,1.023,1,0.899
IKK-beta (Phospho-Tyr188),1.005,0.732,1.212,1.497,1.569,1.827,1.435,0.897,0.828,0.948,0.837
IKK-gamma (Phospho-Ser31),0.992,0.832,1.118,1.078,0.886,1.287,1.046,1.108,0.939,1.034,0.823
IRS-1 (Phospho-Ser1101),1.05,0.716,1.14,0.949,0.783,0.872,0.835,1.01,0.868,1.29,0.932
IRS-1 (Phospho-Ser612),1.11,1.081,1.12,1.559,1.265,1.242,0.955,0.941,0.773,0.974,0.888
AKT1S1 (Phospho-Thr246),0.983,0.779,0.844,0.751,0.684,0.692,0.593,0.924,0.796,0.838,0.733
Arrestin-1 (Phospho-Ser412),1.14,0.813,0.899,1.119,1.017,1.004,1.027,1.057,0.784,1.162,0.968
BCL-2 (Phospho-Ser87),1.218,0.947,0.989,1.395,1.123,1.026,1.127,1.069,0.717,1.018,0.869
BID (Phospho-Ser78),1.072,0.569,0.876,0.753,0.58,0.634,0.579,1.079,0.671,0.88,0.561
CD3Z (Phospho-Tyr142),1.092,0.857,0.971,0.818,0.665,0.696,0.625,1.137,0.738,0.903,0.74
CDK1/CDC2 (Phospho-Thr14),1.068,0.972,0.847,1.571,1.156,1.151,1.205,1.076,0.744,1.192,1.033
FAK (Phospho-Ser910),0.892,0.719,0.474,0.721,0.569,0.77,0.459,0.511,0.572,0.676,0.55
FosB (Phospho-Ser27),1.027,0.925,0.935,1.432,0.96,1.002,1.52,0.93,0.879,0.912,0.967
GRK1 (Phospho-Ser21),1.099,1.036,1.151,1.335,1.012,1.07,1.191,0.771,0.927,0.794,0.913
HDAC3 (Phospho-Ser424),1.166,0.964,0.779,1.157,0.779,0.831,0.894,0.774,0.69,0.806,0.806
HDAC6 (Phospho-Ser22),0.73,0.726,0.791,0.902,0.744,0.977,0.786,0.992,0.997,0.816,0.855
HER3/ErbB3 (Phospho-Tyr1222),0.991,0.917,1.055,1.14,1.081,1.052,1.216,0.877,0.963,1.117,1.023
HER3/ErbB3 (Phospho-Tyr1289),0.985,0.86,0.964,0.941,0.81,0.921,0.777,0.855,0.91,0.909,0.933
HER4/ErbB4 (Phospho-Tyr1284),1.435,1.444,1.136,1.377,1.088,1.323,1.165,1.117,1.072,1.144,1.034
PKA-R2B (Phospho-Ser113),1.103,0.738,1.062,1.285,1.361,1.362,1.194,0.929,0.789,0.988,0.855
Smad1 (Phospho-Ser187),0.957,0.886,0.966,1.058,1.126,0.876,1.037,1.05,0.947,0.987,0.861
Smad2 (Phospho-Ser250),1.093,0.843,1.074,1.035,0.831,0.954,0.911,1.149,0.984,1.388,1.041
Smad2 (Phospho-Thr220),1.196,0.979,1.166,1.119,0.871,0.92,0.852,1.186,1.107,1.321,0.97
Smad2/3 (Phospho-Thr8),0.901,0.856,0.81,0.665,0.508,0.531,0.469,0.627,0.62,0.727,0.802
Smad3 (Phospho-Thr179),1.135,0.839,0.916,1.215,1.038,1.239,1.031,0.977,0.801,1.044,0.895
Smad3 (Phospho-Ser204),1.038,0.846,1.142,1.13,1.025,1.02,0.946,1.242,0.979,1.288,0.884
Smad3 (Phospho-Ser208),1.026,0.836,1.037,1.051,0.818,0.853,0.788,1.154,0.901,1.269,0.974
Smad3 (Phospho-Ser213),1.571,1.44,0.714,1.406,0.684,0.844,0.905,1.516,1.013,0.886,1.74
STAT5A (Phospho-Ser725),1.112,1.019,1.055,0.916,0.837,0.849,0.84,1.098,0.955,1.162,0.966
Calsenilin/KCNIP3 (Phospho-Ser63),1.015,0.962,0.432,0.648,0.499,0.548,0.677,0.628,0.636,0.756,0.747
NMDAR2B (Phospho-Tyr1472),1.071,0.998,1.105,1.383,0.818,1.189,1.254,0.857,0.981,0.767,0.945
PECAM-1 (Phospho-Tyr713),1.087,0.957,1.149,0.961,0.673,0.892,0.822,0.957,1.059,1.047,0.979
PTPRA (Phospho-Tyr798),1.047,0.936,1.018,1.024,0.865,0.93,0.997,0.705,0.785,0.801,0.896
TFII-I (Phospho-Tyr248),1.051,0.931,1.066,1.277,1.02,0.94,1.068,0.673,0.882,0.784,0.904
ACK1 (Phospho-Tyr284),1.24,0.671,1.087,1.228,1.224,1.381,1.401,0.894,1.098,0.927,0.95
ALK (Phospho-Tyr1507),1.043,0.799,0.896,0.749,0.586,0.616,0.608,0.778,0.739,0.82,0.756
ALK (Phospho-Tyr1604),0.936,0.974,0.876,0.827,0.735,0.758,0.681,0.831,0.786,0.802,1.004
BLNK (Phospho-Tyr96),0.991,0.822,0.793,0.711,0.602,0.776,0.686,0.623,0.78,0.622,0.719
ETK (Phospho-Tyr40),1.282,1.183,0.786,2.176,1.831,1.895,1.797,0.892,0.828,1.006,0.996
Pim-1 (Phospho-Tyr309),0.945,0.782,1.1,0.836,0.687,0.799,0.789,1.034,1.046,1.095,0.933
PLD1 (Phospho-Ser561),0.961,0.608,0.712,1.116,0.837,0.844,0.854,0.772,0.638,0.745,0.758
BCR (Phospho-Tyr360),1.092,0.962,0.892,0.993,0.875,0.898,0.953,0.858,0.804,0.895,0.94
Breast tumor kinase (Phospho-Tyr447),1.053,1.024,1.011,0.858,0.758,0.725,0.694,0.9,0.774,0.816,0.988
ADD1 (Phospho-Ser726),1.066,0.87,0.918,0.902,0.726,0.778,0.648,1.212,0.75,1.122,0.814
CD5 (Phospho-Tyr453),0.826,0.94,0.625,1.276,1.066,0.835,1.154,0.751,0.713,0.733,0.856
M-CSF Receptor (Phospho-Tyr561),1.037,0.852,0.747,1.479,1.066,1.31,1.405,0.901,0.635,0.842,0.874
DAPP1 (Phospho-Tyr139),1.01,0.801,1.187,1.03,0.872,0.93,0.786,1.208,0.935,0.947,0.707
DDX5/DEAD-box protein 5 (Phospho-Tyr593),1.046,0.909,0.887,0.819,0.78,0.697,0.722,0.8,0.76,0.88,0.868
HCK (Phospho-Tyr410),0.744,0.903,0.417,0.558,0.565,0.571,0.469,0.727,0.5,0.569,0.844
Raf1 (Ab-296),1.133,1.081,0.696,2.079,1.364,1.636,1.818,0.76,0.909,0.878,0.903
Cyclin B1 (Ab-147),0.875,0.848,0.9,1.213,0.975,1.108,0.926,0.747,0.918,0.695,0.9
Cyclin E1 (Ab-77),1.153,1.202,0.997,0.678,0.442,0.58,0.478,0.552,0.618,0.539,0.852
eIF4G (Ab-1108),1.143,1.061,1.119,0.684,0.521,0.654,0.536,0.76,0.966,0.691,0.898
IRS-1 (Ab-794),1.117,1.043,1.263,1.013,0.81,1.009,1.036,0.982,1.191,1.194,1.065
LAT (Ab-171),0.754,0.788,0.676,0.869,0.58,0.63,0.771,0.637,0.636,0.822,0.751
LKB1 (Ab-428),1.056,0.999,1.234,0.929,0.901,1.101,1.145,1.097,1.125,1.113,1.037
LKB1 (Ab-189),1.058,0.889,0.934,1.078,0.882,0.938,1.006,0.971,1.019,1.191,1.045
MEK1 (Ab-298),1.047,0.846,0.622,0.476,0.294,0.324,0.423,0.656,0.38,0.487,0.358
MEK1 (Ab-286),1.129,0.975,0.639,1.304,0.976,1.016,1.05,0.751,0.773,0.809,0.819
MSK1 (Ab-360),1.229,1.911,1.068,1.143,0.56,0.64,0.555,1.081,0.825,0.808,1.053
MSK1 (Ab-581),1.143,1.007,1.063,2.047,1.574,1.449,1.566,1.008,0.871,0.972,0.967
mTOR (Ab-2481),1.047,0.896,1.017,0.785,0.736,0.801,0.708,1.13,0.944,1.008,0.859
PAK4 (Ab-474),1.122,0.857,0.888,1.074,1.1,1.333,1.182,1.057,0.797,1.069,1.037
PKC alpha/beta II (Ab-638),1.013,0.842,0.967,0.9,1.029,0.879,1.112,1.047,0.918,1.113,0.862
PKC delta (Ab-505),1.021,0.9,1.039,1.015,0.817,0.844,0.81,1.13,1.012,1.285,0.977
Cyclin E2 (Phospho-Thr392),1.016,0.808,0.809,1.084,1.003,0.969,0.882,0.954,0.702,0.889,0.801
PKD1/PKC mu (Ab-744/748),1.001,1.004,0.777,0.976,0.712,0.79,0.725,0.911,0.839,1.034,0.992
PKD1/PKC mu (Ab-910),1.017,0.996,0.93,1.208,1.17,1.157,1.089,1.059,0.7,1.046,0.877
NFkB-p105/p50 (Phospho-Ser337) ,1.09,1.038,1.022,1.122,0.876,0.975,0.879,0.693,0.747,0.559,0.901
NFkB-p105/p50 (Phospho-Ser893) ,1.093,1.047,1.185,1.56,1.127,1.238,1.309,0.772,1.006,0.825,0.896
NFkB-p105/p50 (Phospho-Ser907) ,1.07,1.027,1.107,1.375,1.987,1.613,1.883,0.736,0.882,0.894,0.908
Rel (Phospho-Ser503) ,1.014,0.953,1.148,1.06,1.803,1.361,1.53,0.881,0.831,0.882,0.756
c-Jun (Phospho-Thr91) ,1.036,0.932,1.123,1.218,1.314,1.137,1.414,0.791,0.91,1.012,0.933
c-Jun (Phospho-Thr93) ,1.007,0.856,1.278,1.678,1.756,1.748,2.51,1.06,1.224,1.169,1.284
c-Jun (Phospho-Tyr170) ,1.041,1.004,1.23,2.073,2.088,1.966,2.245,0.891,0.926,0.943,0.986
c-Jun (Phospho-Thr239) ,0.974,0.801,1.075,0.894,0.834,0.81,0.864,0.992,1.004,0.898,0.689
c-Jun (Phospho-Ser243) ,1.032,0.901,1.291,1.204,1.06,1.149,1.076,0.879,0.9,0.995,0.9
JunB (Phospho-Ser79) ,1.2,0.89,1.458,1.224,2.048,1.573,1.711,1.093,0.912,1.075,0.991
JunB (Phospho-Ser259) ,0.89,0.948,1.187,0.931,0.999,0.863,0.916,0.708,0.659,0.926,0.802
JunD (Phospho-Ser255) ,1.094,0.995,1.076,1.404,1.594,1.608,1.709,0.962,0.813,0.93,0.808
ATF2 (Phospho-Ser62/44) ,1.011,0.726,0.925,1.099,1.177,1.063,1.102,0.955,0.891,0.905,0.877
ATF2 (Phospho-Thr69/51) ,1.177,0.962,0.925,1.054,0.902,1.169,0.993,1.062,0.844,1.055,0.832
ATF2 (Phospho-Thr71/53) ,1.06,0.874,0.805,1.825,1.949,1.651,1.973,0.961,0.764,0.995,0.781
ATF2 (Phospho-Thr73/55) ,1.143,1.021,0.888,1.538,1.607,1.433,1.512,0.982,0.829,1.114,0.96
ATF2 (Phospho-Ser112/94) ,1.071,0.932,0.91,1.215,1.151,1.083,1.003,1.042,0.834,1.313,1.008
Myc (Phospho-Thr58) ,0.977,1.031,1.056,1.024,1.065,1.011,1.06,1.031,0.746,1.062,0.968
Myc (Phospho-Thr358) ,0.92,0.819,0.774,1.024,0.98,0.905,0.981,0.948,0.578,0.82,0.775
VASP (Phospho-Ser157) ,1.347,1.379,1.578,2.087,2.054,1.714,1.824,1.197,1.226,1.142,1.252
Pyk2 (Phospho-Tyr402) ,0.997,0.973,1.086,1.677,1.349,1.555,2.268,0.877,0.883,0.917,0.801
NFkB-p65 (Phospho-Ser529) ,0.827,0.732,0.51,0.356,0.164,0.169,0.257,0.995,0.614,0.176,0.188
Catenin beta (Phospho-Ser33) ,1.024,0.992,1.085,1.176,0.984,1.089,1.154,0.848,0.868,1.144,0.905
Catenin beta (Phospho-Ser37) ,1.095,1.003,1.221,1.245,1.351,1.398,1.306,0.941,1.016,0.888,0.878
EGFR (Phospho-Tyr1172) ,1.072,1.007,1.159,1.275,1.625,1.447,1.81,0.786,1.07,0.887,0.868
mTOR (Phospho-Ser2448) ,1.134,0.861,1.26,1.35,1.101,1.188,1.348,2.565,1.763,1.179,1.022
4E-BP1 (Phospho-Thr36) ,1.127,0.929,1.131,1.129,0.955,1.049,1.052,0.934,1.007,1.083,0.84
4E-BP1 (Phospho-Thr45) ,1.584,1.143,1.021,0.533,0.374,0.4,0.568,1.067,1.005,0.413,0.357
Stathmin 1 (Phospho-Ser24) ,1.017,0.886,1.155,1.314,1.246,1.233,1.292,1.035,0.844,0.866,0.85
Stathmin 1 (Phospho-Ser37) ,1.112,0.923,1.133,1.73,1.424,1.484,1.629,1.003,1.136,0.9,0.79
PDGFR beta (Phospho-Tyr751) ,1.166,1.012,1.33,1.146,1.459,1.158,1.214,0.913,0.828,1.033,0.759
Met (Phospho-Tyr1234) ,1.011,0.874,0.953,1.4,1.422,1.446,1.488,0.94,0.846,0.878,0.711
EGFR (Phospho-Tyr1197) ,1.141,0.867,1.181,1.001,0.846,1.035,1.005,1,0.941,1.144,0.927
EGFR (Phospho-Tyr869) ,0.97,0.769,0.954,1.03,1.031,1.087,1.08,0.933,0.743,0.879,0.774
IRS-1 (Phospho-Ser636) ,1.236,0.948,1.138,1.52,1.247,1.245,1.608,1.042,0.811,0.994,0.854
IRS-1 (Phospho-Ser639) ,1.176,1.138,0.864,1.316,1.592,1.445,1.724,1.093,0.741,0.947,0.754
S6 Ribosomal Protein (Phospho-Ser235) ,1.016,1.089,1.033,1.234,1.391,1.491,1.254,1.01,0.867,1,0.91
eIF4E (Phospho-Ser209) ,1.051,0.972,1.033,1.244,1.133,1.168,1.13,1.061,0.689,1.15,0.866
Elk1 (Ab-389) ,0.967,1.7,1.91,1.98,2.222,2.159,2.752,1.406,1.504,0.702,0.679
Elk1 (Ab-417) ,1.108,1.073,1.308,1.338,1.432,1.333,1.433,0.997,0.995,0.815,0.693
MEF2A (Ab-312) ,0.847,0.795,0.674,0.544,0.494,0.502,0.456,0.595,0.521,0.472,0.683
MEF2A (Ab-319) ,1.05,1.085,1.146,0.991,1.068,1.068,1.123,0.868,0.934,0.666,0.66
GATA1 (Ab-142) ,1.09,0.694,1.055,1.183,1.001,1.037,1.196,0.535,0.527,1.18,0.881
GATA1 (Ab-310) ,0.995,1.03,1.347,0.844,0.793,0.876,0.764,1.132,1.218,1.027,0.83
HNF4 alpha (Ab-313) ,0.996,1.114,1.555,1.165,1.068,1.221,1.229,1.398,1.462,1.181,0.874
STAT1 (Ab-701) ,1.052,0.999,1.324,1.257,1.013,1.096,1.225,1.167,1.217,1.267,1.006
STAT3 (Ab-705) ,1.05,1.016,1.063,0.775,0.661,0.697,0.762,0.981,1.032,0.803,0.751
STAT3 (Ab-727) ,1.087,0.979,1.244,1.045,0.888,0.987,1.021,1.13,1.116,1.134,0.819
STAT4 (Ab-693) ,1.066,0.874,1.42,1.013,0.998,1.12,1.056,1.255,1.191,1.016,0.739
STAT5A (Ab-694) ,1.09,0.972,1.202,1.061,0.994,1.04,0.997,0.983,0.958,1.223,0.954
STAT5A (Ab-780) ,1.104,1.235,0.845,0.548,0.4,0.478,0.432,0.785,0.734,0.365,0.515
STAT6 (Ab-641) ,1.025,0.827,1.175,0.91,0.792,0.922,0.827,1.225,0.989,0.956,0.65
STAT6 (Ab-645) ,1.11,1.168,0.91,0.934,0.782,0.808,0.76,0.883,0.999,0.485,0.469
CREB (Ab-133) ,1.049,0.955,0.973,0.809,0.89,0.877,0.995,0.818,0.756,0.867,0.756
ATF4 (Ab-245) ,0.89,1.205,1.359,0.976,1.011,1.052,0.79,1.603,1.222,0.948,0.689
AKT1 (Ab-473) ,1.067,1,0.984,1.008,0.892,0.91,0.882,1.069,0.807,1.202,0.911
AKT1 (Ab-308) ,0.761,0.981,1.309,0.744,0.774,0.796,0.697,1.19,1.008,0.586,0.431
IRS-1 (Ab-307) ,0.918,1.464,1.794,1.007,1.209,1.288,1.184,1.542,1.563,0.825,0.726
Met (Ab-1349) ,1.028,1.477,1.471,1.631,1.865,1.935,2.221,1.185,1.384,1.09,1.01
FGFR1 (Ab-154) ,1.011,1.401,1.33,1.266,1.323,1.358,1.369,1.193,1.273,1.143,0.996
KIT (Ab-721) ,1.038,0.928,1.137,1.719,1.85,1.593,2.181,0.805,0.915,0.896,0.825
SP1 (Ab-739) ,0.997,1.218,1.509,1.301,1.529,1.548,1.955,1.171,1.221,1.211,0.951
BAX (Phospho-Thr167),1.053,1.421,1.603,1.152,1.541,1.632,1.532,1.439,1.819,1.239,1.029
eNOS (Ab-495) ,1.055,1.374,1.888,1.282,1.472,1.531,1.5,1.876,1.718,1.255,0.982
CDK1/CDC2 (Ab-15),1.133,0.989,1.098,1.141,1.213,1.316,1.424,1.028,0.952,0.99,0.748
p44/42 MAPK (Ab-202),1.208,1.053,1.255,1.276,1.503,1.398,1.788,1.001,1.076,0.976,0.737
p44/42 MAPK (Ab-204) ,1.084,0.96,1.275,1.043,1.155,1.102,1.052,1.168,1.182,1.156,0.802
HSP27 (Ab-78) ,1.06,1.146,1.499,1.204,1.113,1.182,1.128,1.411,1.357,1.174,0.92
HSP27 (Ab-82) ,1.052,1.006,1.01,1.054,1.027,1.06,1.138,1.104,0.82,1.018,0.748
SAPK/JNK (Ab-183) ,1.079,0.849,1.046,0.877,1.047,0.99,1.151,0.923,0.882,1.063,0.843
SAPK/JNK (Ab-185) ,1,1.037,1.509,1.05,1.19,1.148,1.049,1.36,1.237,1.046,0.662
NFkB-p105/p50 (Ab-932) ,0.925,1.17,1.358,1.039,1.246,1.305,1.241,1.511,1.32,1.105,0.771
p38 MAPK (Ab-182) ,0.938,1,0.835,0.545,0.428,0.461,0.446,0.661,0.638,0.402,0.333
RelB (Ab-552) ,1.066,0.96,0.905,1.527,1.713,1.589,1.741,1.11,0.915,0.978,0.739
Synuclein alpha (Ab-125) ,1.151,1.08,1.418,1.372,1.397,1.65,1.573,1.653,0.799,1.58,1.275
