id,type,name,description,target,belongs_to,pc,ts_pc,5a6a9b46b5896005aa...
CGS001-440435,KD,GPR179,"GPCR / Class C : Orphans, G protein-coupled receptor 179",,,"0.00, 0.00","1.69, 0.50",-93.33
CGS001-6915,KD,TBXA2R,"GPCR / Class A : Prostanoid receptors, thromboxane A2 receptor",,,"0.00, 0.00","1.50, 0.59",-92.97
CGS001-5268,KD,SERPINB5,"Serine (or cysteine) peptidase inhibitors, serpin peptidase inhibitor, clade B (ovalbumin), member 5",,Serpin peptidase inhibitors LOF,"0.00, 0.00","1.43, 0.45",-92.88
CGS001-7023,KD,TFAP4,"Basic helix-loop-helix proteins, transcription factor AP-4 (activating enhancer binding protein 4)",,,"0.00, 0.00","1.74, 0.50",-92.56
CGS001-5932,KD,RBBP8,retinoblastoma binding protein 8,,,"0.00, 0.00","0.80, 0.28",-92.55
CGS001-5734,KD,PTGER4,"GPCR / Class A : Prostanoid receptors, prostaglandin E receptor 4 (subtype EP4)",,,"0.00, 0.00","0.86, 0.39",-92.53
CGS001-598,KD,BCL2L1,"Serine/threonine phosphatases / Protein phosphatase 1, regulatory subunits, BCL2-like 1",,,"0.00, 0.00","1.40, 0.48",-92.53
CGS001-3783,KD,KCNN4,"Calcium-activated potassium channels, potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4",,,"0.00, 0.00","1.91, 0.63",-92.49
CGS001-7188,KD,TRAF5,"RING-type (C3HC4) zinc fingers, TNF receptor-associated factor 5",,,"0.00, 0.00","1.58, 0.55",-92.46
CGS001-50943,KD,FOXP3,"Forkhead boxes, forkhead box P3",,,"0.00, 0.00","1.05, 0.17",-92.36
CGS001-51181,KD,DCXR,"Short chain dehydrogenase/reductase superfamily / Classical SDR fold cluster 1, dicarbonyl/L-xylulose reductase",,,"0.00, 0.00","1.09, 0.49",-92.16
CGS001-256364,KD,EML3,"WD repeat domain containing, echinoderm microtubule associated protein like 3",,,"0.00, 0.00","1.59, 0.56",-92.04
CGS001-2288,KD,FKBP4,"Tetratricopeptide (TTC) repeat domain containing, FK506 binding protein 4, 59kDa",,,"0.00, 0.00","1.80, 0.57",-91.86
CGS001-9016,KD,SLC25A14,"Mitochondrial uncoupling proteins, solute carrier family 25 (mitochondrial carrier, brain), member 14",,,"10.00, 0.00","1.07, 0.27",-91.84
CGS001-26986,KD,PABPC1,"RNA binding motif (RRM) containing, poly(A) binding protein, cytoplasmic 1",,,"0.00, 0.00","0.89, 0.18",-91.7
CGS001-4717,KD,NDUFC1,"Mitochondrial respiratory chain complex / Complex I, NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa",,,"11.11, 11.11","1.34, 0.48",-91.58
