"","V1","V2","V3","V4","V5","V6","V7"
"52","control of skeletal myogenesis by hdac and calcium/calmodulin-dependent kinase (camk)","0.444068957859034",NA,NA,NA,NA,NA
"53","segmentation clock","0.0510034595871597",NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA
"55","inhibition of huntingtons disease neurodegeneration by histone deacetylase inhibitors","0.341073018537528",NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA,NA
"57","ion channels and their functional role in vascular endothelium","0.146484039323696",NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA,NA,NA
"59","signal dependent regulation of myogenesis by corepressor mitr","0.261804007822993",NA,NA,NA,NA,NA
"60","acetylation and deacetylation of rela in nucleus","0.993820342705253",NA,NA,NA,NA,NA
"61","il-10 anti-inflammatory signaling pathway","0.203341275528662",NA,NA,NA,NA,NA
"62","il 4 signaling pathway","0.746248492217465",NA,NA,NA,NA,NA
"63","induction of apoptosis through dr3 and dr4/5 death receptors","0.434194359826868",NA,NA,NA,NA,NA
"64","platelet amyloid precursor protein pathway","0.656981035897945",NA,NA,NA,NA,NA
"65","cadmium induces dna synthesis and proliferation in macrophages","0.678930983177419",NA,NA,NA,NA,NA
"66","regulation of bad phosphorylation","0.325625633316172",NA,NA,NA,NA,NA
"67","ionomycin and phorbal ester signaling pathway","0.065244844582963",NA,NA,NA,NA,NA
"68","multiple antiapoptotic pathways from igf-1r signaling lead to bad phosphorylation","0.593772788284594",NA,NA,NA,NA,NA
"69","the information processing pathway at the ifn beta enhancer","0.942633775935024",NA,NA,NA,NA,NA
"70","pten dependent cell cycle arrest and apoptosis","0.92405153773702",NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA
"73","transcription regulation by methyltransferase of carm1","0.341073018537528",NA,NA,NA,NA,NA
"74","vegf hypoxia and angiogenesis","0.219008409351925",NA,NA,NA,NA,NA
"75","hiv-1 nef: negative effector of fas and tnf","0.79276176446657",NA,NA,NA,NA,NA
"76","inhibition of cellular proliferation by gleevec","0.787430802983867",NA,NA,NA,NA,NA
"77","activation of csk by camp-dependent protein kinase inhibits signaling through the t cell receptor","0.418348940959234",NA,NA,NA,NA,NA
"78","signal transduction through il1r","0.0312268754648666",NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA
"81","alk in cardiac myocytes","0.261804007822993",NA,NA,NA,NA,NA
"82","tnf/stress related signaling","0.225739673278982",NA,NA,NA,NA,NA
"83","b cell survival pathway","0.536961608973235",NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA
"85","mcalpain and friends in cell motility","0.538974037172819",NA,NA,NA,NA,NA
"86","nf-kb signaling pathway","0.21117165412383",NA,NA,NA,NA,NA
"87","west nile virus","0.553192981885402",NA,NA,NA,NA,NA
"88","agrin in postsynaptic differentiation","0.0965749886412979",NA,NA,NA,NA,NA
"89","rho cell motility signaling pathway","0.836702930531381",NA,NA,NA,NA,NA
"90","effects of calcineurin in keratinocyte differentiation","0.065244844582963",NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA
"93","tgf beta signaling pathway","0.514822347221829",NA,NA,NA,NA,NA
"94","nfkb activation by nontypeable hemophilus influenzae","0.993820342705253",NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA
"96","nfat and hypertrophy of the heart","0.706351374888232",NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA,NA,NA
"99","signaling pathway from g-protein families","0.981270411414857",NA,NA,NA,NA,NA
"100","thrombin signaling and protease-activated receptors","0.947554961592685",NA,NA,NA,NA,NA
"101","cyclins and cell cycle regulation","0.666319134777876",NA,NA,NA,NA,NA
"102","growth hormone signaling pathway","0.787618060637346",NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,NA,NA,NA
"104","map kinase inactivation of smrt corepressor","0.333863614726212",NA,NA,NA,NA,NA
"105","fas signaling pathway (cd95)","0.65742754505207",NA,NA,NA,NA,NA
"106",NA,NA,NA,NA,NA,NA,NA
"107","role of mal in rho-mediated activation of srf","0.552635647470012",NA,NA,NA,NA,NA
"108","d4gdi signaling pathway","0.36554979836642",NA,NA,NA,NA,NA
"109","how progesterone initiates the oocyte maturation","0.667423004558495",NA,NA,NA,NA,NA
"110","e2f1 destruction pathway","0.634970652532899",NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA
"112","multi-step regulation of transcription by pitx2","0.0510034595871597",NA,NA,NA,NA,NA
"113",NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA
"116","no2-dependent il-12 pathway in nk cells","0.152702479192657",NA,NA,NA,NA,NA
"117","sprouty regulation of tyrosine kinase signals","0.366102953555038",NA,NA,NA,NA,NA
"118","ras-independent pathway in nk cell-mediated cytotoxicity","0.718442150028857",NA,NA,NA,NA,NA
"119","deregulation of cdk5 in alzheimers disease","0.294523293105896",NA,NA,NA,NA,NA
"120",NA,NA,NA,NA,NA,NA,NA
"121","phosphoinositides and their downstream targets","0.0977831127891954",NA,NA,NA,NA,NA
"122","stress induction of hsp regulation","0.515033735512111",NA,NA,NA,NA,NA
"123","eukaryotic protein translation","0.33093837826731",NA,NA,NA,NA,NA
"124","fmlp induced chemokine gene expression in hmc-1 cells","0.606215914909514",NA,NA,NA,NA,NA
"125","cbl mediated ligand-induced downregulation of egf receptors pathway","0.0124775351850531",NA,NA,NA,NA,NA
"126","skeletal muscle hypertrophy is regulated via akt-mtor pathway","0.772504474249806",NA,NA,NA,NA,NA
"127","mets affect on macrophage differentiation","0.36554979836642",NA,NA,NA,NA,NA
"128",NA,NA,NA,NA,NA,NA,NA
"129","phosphorylation of mek1 by cdk5/p35 down regulates the map kinase pathway","0.585275319605854",NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,NA,NA,NA
"131","pertussis toxin-insensitive ccr5 signaling in macrophage","0.0100502171131057",NA,NA,NA,NA,NA
"132",NA,NA,NA,NA,NA,NA,NA
"133",NA,NA,NA,NA,NA,NA,NA
"134",NA,NA,NA,NA,NA,NA,NA
"135","trka receptor signaling pathway","0.290196107091467",NA,NA,NA,NA,NA
"136","insulin signaling pathway","0.953546618256909",NA,NA,NA,NA,NA
"137",NA,NA,NA,NA,NA,NA,NA
"138",NA,NA,NA,NA,NA,NA,NA
"139","role of ©¬-arrestins in the activation and targeting of map kinases","0.585275319605854",NA,NA,NA,NA,NA
"140","t cell receptor signaling pathway","0.463417290048359",NA,NA,NA,NA,NA
"141","ifn alpha signaling pathway","0.188933338292009",NA,NA,NA,NA,NA
"142","the igf-1 receptor and longevity","0.0165200396696818",NA,NA,NA,NA,NA
"143","double stranded rna induced gene expression","0.675069104372794",NA,NA,NA,NA,NA
"144",NA,NA,NA,NA,NA,NA,NA
"145",NA,NA,NA,NA,NA,NA,NA
"146","roles of ©¬ arrestin dependent recruitment of src kinases in gpcr signaling","0.585275319605854",NA,NA,NA,NA,NA
"147","bcr signaling pathway","0.985402799051164",NA,NA,NA,NA,NA
"148","rac1 cell motility signaling pathway","0.947621198769925",NA,NA,NA,NA,NA
"149",NA,NA,NA,NA,NA,NA,NA
"150","overview of telomerase protein component gene htert transcriptional regulation","0.606296997404484",NA,NA,NA,NA,NA
"151","regulation of cell cycle progression by plk3","0.48185882654639",NA,NA,NA,NA,NA
"152","bone remodeling","0.676837996489425",NA,NA,NA,NA,NA
"153","calcium signaling by hbx of hepatitis b virus","0.551795736725209",NA,NA,NA,NA,NA
"154","erk1/erk2 mapk signaling pathway","0.6940686006168",NA,NA,NA,NA,NA
"155","opposing roles of aif in apoptosis and cell survival","0.0532844185460067",NA,NA,NA,NA,NA
"156","role of erbb2 in signal transduction and oncology","0.202870055854051",NA,NA,NA,NA,NA
"157",NA,NA,NA,NA,NA,NA,NA
"158",NA,NA,NA,NA,NA,NA,NA
"159","keratinocyte differentiation","0.622428401179337",NA,NA,NA,NA,NA
"160","ctcf: first multivalent nuclear factor","0.890847642462376",NA,NA,NA,NA,NA
"161","internal ribosome entry pathway","0.33093837826731",NA,NA,NA,NA,NA
"162","mapkinase signaling pathway","0.778044668873383",NA,NA,NA,NA,NA
"163",NA,NA,NA,NA,NA,NA,NA
"164","toll-like receptor pathway","0.0312268754648666",NA,NA,NA,NA,NA
"165","bioactive peptide induced signaling pathway","0.915116392718493",NA,NA,NA,NA,NA
"166","role of erk5 in neuronal survival pathway","0.480246848278244",NA,NA,NA,NA,NA
"167","sonic hedgehog receptor ptc1 regulates cell cycle","0.0700564751339837",NA,NA,NA,NA,NA
"168","control of gene expression by vitamin d receptor","0.642065893156478",NA,NA,NA,NA,NA
"169",NA,NA,NA,NA,NA,NA,NA
"170","btg family proteins and cell cycle regulation","0.964354753512148",NA,NA,NA,NA,NA
"171",NA,NA,NA,NA,NA,NA,NA
"172",NA,NA,NA,NA,NA,NA,NA
"173","erk and pi-3 kinase are necessary for collagen binding in corneal epithelia","0.264492605608895",NA,NA,NA,NA,NA
"174","the co-stimulatory signal during t-cell activation","0.914771730902622",NA,NA,NA,NA,NA
"175",NA,NA,NA,NA,NA,NA,NA
"176",NA,NA,NA,NA,NA,NA,NA
"177","ceramide signaling pathway","0.612567972694249",NA,NA,NA,NA,NA
"178","epo signaling pathway","0.065244844582963",NA,NA,NA,NA,NA
"179",NA,NA,NA,NA,NA,NA,NA
"180","hypoxia-inducible factor in the cardivascular system","0.461990607839335",NA,NA,NA,NA,NA
"181","links between pyk2 and map kinases","0.873496496707934",NA,NA,NA,NA,NA
"182",NA,NA,NA,NA,NA,NA,NA
"183","nerve growth factor pathway (ngf)","0.203690891265237",NA,NA,NA,NA,NA
"184",NA,NA,NA,NA,NA,NA,NA
"185","actions of nitric oxide in the heart","0.291544027342117",NA,NA,NA,NA,NA
"186",NA,NA,NA,NA,NA,NA,NA
"187",NA,NA,NA,NA,NA,NA,NA
"188",NA,NA,NA,NA,NA,NA,NA
"189","il12 and stat4 dependent signaling pathway in th1 development","0.0450050263978861",NA,NA,NA,NA,NA
"190",NA,NA,NA,NA,NA,NA,NA
"191","regulation of eif2","0.294523293105896",NA,NA,NA,NA,NA
"192","akap95 role in mitosis and chromosome dynamics","0.0700564751339837",NA,NA,NA,NA,NA
"193",NA,NA,NA,NA,NA,NA,NA
"194","hop pathway in cardiac development","0.601530504182428",NA,NA,NA,NA,NA
"195",NA,NA,NA,NA,NA,NA,NA
"196",NA,NA,NA,NA,NA,NA,NA
"197",NA,NA,NA,NA,NA,NA,NA
"198",NA,NA,NA,NA,NA,NA,NA
"199",NA,NA,NA,NA,NA,NA,NA
"200",NA,NA,NA,NA,NA,NA,NA
"201","gata3 participate in activating the th2 cytokine genes expression","0.732489461032602",NA,NA,NA,NA,NA
"202","regulation of splicing through sam68","0.123390426765428",NA,NA,NA,NA,NA
"203",NA,NA,NA,NA,NA,NA,NA
"204","role of pi3k subunit p85 in regulation of actin organization and cell migration","0.935016706651439",NA,NA,NA,NA,NA
"205","telomeres telomerase cellular aging and immortality","0.987516081076664",NA,NA,NA,NA,NA
"206","role of brca1 brca2 and atr in cancer susceptibility","0.739954007123634",NA,NA,NA,NA,NA
"207","cyclin e destruction pathway","0.634970652532899",NA,NA,NA,NA,NA
"208","influence of ras and rho proteins on g1 to s transition","0.232057694599255",NA,NA,NA,NA,NA
"209","hypoxia and p53 in the cardiovascular system","0.63069147363209",NA,NA,NA,NA,NA
"210","human cytomegalovirus and map kinase pathways","0.495766198651896",NA,NA,NA,NA,NA
"211","repression of pain sensation by the transcriptional regulator dream","0.461990607839335",NA,NA,NA,NA,NA
"212","role of egf receptor transactivation by gpcrs in cardiac hypertrophy","0.567957829278448",NA,NA,NA,NA,NA
"213","aspirin blocks signaling pathway involved in platelet activation","0.329308492313455",NA,NA,NA,NA,NA
"214",NA,NA,NA,NA,NA,NA,NA
"215","chaperones modulate interferon signaling pathway","0.911387773837094",NA,NA,NA,NA,NA
"216","egf signaling pathway","0.0880458525909953",NA,NA,NA,NA,NA
"217","trefoil factors initiate mucosal healing","0.689667286443253",NA,NA,NA,NA,NA
"218","il 2 signaling pathway","0.0943038054116868",NA,NA,NA,NA,NA
"219","cell cycle: g2/m checkpoint","0.694797425829911",NA,NA,NA,NA,NA
"220","regulation of transcriptional activity by pml","0.911387773837094",NA,NA,NA,NA,NA
"221","cell to cell adhesion signaling","0.0645380746174003",NA,NA,NA,NA,NA
"222","generation of amyloid b-peptide by ps1","0.656981035897945",NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA,NA,NA
"224","igf-1 signaling pathway","0.352236081226723",NA,NA,NA,NA,NA
"225",NA,NA,NA,NA,NA,NA,NA
"226",NA,NA,NA,NA,NA,NA,NA
"227","regulation of pgc-1a","0.2754473128473",NA,NA,NA,NA,NA
"228",NA,NA,NA,NA,NA,NA,NA
"229","caspase cascade in apoptosis","0.553192981885402",NA,NA,NA,NA,NA
"230","wnt signaling pathway","0.18885885615099",NA,NA,NA,NA,NA
"231","brca1 dependent ub ligase activity","0.976270732068266",NA,NA,NA,NA,NA
"232","transcription factor creb and its extracellular signals","0.866762077214505",NA,NA,NA,NA,NA
"233",NA,NA,NA,NA,NA,NA,NA
"234",NA,NA,NA,NA,NA,NA,NA
"235","tumor suppressor arf inhibits ribosomal biogenesis","0.75349353493639",NA,NA,NA,NA,NA
"236",NA,NA,NA,NA,NA,NA,NA
"237","ucalpain and friends in cell spread","0.0586591604288184",NA,NA,NA,NA,NA
"238",NA,NA,NA,NA,NA,NA,NA
"239",NA,NA,NA,NA,NA,NA,NA
"240",NA,NA,NA,NA,NA,NA,NA
"241",NA,NA,NA,NA,NA,NA,NA
"242",NA,NA,NA,NA,NA,NA,NA
"243","erythropoietin mediated neuroprotection through nf-kb","0.482587995590585",NA,NA,NA,NA,NA
"244","estrogen responsive protein efp controls cell cycle and breast tumors growth","0.606296997404484",NA,NA,NA,NA,NA
"245","regulation of p27 phosphorylation during cell cycle progression","0.634970652532899",NA,NA,NA,NA,NA
"246","apoptotic signaling in response to dna damage","0.637751592957598",NA,NA,NA,NA,NA
"247","lissencephaly gene (lis1) in neuronal migration and development","0.762672286700118",NA,NA,NA,NA,NA
