Time	TH	ErrTH	H	Prob[p21--AKT]	ErrProb[p21--AKT]	Prob[Insulin--p21]	ErrProb[Insulin--p21]	Prob[Insulin--p21--Senescence--AKT]	ErrProb[Insulin--p21--Senescence--AKT]	Prob[Insulin--Senescence--AKT]	ErrProb[Insulin--Senescence--AKT]	Prob[mTORC1_S6K1--Senescence]	ErrProb[mTORC1_S6K1--Senescence]	Prob[Insulin--p21--mTORC1_S6K1--Senescence]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence]	Prob[p21--mTORC1_S6K1--AKT]	ErrProb[p21--mTORC1_S6K1--AKT]	Prob[mTORC1_S6K1]	ErrProb[mTORC1_S6K1]	Prob[Insulin--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--mTORC1_S6K1--Senescence--AKT]	Prob[Insulin--p21--AKT]	ErrProb[Insulin--p21--AKT]	Prob[Insulin--Senescence]	ErrProb[Insulin--Senescence]	Prob[p21--Senescence--AKT]	ErrProb[p21--Senescence--AKT]	Prob[Insulin--AKT]	ErrProb[Insulin--AKT]	Prob[mTORC1_S6K1--AKT]	ErrProb[mTORC1_S6K1--AKT]	Prob[p21--mTORC1_S6K1--Senescence]	ErrProb[p21--mTORC1_S6K1--Senescence]	Prob[p21--Senescence]	ErrProb[p21--Senescence]	Prob[Insulin--mTORC1_S6K1--Senescence]	ErrProb[Insulin--mTORC1_S6K1--Senescence]	Prob[p21]	ErrProb[p21]	Prob[Insulin--mTORC1_S6K1--AKT]	ErrProb[Insulin--mTORC1_S6K1--AKT]	Prob[mTORC1_S6K1--Senescence--AKT]	ErrProb[mTORC1_S6K1--Senescence--AKT]	Prob[AKT]	ErrProb[AKT]	Prob[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--Senescence--AKT]	Prob[Senescence]	ErrProb[Senescence]	Prob[Senescence--AKT]	ErrProb[Senescence--AKT]	Prob[Insulin--mTORC1_S6K1]	ErrProb[Insulin--mTORC1_S6K1]	Prob[p21--mTORC1_S6K1--Senescence--AKT]	ErrProb[p21--mTORC1_S6K1--Senescence--AKT]	Prob[<nil>]	ErrProb[<nil>]	Prob[Insulin--p21--mTORC1_S6K1--AKT]	ErrProb[Insulin--p21--mTORC1_S6K1--AKT]	Prob[Insulin--p21--mTORC1_S6K1]	ErrProb[Insulin--p21--mTORC1_S6K1]	Prob[Insulin--p21--Senescence]	ErrProb[Insulin--p21--Senescence]	Prob[Insulin]	ErrProb[Insulin]	Prob[p21--mTORC1_S6K1]	ErrProb[p21--mTORC1_S6K1]	
1.0000	0.2787	0.0151	3.7123	0	0	0.115371	0.009886	0.012187	0.003291	0.052756	0.006878	0	0	0.087197	0.008842	0	0	0	0	0.058811	0.007239	0.010002	0.003043	0.067715	0.007792	0	0	0.081876	0.008554	0	0	0	0	0	0	0.051748	0.006861	0	0	0.073104	0.008115	0	0	0	0	0.024242	0.004765	0	0	0	0	0.104917	0.009537	0	0	0	0	0.004000	0.001997	0.040793	0.006086	0.096472	0.009233	0.118810	0.010001	0	0	
1.1000	0.2626	0.0148	3.7002	0	0	0.124282	0.010320	0.010664	0.003145	0.048070	0.006596	0	0	0.092767	0.008981	0	0	0	0	0.060654	0.007508	0.010179	0.003088	0.067923	0.007801	0	0	0.076226	0.008255	0	0	0	0	0	0	0.052744	0.006926	0	0	0.074376	0.008255	0	0	0	0	0.023134	0.004654	0	0	0	0	0.104710	0.009550	0	0	0	0	0.003281	0.001753	0.042650	0.006196	0.093023	0.009040	0.115319	0.009935	0	0	
1.2000	0.2402	0.0143	3.6686	0	0	0.134893	0.010669	0.007310	0.002596	0.043790	0.006385	0	0	0.098109	0.009249	0	0	0	0	0.060857	0.007425	0.009583	0.002953	0.064601	0.007666	0	0	0.075038	0.008191	0	0	0	0	0	0	0.053709	0.006983	0	0	0.075172	0.008213	0	0	0	0	0.023518	0.004673	0	0	0	0	0.103694	0.009564	0	0	0	0	0.002944	0.001698	0.038949	0.005967	0.085832	0.008730	0.122000	0.010194	0	0	
1.3000	0.2331	0.0141	3.6461	0	0	0.137425	0.010799	0.006780	0.002563	0.037879	0.005923	0	0	0.103757	0.009554	0	0	0	0	0.057023	0.007211	0.007606	0.002688	0.064729	0.007673	0	0	0.072830	0.008095	0	0	0	0	0	0	0.052269	0.006832	0	0	0.080044	0.008476	0	0	0	0	0.024566	0.004815	0	0	0	0	0.105064	0.009520	0	0	0	0	0.001859	0.001171	0.041529	0.006232	0.083495	0.008613	0.123145	0.010247	0	0	
1.4000	0.2197	0.0138	3.6217	0	0	0.141116	0.010847	0.006000	0.002443	0.032426	0.005526	0	0	0.107964	0.009673	0	0	0	0	0.055887	0.007114	0.007795	0.002753	0.060664	0.007405	0	0	0.068758	0.007897	0	0	0	0	0	0	0.048081	0.006641	0	0	0.084160	0.008653	0	0	0	0	0.023321	0.004710	0	0	0	0	0.103395	0.009486	0	0	0	0	0.001812	0.001288	0.043918	0.006257	0.082900	0.008583	0.131803	0.010470	0	0	
1.5000	0.2084	0.0135	3.6033	0	0	0.146693	0.011059	0.007061	0.002557	0.030342	0.005332	0	0	0.111269	0.009774	0	0	0	0	0.055828	0.007108	0.007490	0.002680	0.052896	0.006950	0	0	0.063143	0.007591	0	0	0	0	0	0	0.046377	0.006412	0	0	0.089225	0.008943	0	0	0	0	0.023093	0.004609	0	0	0	0	0.103832	0.009549	0	0	0	0	0.001000	0.001000	0.045000	0.006370	0.084472	0.008700	0.132279	0.010578	0	0	
1.6000	0.1937	0.0130	3.5799	0	0	0.151184	0.011206	0.005001	0.002144	0.025948	0.004926	0	0	0.116168	0.010041	0	0	0	0	0.057472	0.007323	0.008231	0.002827	0.046352	0.006531	0	0	0.059612	0.007344	0	0	0	0	0	0	0.044868	0.006413	0	0	0.091984	0.009028	0	0	0	0	0.023000	0.004743	0	0	0	0	0.108312	0.009711	0	0	0	0	0.001000	0.001000	0.047029	0.006523	0.084573	0.008691	0.129265	0.010504	0	0	
1.7000	0.1882	0.0128	3.5523	0	0	0.159001	0.011470	0.003721	0.001873	0.021387	0.004501	0	0	0.122534	0.010291	0	0	0	0	0.055707	0.007136	0.008381	0.002843	0.044926	0.006490	0	0	0.058614	0.007357	0	0	0	0	0	0	0.043528	0.006330	0	0	0.101859	0.009395	0	0	0	0	0.020875	0.004450	0	0	0	0	0.105792	0.009540	0	0	0	0	0.001000	0.001000	0.049068	0.006628	0.080425	0.008541	0.123182	0.010285	0	0	
1.8000	0.1802	0.0126	3.5250	0	0	0.164231	0.011632	0.002722	0.001368	0.020375	0.004394	0	0	0.127858	0.010472	0	0	0	0	0.053311	0.007027	0.006926	0.002502	0.042956	0.006295	0	0	0.057485	0.007288	0	0	0	0	0	0	0.040851	0.006110	0	0	0.110715	0.009846	0	0	0	0	0.018704	0.004197	0	0	0	0	0.098532	0.009257	0	0	0	0	0.001223	0.001024	0.054438	0.007025	0.076163	0.008248	0.123510	0.010297	0	0	
1.9000	0.1698	0.0123	3.4947	0	0	0.172066	0.011850	0.003000	0.001730	0.019308	0.004192	0	0	0.132121	0.010602	0	0	0	0	0.054922	0.007052	0.004025	0.001997	0.039883	0.006136	0	0	0.058241	0.007352	0	0	0	0	0	0	0.036458	0.005757	0	0	0.114335	0.010007	0	0	0	0	0.018538	0.004227	0	0	0	0	0.098381	0.009340	0	0	0	0	0.000842	0.000842	0.057658	0.007247	0.071447	0.008075	0.118775	0.010139	0	0	
2.0000	0.1651	0.0122	3.4745	0	0	0.178070	0.012024	0.002724	0.001587	0.017178	0.004093	0	0	0.137313	0.010776	0	0	0	0	0.053764	0.007052	0.003833	0.001919	0.040038	0.006054	0	0	0.053115	0.006973	0	0	0	0	0	0	0.036699	0.005838	0	0	0.122300	0.010257	0	0	0	0	0.018748	0.004196	0	0	0	0	0.094803	0.009074	0	0	0	0	0.000908	0.000908	0.060195	0.007362	0.066578	0.007765	0.113736	0.009853	0	0	
2.1000	0.1600	0.0119	3.4613	0	0	0.180688	0.012100	0.002000	0.001414	0.015864	0.003834	0	0	0.139495	0.010841	0	0	0	0	0.054681	0.007058	0.002610	0.001539	0.037676	0.005954	0	0	0.051386	0.006879	0	0	0	0	0	0	0.035999	0.005802	0	0	0.128260	0.010505	0	0	0	0	0.021439	0.004537	0	0	0	0	0.088980	0.008880	0	0	0	0	0.001858	0.001317	0.059948	0.007266	0.065204	0.007782	0.113912	0.009929	0	0	
2.2000	0.1475	0.0115	3.4255	0	0	0.183646	0.012164	0.001059	0.001002	0.014193	0.003722	0	0	0.149053	0.011171	0	0	0	0	0.056135	0.007236	0.002000	0.001414	0.031841	0.005432	0	0	0.048613	0.006748	0	0	0	0	0	0	0.034757	0.005715	0	0	0.131882	0.010637	0	0	0	0	0.022366	0.004627	0	0	0	0	0.085846	0.008651	0	0	0	0	0.002674	0.001565	0.054134	0.006951	0.063459	0.007651	0.118342	0.010028	0	0	
2.3000	0.1393	0.0113	3.4164	0	0	0.190219	0.012331	0.000552	0.000552	0.013802	0.003599	0	0	0.147710	0.011175	0	0	0	0	0.057604	0.007304	0.002284	0.001441	0.027919	0.005100	0	0	0.049030	0.006746	0	0	0	0	0	0	0.034350	0.005696	0	0	0.131364	0.010587	0	0	0	0	0.026689	0.005047	0	0	0	0	0.083614	0.008651	0	0	0	0	0.002000	0.001414	0.053950	0.007023	0.063065	0.007615	0.115849	0.010054	0	0	
2.4000	0.1436	0.0114	3.4015	0	0	0.195233	0.012424	0	0	0.011689	0.003298	0	0	0.147654	0.011138	0	0	0	0	0.055216	0.007147	0.002515	0.001504	0.025488	0.004895	0	0	0.049030	0.006664	0	0	0	0	0	0	0.032891	0.005509	0	0	0.133907	0.010707	0	0	0	0	0.028629	0.005233	0	0	0	0	0.085603	0.008696	0	0	0	0	0.002111	0.001418	0.060256	0.007391	0.061227	0.007457	0.108551	0.009657	0	0	
2.5000	0.1378	0.0113	3.3844	0	0	0.205018	0.012688	0	0	0.009959	0.003135	0	0	0.147006	0.011083	0	0	0	0	0.058646	0.007388	0.002000	0.001414	0.023401	0.004717	0	0	0.047845	0.006722	0	0	0	0	0	0	0.029238	0.005219	0	0	0.134925	0.010764	0	0	0	0	0.029623	0.005301	0	0	0	0	0.084371	0.008640	0	0	0	0	0.004081	0.001842	0.061117	0.007401	0.057998	0.007282	0.104772	0.009566	0	0	
2.6000	0.1297	0.0110	3.3546	0	0	0.211439	0.012796	0	0	0.009000	0.002988	0	0	0.150878	0.011235	0	0	0	0	0.065346	0.007721	0.001075	0.001003	0.022244	0.004624	0	0	0.044626	0.006446	0	0	0	0	0	0	0.026093	0.004968	0	0	0.138921	0.010882	0	0	0	0	0.025598	0.004873	0	0	0	0	0.084141	0.008676	0	0	0	0	0.005416	0.002269	0.061688	0.007435	0.055857	0.007147	0.097679	0.009280	0	0	
2.7000	0.1276	0.0109	3.3342	0	0	0.217528	0.012926	0.000815	0.000815	0.009678	0.003062	0	0	0.153218	0.011297	0	0	0	0	0.069291	0.007967	0.001000	0.001000	0.019600	0.004314	0	0	0.039751	0.006108	0	0	0	0	0	0	0.026488	0.004954	0	0	0.142984	0.011049	0	0	0	0	0.022609	0.004637	0	0	0	0	0.079255	0.008432	0	0	0	0	0.005970	0.002424	0.061469	0.007370	0.050945	0.006832	0.099401	0.009336	0	0	
2.8000	0.1290	0.0109	3.2982	0	0	0.224201	0.013009	0.001000	0.001000	0.010012	0.003093	0	0	0.159648	0.011480	0	0	0	0	0.073313	0.008167	0.000234	0.000174	0.015487	0.003829	0	0	0.038686	0.005990	0	0	0	0	0	0	0.025575	0.004881	0	0	0.142893	0.011018	0	0	0	0	0.019939	0.004341	0	0	0	0	0.076787	0.008304	0	0	0	0	0.006749	0.002554	0.061058	0.007315	0.045844	0.006445	0.098575	0.009285	0	0	
2.9000	0.1236	0.0107	3.2766	0	0	0.228496	0.013200	0.001000	0.001000	0.009310	0.003003	0	0	0.160902	0.011568	0	0	0	0	0.075724	0.008325	0.001000	0.001000	0.013695	0.003648	0	0	0.036064	0.005820	0	0	0	0	0	0	0.025263	0.004904	0	0	0.146916	0.011149	0	0	0	0	0.019640	0.004291	0	0	0	0	0.069662	0.007916	0	0	0	0	0.006009	0.002335	0.065484	0.007675	0.041967	0.006292	0.098869	0.009337	0	0	
3.0000	0.1167	0.0102	3.2688	0	0	0.229525	0.013136	0.001265	0.001034	0.009588	0.003033	0	0	0.161789	0.011549	0	0	0	0	0.074706	0.008225	0.001775	0.001264	0.012836	0.003519	0	0	0.032415	0.005570	0	0	0	0	0	0	0.023029	0.004738	0	0	0.155278	0.011402	0	0	0	0	0.019144	0.004211	0	0	0	0	0.070656	0.007975	0	0	0	0	0.006567	0.002507	0.066155	0.007677	0.044802	0.006410	0.090473	0.008874	0	0	
3.1000	0.1097	0.0099	3.2433	0	0	0.234438	0.013268	0.002469	0.001489	0.008852	0.002942	0	0	0.162968	0.011605	0	0	0	0	0.075598	0.008261	0.002000	0.001414	0.012615	0.003497	0	0	0.033027	0.005647	0	0	0	0	0	0	0.021526	0.004548	0	0	0.163682	0.011641	0	0	0	0	0.015961	0.003767	0	0	0	0	0.069407	0.007905	0	0	0	0	0.005577	0.002304	0.065582	0.007619	0.043414	0.006330	0.082885	0.008615	0	0	
3.2000	0.1047	0.0095	3.2296	0	0	0.237684	0.013339	0.003000	0.001730	0.009033	0.002896	0	0	0.160588	0.011480	0	0	0	0	0.073856	0.008229	0.002000	0.001414	0.012000	0.003445	0	0	0.031373	0.005449	0	0	0	0	0	0	0.022740	0.004627	0	0	0.169325	0.011837	0	0	0	0	0.016075	0.003916	0	0	0	0	0.066550	0.007766	0	0	0	0	0.004125	0.002001	0.067499	0.007770	0.042538	0.006198	0.081615	0.008528	0	0	
3.3000	0.1053	0.0097	3.2114	0	0	0.245147	0.013509	0.003000	0.001730	0.010067	0.003148	0	0	0.162051	0.011585	0	0	0	0	0.069686	0.007967	0.002000	0.001414	0.011072	0.003254	0	0	0.030063	0.005341	0	0	0	0	0	0	0.022000	0.004641	0	0	0.173659	0.011891	0	0	0	0	0.016334	0.003983	0	0	0	0	0.067034	0.007788	0	0	0	0	0.004919	0.002197	0.062035	0.007480	0.043487	0.006374	0.077446	0.008271	0	0	
3.4000	0.1029	0.0098	3.1976	0	0	0.247460	0.013547	0.002874	0.001661	0.011498	0.003336	0	0	0.163203	0.011598	0	0	0	0	0.065997	0.007743	0.002000	0.001414	0.009733	0.003074	0	0	0.029825	0.005338	0	0	0	0	0	0	0.021838	0.004565	0	0	0.179760	0.012088	0	0	0	0	0.015612	0.003869	0	0	0	0	0.066675	0.007835	0	0	0	0	0.005285	0.002248	0.061697	0.007391	0.044671	0.006440	0.071872	0.008109	0	0	
3.5000	0.0965	0.0095	3.1661	0	0	0.246327	0.013554	0.002000	0.001414	0.010342	0.003095	0	0	0.167430	0.011690	0	0	0	0	0.061497	0.007492	0.002000	0.001414	0.008150	0.002813	0	0	0.028907	0.005255	0	0	0	0	0	0	0.020548	0.004368	0	0	0.190615	0.012349	0	0	0	0	0.017301	0.004080	0	0	0	0	0.064554	0.007685	0	0	0	0	0.005168	0.002134	0.057993	0.007276	0.046052	0.006521	0.071116	0.008016	0	0	
3.6000	0.0983	0.0096	3.1303	0	0	0.245835	0.013572	0.002000	0.001414	0.008298	0.002833	0	0	0.170824	0.011801	0	0	0	0	0.058464	0.007343	0.001942	0.001373	0.006389	0.002436	0	0	0.026475	0.004949	0	0	0	0	0	0	0.018853	0.004247	0	0	0.199422	0.012557	0	0	0	0	0.017993	0.004205	0	0	0	0	0.060760	0.007465	0	0	0	0	0.005000	0.002232	0.054766	0.007048	0.047514	0.006607	0.075466	0.008266	0	0	
3.7000	0.0970	0.0095	3.0923	0	0	0.249027	0.013619	0.002343	0.001454	0.008000	0.002819	0	0	0.173405	0.011900	0	0	0	0	0.059428	0.007423	0.001000	0.001000	0.005631	0.002318	0	0	0.025009	0.004888	0	0	0	0	0	0	0.016736	0.003998	0	0	0.205002	0.012751	0	0	0	0	0.016094	0.003874	0	0	0	0	0.060353	0.007459	0	0	0	0	0.005000	0.002232	0.050624	0.006826	0.045433	0.006514	0.076916	0.008301	0	0	
3.8000	0.0920	0.0094	3.0646	0	0	0.259185	0.013738	0.002709	0.001581	0.008291	0.002833	0	0	0.172547	0.011818	0	0	0	0	0.055837	0.007206	0.001123	0.001007	0.006251	0.002456	0	0	0.025455	0.004953	0	0	0	0	0	0	0.015117	0.003802	0	0	0.209910	0.012826	0	0	0	0	0.015530	0.003880	0	0	0	0	0.062065	0.007543	0	0	0	0	0.004877	0.002180	0.045099	0.006391	0.045215	0.006318	0.070789	0.008012	0	0	
3.9000	0.0835	0.0089	3.0390	0	0	0.267367	0.013910	0.001457	0.001099	0.009543	0.003035	0	0	0.171508	0.011847	0	0	0	0	0.054511	0.007123	0.002000	0.001414	0.007000	0.002638	0	0	0.026629	0.005071	0	0	0	0	0	0	0.015272	0.003781	0	0	0.215069	0.012951	0	0	0	0	0.015276	0.003855	0	0	0	0	0.060158	0.007434	0	0	0	0	0.004000	0.001997	0.043124	0.006311	0.040271	0.006056	0.066814	0.007850	0	0	
4.0000	0.0766	0.0086	3.0207	0	0	0.266643	0.013944	0.001000	0.001000	0.009437	0.003004	0	0	0.171195	0.011880	0	0	0	0	0.052273	0.006912	0.001067	0.001002	0.007726	0.002734	0	0	0.025150	0.004875	0	0	0	0	0	0	0.014968	0.003780	0	0	0.220248	0.013018	0	0	0	0	0.013871	0.003681	0	0	0	0	0.058691	0.007347	0	0	0	0	0.004631	0.002093	0.044413	0.006427	0.037813	0.005955	0.070873	0.008058	0	0	
4.1000	0.0757	0.0086	3.0085	0	0	0.267691	0.013946	0.001321	0.001050	0.009010	0.002988	0	0	0.170182	0.011809	0	0	0	0	0.049912	0.006803	0.001000	0.001000	0.007713	0.002642	0	0	0.025276	0.004897	0	0	0	0	0	0	0.014514	0.003702	0	0	0.223738	0.013142	0	0	0	0	0.013382	0.003489	0	0	0	0	0.057839	0.007291	0	0	0	0	0.004072	0.001981	0.044284	0.006358	0.037536	0.005921	0.072530	0.008079	0	0	
4.2000	0.0802	0.0087	3.0163	0	0	0.266724	0.013881	0.002000	0.001414	0.008190	0.002824	0	0	0.167852	0.011727	0	0	0	0	0.049750	0.006794	0.002604	0.001518	0.008810	0.002930	0	0	0.022106	0.004601	0	0	0	0	0	0	0.013569	0.003609	0	0	0.227358	0.013218	0	0	0	0	0.013713	0.003636	0	0	0	0	0.056769	0.007277	0	0	0	0	0.004000	0.001997	0.045289	0.006370	0.040276	0.006148	0.070990	0.008023	0	0	
4.3000	0.0741	0.0083	2.9823	0	0	0.268726	0.013923	0.001081	0.001003	0.006605	0.002480	0	0	0.170959	0.011840	0	0	0	0	0.049168	0.006794	0.003919	0.001958	0.007500	0.002665	0	0	0.022678	0.004606	0	0	0	0	0	0	0.013092	0.003525	0	0	0.234152	0.013323	0	0	0	0	0.013271	0.003556	0	0	0	0	0.052416	0.006843	0	0	0	0	0.003023	0.001730	0.046499	0.006443	0.041297	0.006147	0.065615	0.007728	0	0	
4.4000	0.0700	0.0081	2.9601	0	0	0.272176	0.014009	0.001662	0.001199	0.006949	0.002619	0	0	0.169733	0.011801	0	0	0	0	0.046646	0.006591	0.004265	0.002014	0.005997	0.002360	0	0	0.020621	0.004449	0	0	0	0	0	0	0.014593	0.003750	0	0	0.241915	0.013488	0	0	0	0	0.012959	0.003448	0	0	0	0	0.049281	0.006765	0	0	0	0	0.003000	0.001730	0.049240	0.006786	0.039449	0.006049	0.061515	0.007484	0	0	
4.5000	0.0703	0.0083	2.9439	0	0	0.279006	0.014122	0.002000	0.001414	0.007505	0.002682	0	0	0.168640	0.011770	0	0	0	0	0.044997	0.006491	0.004045	0.001910	0.006683	0.002445	0	0	0.020978	0.004492	0	0	0	0	0	0	0.012819	0.003402	0	0	0.243935	0.013562	0	0	0	0	0.013053	0.003527	0	0	0	0	0.050594	0.006859	0	0	0	0	0.003315	0.001704	0.046107	0.006503	0.038663	0.005925	0.057660	0.007349	0	0	
