,Quiescent 1h/control,Quiescent 6h/control,Quiescent 24h/control,Quiescent 96h/control,Rapamycin 1h/control,Rapamycin 6h/control,Rapamycin 24h/control,Rapamycin 96h/control,IGF 0.5h/control,IGF 1h/control,IGF 3h/control,IGF 6h/control,IGF 24h/control,Apoptosis 0.5h/control,Apoptosis 1h/control,Apoptosis 3h/control,Apoptosis 6h/control,Senescent 1h/control,Senescent 6h/control,Senescent 24h/control,Senescent 96h/control
NFkB-p65 (Phospho-Ser276),-0.299019815,0.764090711,0.330397791,0.236263412,-0.03819878,0.221744083,0.38973374,0.540582475,0.107884457,0.199921435,-0.311455079,0.406576003,-0.006644538,0.766997232,0.533251678,0.97484851,0.221874007,0.053888459,0.42876773,0.224661604,0.755084345
NFkB-p65 (Phospho-Thr435),-0.123549405,1.050891659,0.063821,0.823580625,0.009965439,0.506014747,0.527167274,0.303073245,-0.019300044,0.334464302,-0.977848512,0.193634292,0.179901834,0.34223488,0.882277713,0.828029366,-0.103925939,0.596459958,0.645551857,0.496692151,1.797193754
NFkB-p65 (Phospho-Ser468),0.086571245,0.230501864,-0.721938607,-2.075220405,-0.13677941,-0.845252497,-0.487245766,-0.280420385,-0.918229772,-0.658667524,-2.161617276,-0.83032686,-1.551601045,-1.941356413,-0.501385148,-1.342452346,0.546124727,-1.617292419,-1.215740709,-1.724044336,-0.339317191
NFkB-p65 (Phospho-Ser536),0.311659655,0.19567691,0.393305546,-0.621891308,-0.182379209,-0.33253826,-0.076053068,0.15102909,-0.794677582,-0.25094331,-0.169922545,0.5610102,-0.788081856,-0.212563801,-0.013435158,2.371467063,-0.03859673,0.124508274,-0.177019562,0.026485235,1.096636601
NFkB-p100/p52 (Phospho-Ser865),-0.98509199,-1.260659836,0.189903602,0.633682331,-0.75318318,0.729068123,1.240870104,0.617301766,0.437964163,0.746979831,-0.457442409,-1.236431389,-1.103431958,0.30552016,0.573102938,1.591916882,1.13435294,-0.996799766,0.050158217,-0.672195314,0.010099122
NFkB-p100/p52 (Phospho-Ser869),0.860876448,2.778074256,0.873025391,0.893198327,0.565784784,0.271341153,1.261703806,1.126389811,0.949681061,0.949770063,0.242419482,1.307007156,0.383698724,0.962596997,1.801982647,1.912075813,0.930238255,0.703382208,0.93697409,0.707079649,2.725503724
MKK4/SEK1 (Phospho-Ser80),-0.11301991,-0.098894037,0.111175547,1.605866983,-0.23577255,-0.150127327,0.193407915,0.166967267,-0.243352839,0.264413948,0.056558086,0.745090705,-0.554496196,0.298529087,0.417325213,0.997739042,0.301195567,-0.235402228,0.020943628,-0.071867449,0.398147726
ASK1 (Phospho-Ser966),0.108945769,-0.196720495,0.281142585,-0.086552895,0.006537095,0.219228531,0.513421705,0.492152819,0.063593123,0.418112688,0.09542341,1.162617044,-0.201210871,0.968104893,0.962931495,0.757469589,0.464838653,0.017059472,0.216121782,0.033319766,0.840893039
HDAC4 (Phospho-Ser632),-0.559694357,0.152562315,0.038169673,0.211258766,-0.364761416,-0.30122396,0.240695605,0.108585753,-0.54124473,-0.01503151,-0.14827087,-0.293042218,-0.372802136,0.001919079,0.637224002,0.528375599,0.361043144,-0.210282595,0.064332006,-0.076522388,0.868150675
HDAC5 (Phospho-Ser498),0.248413035,0.068877545,0.5246485,-0.091259746,0.121830444,0.263785196,0.632343368,0.995103663,-0.029764747,0.045555885,-0.058654243,0.685710038,-0.675406716,0.274038363,1.015989935,0.631174274,0.581004041,0.10884221,0.154930863,0.094144204,1.630925342
HDAC8 (Phospho-Ser39),0.329141333,0.512925679,0.156113207,0.436229999,-0.077815201,0.283993752,0.36007433,0.382648317,0.782382293,0.615172106,1.071233403,1.536937519,-0.154493302,0.793994194,1.003460155,0.731263606,0.164622081,0.121134117,0.359695575,0.217225473,0.67805563
HSP27 (Phospho-Ser15),0.120571346,0.198959291,0.135429894,0.640729733,0.195803024,0.418044122,0.59729777,0.817978062,0.657207719,0.510219578,-0.343901603,-0.377917496,-0.205762038,0.109211118,0.680127839,1.052330806,0.298015684,0.162221741,0.257978385,-0.13609375,1.789238961
SMC1 (Phospho-Ser957),0.965471182,0.528799117,1.231224521,2.218463344,0.04503282,1.334726141,0.646596146,0.671376532,1.807143263,1.240708227,2.023755911,-0.034452124,1.019465241,1.833312741,0.750051748,1.373485041,0.662975929,1.458823286,1.381488175,0.641264804,1.52095467
BCR (Phospho-Tyr177),0.029784156,-0.190910729,-0.275177643,0.236032459,-0.153906289,-0.004914062,0.178145408,0.373265052,-0.320717176,-0.007004293,0.026263269,0.550477351,0.109601754,1.387908869,1.587446105,1.271484102,0.305002042,-0.020473586,0.305181687,0.263504966,0.242639434
MSK1 (Phospho-Ser376),-0.539000286,-0.38765206,0.120561832,0.714442245,-0.2595088,-0.151512887,0.057132779,0.21688896,-0.502591905,-0.021985544,-0.029882743,-0.013639693,-0.021578599,0.38196987,0.167110901,0.204652438,-0.249725528,-0.467798519,-0.032094121,-0.203471659,0.078262017
Paxillin (Phospho-Tyr31),-0.09841893,0.189494283,-0.336839813,0.391287384,-0.170016729,-0.270089607,0.238620361,0.228952104,-0.07800443,0.491076087,0.472342323,0.302136962,-0.05003325,0.828567486,0.55178106,1.006521932,0.460116255,0.047175713,0.101031696,1.345276385,0.457610146
Ezrin (Phospho-Thr566),-0.178915606,-0.239281151,-0.063374669,-0.186179406,-0.158057603,-0.407111971,0.153198729,0.144953523,-0.589128285,0.235402953,-0.346843167,0.179595427,-0.672883732,-0.107678268,0.649569304,0.687077061,0.026443281,-0.133016465,0.012575915,0.210628821,0.578631728
Rac1/cdc42 (Phospho-Ser71),0.087391757,-0.368272146,0.599535951,0.411414732,-0.335387534,-0.087814831,-0.116174513,-0.213592386,0.147070433,0.393371384,0.369777885,0.435554633,-0.515675942,1.549454726,0.813130932,0.579459626,0.919526481,0.102657427,0.404124809,0.268512894,0.056125686
Raf1 (Phospho-Ser338),-0.299199445,0.985637308,0.543971903,0.201103633,-0.076930335,0.016386431,-0.007019037,0.227656482,-0.088623933,0.083911535,0.439883783,-0.305294906,0.200963225,0.98570583,0.350753429,0.664675429,0.42060971,0.438791511,0.563051637,0.537287126,0.620137337
MEK1 (Phospho-Ser217),0.19810221,0.506818782,-0.518197315,0.911842313,-0.414108988,2.487661401,0.34769577,0.638503083,0.256057676,0.379534997,0.333431288,1.384391452,-0.190942631,0.624296622,1.21990759,0.904135702,0.209631772,0.485825532,0.064018498,0.51977974,0.784729434
p21Cip1 (Phospho-Thr145),0.059150477,0.830661421,0.546392186,1.184133779,-0.006712984,3.640545729,0.171034543,0.375043875,0.770183559,0.870230058,0.611525362,0.19438749,0.998187133,1.640552667,0.96698083,0.20363027,0.074192024,0.980729653,0.971669815,0.497587758,0.56085979
p27Kip1 (Phospho-Ser10),0.011575203,1.006972158,0.426935664,0.888095319,0.159502963,1.282945222,0.373696347,0.493512703,0.242188901,0.304300096,0.263024171,1.001856857,0.485721306,0.890928664,0.731805193,0.544110925,0.147423938,0.628637829,0.528396735,0.210905135,0.734387369
p27Kip1 (Phospho-Thr187),0.273345232,1.022617508,0.680247704,1.667280646,0.342409241,1.108912833,0.886205155,0.982315861,2.188856844,1.236827298,1.176646492,1.076753954,1.758984456,2.5408968,1.459689535,1.52230644,0.525223251,1.505711811,1.210395366,1.032668944,2.334191158
Histone H3.1 (Phospho-Ser10),0.226577875,-0.209961981,0.139901201,-0.645160572,-0.375198457,-0.493396898,-0.184885172,0.0394992,-0.632169759,-0.710871146,0.135281428,1.015295417,-0.081837419,0.607687906,0.785552514,1.926105759,0.302578811,-0.103790585,-0.084306657,0.157350127,0.136737114
ASK1 (Phospho-Ser83),0.006269005,-0.539612377,0.32138099,-0.383499055,-0.428443259,-0.744290664,0.460328165,0.155545561,-0.589925938,-0.444238709,-0.806190194,0.348867197,-0.609767118,-0.195107888,0.315146523,1.247949535,0.037981618,-0.562329156,-0.391483501,-0.3168371,-0.285729932
NFkB-p105/p50 (Ab-893),0.241735425,1.060842731,0.586786426,0.978303433,0.234006501,0.988091774,0.453146181,0.621054325,1.180361939,0.969656436,0.839572652,0.300986541,0.636753233,1.553922538,1.203378607,0.350889398,0.142007741,1.503769863,1.251419687,0.329484833,0.999902768
NFkB-p105/p50 (Ab-907),0.21088553,1.021916298,0.563006084,0.936794378,0.119219562,0.735457348,0.364980393,0.426235546,0.767023906,0.780378736,0.488059488,0.444131776,0.10379638,0.717262792,0.687755534,0.059459131,0.22965663,0.614690973,0.750527742,0.128282608,0.908748888
Rel (Ab-503),-0.146142213,0.414360943,0.221030105,0.966231525,-0.024338184,0.823014038,0.110597285,0.197677632,0.640160251,0.725918773,0.653196584,0.2324457,-0.016031596,0.71376993,0.470362296,0.014203382,0.185254612,0.894179058,0.645346505,0.036820318,0.103189682
c-Jun (Ab-91),-0.084853576,0.503201989,0.404430535,0.816134957,-0.12714835,0.50218364,0.002253958,0.029480979,0.330041753,0.545537103,0.465469862,0.270391737,0.044817916,0.627833471,0.338822563,0.014184316,0.119284311,4.473257395,0.510705872,-0.115727685,0.065960313
c-Jun (Ab-93),-0.375847799,0.458614301,0.062423123,1.456994364,0.092014838,0.625049426,0.1951766,-0.541566527,1.446850419,0.561104358,0.542781048,-0.153997112,-0.17391088,-0.292911123,-0.624471789,-0.654832991,-0.146343284,0.461628161,0.342380835,-0.195373395,-1.103871674
c-Jun (Ab-170),-0.086207922,0.894732861,0.326756196,0.590200466,-0.185892055,0.67138674,0.45740889,0.458645473,0.201931526,0.43922934,0.855803412,1.063861649,1.714068783,1.029249614,0.585969839,0.033332785,0.20899093,0.840428605,0.751254306,0.100783565,0.164805634
c-Jun (Ab-239),-0.232601008,0.214698528,0.039907603,0.019112615,-0.454368802,-0.011050639,-0.087575241,-0.016528157,0.536230746,0.137273215,0.297667421,0.35517149,3.882487245,0.524738751,0.36412093,0.738969418,0.05337193,0.221682272,0.093276804,-0.075663582,-0.277834134
c-Jun (Ab-243),0.079837796,0.143224962,0.263342697,0.076045996,-0.269584053,0.614619031,0.104611461,0.054214332,0.030759341,0.536518916,-0.098785905,-0.113468465,5.360163408,-0.253605741,-0.220653159,-0.325239037,-0.041280401,0.171615873,0.071964448,-0.096609444,0.134763408
JunB (Ab-79),-0.107180167,0.512863706,0.262504593,0.137886046,-0.110934506,0.501004782,0.07812743,0.082783731,0.277681605,0.507133067,0.57830652,-0.394943217,2.476862048,0.398815021,0.323576263,-0.194878991,-0.036870638,0.535779422,0.451209008,1.002451814,0.469962607
JunB (Ab-259),0.125898148,1.197127199,0.634697039,1.272331571,0.03164281,0.704502971,0.309156475,0.48152187,0.509321803,0.968449279,0.49401857,0.36469077,0.623111348,1.593396216,0.970171598,0.31861329,0.218887532,1.297350865,0.991639706,3.018638071,1.482153204
JunD (Ab-255),0.012121821,1.558398863,4.876970073,1.330621568,0.32430753,1.467787197,0.366868395,0.448437853,0.866964904,1.452364155,1.311609226,1.162485649,1.248346354,3.12588987,1.000371097,0.205981182,0.265450613,1.712443335,1.039006761,1.004276942,4.049299932
ATF2 (Ab-62/44),1.623817414,1.356574154,1.563095835,1.247434081,-0.096838929,0.524980727,-0.156205501,-0.262135603,-0.698191672,-0.259412222,-0.447800123,-1.027142961,0.356342806,0.073856418,-0.395364172,-0.96307143,0.420944863,0.850123723,0.480219748,-0.305217556,0.078103031
ATF2 (Ab-69/51),0.153286336,1.748485251,0.95489328,1.088716485,0.430864017,1.256214848,4.942517942,0.516416169,0.969591452,0.701029053,0.691008662,0.280875869,1.79349726,1.426287804,0.820196148,0.093430326,0.026603257,1.610852211,0.97404549,0.64891934,0.792022544
ATF2 (Ab-71/53),0.035250839,1.079546717,0.54083974,1.324588784,-0.109223171,3.861712136,0.243708325,0.103282627,0.524891527,0.531474471,0.666005823,0.31552315,1.009230039,1.134198517,0.520956184,-0.297627581,-0.015135821,1.041661469,0.585781441,0.147434684,-0.129996723
ATF2 (Ab-73/55),-0.056859376,0.860435879,0.590147677,1.367837373,0.250572723,4.501120832,0.296925728,0.386736903,0.890889511,0.786248495,0.403378362,0.172228841,0.950804294,3.931835437,0.585862526,0.197138228,0.13425766,1.168259993,0.958036036,0.516627348,0.435194041
ATF2 (Ab-112/94),0.282485619,0.851478354,0.573547119,1.086387026,-0.109972516,0.62917536,0.161362393,0.285891887,0.140281718,0.605961516,0.691460304,0.368415801,1.198501658,1.984077375,0.683457688,0.249941617,0.085126201,0.807529769,0.79670069,0.330713018,0.465050237
Myc (Ab-58),-0.218359106,0.191147698,0.136771479,0.942767974,-0.054180605,-0.41812238,-0.143290458,-0.029898313,0.065289368,-0.103053536,-0.774357614,-0.587910282,-0.152144652,-0.366619035,-0.31121828,0.0614841,-0.124103412,-0.544487853,-0.121836119,-0.320497865,0.433830144
Myc (Ab-358),0.370334828,-0.461979252,0.049861592,-0.886899625,-0.047870164,-0.548732732,0.033648627,0.221996714,-0.707596755,-0.492490389,-1.106378106,-1.218378073,-0.484699728,-0.385624188,0.210519434,-0.061481646,0.059499874,-0.074025266,-0.248646066,-0.197750444,0.778752356
Myc (Ab-373),0.175421787,0.900784174,0.746407833,1.011013883,-0.018834566,0.461448024,0.535746758,0.324618198,1.048663219,0.689288347,0.148516752,0.35512541,0.725248963,0.940297765,0.745932906,0.413712426,-0.034385624,1.42315868,0.897067273,0.354609723,0.684783748
FAK (Ab-397),-0.104565638,0.159256176,0.151666637,0.678992758,0.233220355,0.428668599,0.433641901,0.564701917,0.611030212,0.63967986,-0.176002258,-0.178061975,-0.007093238,0.719986594,0.689210582,0.481009494,0.259439712,0.623804527,0.642246791,0.121123437,0.887016987
Pyk2 (Ab-402),0.084336942,0.306432434,0.208096644,0.396724055,-0.281457083,0.504727379,-0.21491289,-0.137165665,-0.036816273,0.439816655,0.829092122,0.722438656,-0.111147235,0.344254023,0.263868697,-0.102917033,-0.022105137,0.506666601,0.357893236,0.03775293,-0.212345707
NFkB-p65 (Ab-529),0.258129221,-0.113266379,0.075679655,0.55268439,-0.190885588,0.499293439,-0.005047485,-0.110691048,-0.105684473,0.15722259,0.37068853,-0.050105085,-0.305408446,-0.279364152,0.176164653,-0.172073262,0.096825578,0.407679918,0.12372624,-0.177628868,-0.173744995
Catenin beta (Ab-37),0.269699013,-0.968450237,-0.164432407,-0.567455771,-0.619749229,-0.526060833,-0.682698108,-0.658363385,-0.794525368,-0.622333451,-0.720458261,-0.976611056,-0.822269404,-0.933354526,-0.6529493,-0.8152279,-0.217464434,-0.312876214,-0.611318561,-0.814094028,-1.068538461
EGFR (Ab-1172),-0.031411446,-0.58053024,-0.038949785,-0.415778954,-0.103887831,-0.081492939,0.703615819,0.807391236,0.169385706,0.110085466,-0.939824833,-0.383909415,-0.439970458,-0.363353516,0.902988667,0.853739554,0.251552139,-0.390481386,-0.096940588,-0.226940628,1.614824217
mTOR (Ab-2448),0.047299849,0.574341153,0.242663701,0.505165491,-0.109294409,0.970028813,-0.261488852,-0.199912719,0.376942837,0.607326396,1.225565099,0.446131464,1.022844127,0.477109202,-0.001801945,-0.209044286,0.021391509,0.889270208,0.410980735,0.164586197,-0.417158006
4E-BP1 (Ab-36),0.16898819,0.804001858,0.466726262,0.530246911,1.316440366,1.064791631,-0.073828809,-0.097429732,1.334010859,0.705338395,1.039948907,0.619299653,1.484573555,0.47125751,0.194665784,-0.100530685,0.091148555,0.848426097,0.540479035,0.079987509,-0.183060416
4E-BP1 (Ab-45),0.365113516,0.754049433,0.699516832,0.19929462,-0.064485098,1.074994991,0.619490314,0.547632878,0.340594601,0.892058565,0.201960423,0.390589251,7.666902617,0.239809957,0.837136157,0.910095388,0.473108654,0.68411105,0.511648434,0.364589842,1.039461303
Stathmin 1 (Ab-24),-0.220752567,0.690077512,0.277585334,0.341609943,-0.173182935,0.809349,-0.107075622,-0.162344231,0.409153951,0.480589308,0.805439823,0.31830699,6.763378451,1.27116278,0.332163671,-0.16866484,0.13496818,0.959592279,0.500753748,0.289138494,0.212627089
Stathmin 1 (Ab-37),-0.139111047,0.269396711,0.125918589,0.114174246,-0.2538913,0.162226636,-0.103430048,-0.11445903,0.107002201,0.324248179,0.431478243,0.425808125,0.257884042,0.746150494,0.228895435,0.053351078,-0.03091784,0.576450273,0.166685808,0.077770879,1.033533474
PDGFR beta (Ab-751),-0.163003757,-1.772922295,-0.15478032,0.301680341,-0.93629082,-1.210817405,-0.932019977,-1.004853525,-0.940202759,-1.005392473,-1.141504688,-1.842030331,-1.345703216,-1.630728796,-1.536313785,-1.293659844,-0.890731058,-1.54023369,-1.319144699,-1.459104461,-1.52178466
Met (Ab-1234),-0.037031817,0.643784953,3.39579634,0.500157785,0.107459928,0.397398623,0.363160308,0.099263351,0.424377335,0.501239523,0.462978962,0.185468856,0.636350646,0.934856481,0.590625523,0.40131112,0.260195602,0.869696072,0.536212771,0.272410164,0.797125748
EGFR (Ab-1197),0.247823518,0.65784212,0.530609995,0.457840462,-0.17292837,-0.018481848,1.781878537,0.063218653,0.05172972,0.213558072,0.3146878,0.303948026,0.353284843,0.70333058,0.573811001,0.79495059,0.183876279,0.239666624,0.218087858,0.097684111,0.147664906
EGFR (Ab-869),0.408730924,-0.529153245,-0.116125884,-0.606133254,-0.355138716,-0.728453395,-0.611405794,-0.382316061,-0.89460931,-0.928327068,-0.854854244,-1.413927876,-0.094159392,-0.893660191,-0.493036893,-0.828758106,0.016013474,-0.324398776,-0.289420032,-0.607159797,0.131595737
IRS-1 (Ab-636),-0.034875061,0.360122925,0.223930904,0.850155939,-0.000253314,0.431046255,-0.088403574,-0.065487537,0.454832653,0.381518425,0.401652852,0.148472197,0.778874779,1.089927829,-0.055163304,-0.059423546,-0.034058652,0.809966901,0.450094259,0.254605949,-0.255855013
IRS-1 (Ab-639),1.916342141,-0.949211289,0.082305287,0.912063946,-0.06906801,-1.081617993,-0.804963029,-0.577989097,-0.904434968,-0.887078994,-1.082858279,-2.081158401,-0.751113774,-1.622970012,-1.542755144,-1.11345114,-0.041771161,-1.1493625,-1.173199421,-1.288962277,-0.785253629
S6 Ribosomal Protein (Ab-235),0.198514724,0.833834683,0.452414288,0.665506535,0.029236374,0.274479505,0.118989727,0.079497625,0.634534011,0.577784936,0.877532187,0.857511679,1.115272771,1.51470969,0.748652048,0.193148428,0.196270393,1.125910803,0.581910293,0.69167412,1.020672057
eIF4E (Ab-209),0.138110822,0.947488454,0.298542884,0.616306381,-0.153965854,0.338406005,0.122553711,0.094799784,0.683489068,0.587833177,0.451928302,0.351780318,0.834488717,1.14449018,0.554718793,0.197904733,0.004550342,0.714381459,0.502153911,0.362672286,0.385560896
Stathmin 1 (Ab-15),0.182517025,0.759217253,0.580670382,-0.053182332,0.454618957,0.228915188,0.30798608,0.186978305,0.596197427,0.885019645,-0.051274489,0.085128593,0.133710628,0.938207506,0.91341005,0.526035371,0.132035738,1.101479128,0.715671923,0.195684548,0.266741918
DYN1 (Phospho-Ser774),0.247598777,0.671752583,0.954192178,1.042008101,0.208855601,0.10773094,0.521965011,0.908096676,0.636143804,0.745891227,-0.056420457,0.604233919,-0.32227653,0.629613345,0.320187891,0.342911278,0.267836319,0.995922215,0.472503342,0.002409173,1.203043512
E2F1 (Phospho-Thr433),-0.131462778,-0.407393199,0.341510448,-0.0202847,-0.263681797,-0.12411038,-0.099258026,-0.120266896,0.028962398,-0.164206022,0.607031654,1.003570333,-0.615454619,-0.15351143,0.241198595,0.088223391,0.128765511,-0.461598392,-0.171264473,-0.262485692,-0.287211151
FAK (Phospho-Tyr576),0.095217699,-0.008627483,0.223828416,0.440231945,-0.031493793,0.045258032,-0.159627675,-0.042564107,-0.316790936,0.149990094,0.397430802,0.262709201,-0.377368733,0.006969894,-0.047359546,0.004296791,0.048380313,-0.09884379,0.031420035,-0.329215168,-0.473442339
Fos (Phospho-Ser362),-0.283083558,0.505230455,0.458156508,0.323280178,-0.222935101,0.50423012,-0.040243992,0.080590817,0.485219147,0.33514846,1.263837172,1.638358048,-0.205142006,0.657802194,0.525722599,0.545290815,0.170237218,0.432847046,0.74290574,0.363085478,0.114915353
GRF-1 (Phospho-Tyr1105),-0.469862074,0.137879684,0.006850961,-0.246862076,-0.348167013,0.131077067,0.060380359,-0.120972036,0.201412418,0.358873743,0.815849633,0.957154422,-0.232336372,0.272223445,0.19253719,0.190870789,0.371146836,0.161563529,-0.074053509,-0.164587458,0.014601129
HDAC5 (Phospho-Ser259),0.350462522,1.177214222,0.519637486,-0.103529419,0.273893057,0.507515188,0.0143749,-0.207165913,-0.290332458,0.103486391,2.040395621,1.980672068,0.216643386,1.003048536,1.035816999,0.732257108,0.588729651,0.590162259,0.300052482,-0.129454997,0.212898564
HSL (Phospho-Ser552/563),-0.010585603,0.38236315,0.282291026,0.404763024,-0.166992353,0.36406604,-0.096064035,-0.036010397,1.576409284,0.319255555,1.03488893,2.057198284,0.09036606,1.123587848,0.417948937,0.432394986,0.272199509,0.571206101,0.430790203,0.420692028,-0.089601655
IkB-beta (Phospho-Thr19),0.709438281,1.774049632,0.521045591,1.352849471,0.327310998,0.611812669,0.133622755,0.414059505,0.651282014,0.950813065,1.278569986,1.763795731,0.164826564,0.914137318,0.658641383,0.792459598,0.734914581,1.00197342,0.833416429,0.329755383,0.826925744
IKK-alpha/beta (Phospho-Ser180/181),0.722449616,2.8989461,1.479198158,1.657081092,-0.108222019,0.896891112,-0.014371597,0.102000165,0.704031892,0.660185246,2.120740353,1.687174471,1.013389685,1.647602471,0.574068546,0.401676605,0.415384389,1.229312868,1.349061185,0.363307424,0.936935408
IKK-beta (Phospho-Tyr188),-0.167718762,0.45158175,0.863397166,-0.535050614,0.149389294,-0.047625798,0.023520556,-0.099739402,0.043233095,0.118148944,-0.557216565,1.360991436,-0.525135017,0.840342305,0.345268868,0.028963898,-0.208095414,0.533358825,0.123103855,-0.334896579,0.229266257
IKK-gamma (Phospho-Ser31),-0.040313556,0.552237772,0.561379999,0.2166259,0.297193259,0.348861907,-0.049871249,0.088851381,0.082986944,0.60581039,-0.227083459,-0.166205951,0.401152687,0.666058309,0.85504017,0.063870583,0.402782215,1.084938655,0.245129112,0.251562257,0.271117034
IRS-1 (Phospho-Ser1101),0.043222196,1.041772829,0.685899599,1.064165874,0.569221076,0.451492893,-0.306605107,-0.153263893,0.305542847,0.278147278,1.579384664,0.790306128,0.683940209,1.247759798,0.392988241,0.253988923,0.393427215,0.940955902,0.522081334,0.388347829,0.144603247
IRS-1 (Phospho-Ser612),0.169249231,1.107530217,0.534552877,0.633143804,0.196834998,0.539044902,0.258699271,0.282538611,-0.160792829,0.221640773,0.537939183,0.513905736,0.502910844,0.601515912,0.801898144,0.112170157,0.542052718,1.491871229,0.349697342,0.953955351,0.408675708
AKT1S1 (Phospho-Thr246),-0.056437037,0.060675693,0.233212998,-0.051257361,-0.062561865,-0.094370802,-0.103759416,-0.03755402,-0.164798259,-0.146302771,0.048658178,-0.075488818,0.015172506,0.017489332,-0.182508637,0.04360254,0.063192995,-0.075431148,-0.040189609,-0.032667445,-0.008071294
Arrestin-1 (Phospho-Ser412),-0.270368504,0.191564643,0.078502687,-0.240069253,-0.412330788,-0.344992713,-0.409772488,-0.278582463,-0.14950302,-0.199763443,0.293093669,-0.017901036,0.232412144,0.760721682,-0.174903297,-0.232119422,-0.120014232,-0.252453309,0.109165396,-0.118042857,-0.491552954
BCL-2 (Phospho-Ser87),0.43313795,0.846204104,0.636864611,0.040197356,0.151241803,0.063738367,0.005257074,0.298829888,-0.181842492,0.08322318,0.938050048,1.068183642,0.660504346,0.954224064,0.153535484,0.971853297,0.535272568,0.549169315,0.025599289,0.585958338,0.621363361
BID (Phospho-Ser78),-0.188317916,-0.0695508,-0.516847422,0.526365453,-0.10786979,-0.303848919,-0.494465313,-0.150906585,0.246342106,-0.472546788,-0.315907211,0.705000063,-0.050894664,-0.230003308,-0.099578995,0.12306781,-0.003294383,0.505108266,0.019118118,0.041255836,0.209276641
CD3Z (Phospho-Tyr142),-0.256454267,-0.224303911,-0.324073798,0.12097199,-0.32296637,-0.303395568,-0.330984825,-0.364510965,0.04133372,-0.352617793,-0.058243167,-0.690539327,-0.579927317,-0.910010927,-0.259016409,-0.364064164,-0.225781291,-0.153119386,-0.06402511,-0.466081571,-0.105410959
