,control,Quiescent 1h,Quiescent 6h,Quiescent 24h,Quiescent 96h,Rapamycin 1h,Rapamycin 6h,Rapamycin 24h,Rapamycin 96h,IGF 0.5h,IGF 1h,IGF 3h,IGF 6h,IGF 24h,Apoptosis 0.5h,Apoptosis 1h,Apoptosis 3h,Apoptosis 6h,Senescent 1h,Senescent 6h,Senescent 24h,Senescent 96h
NFkB-p100/p52 (Phospho-Ser865),1250,918,1289.5,1637,1980.5,740.5,2000,1723,1330.5,1328.5,1747.5,2002.5,924.5,1201,1878,1507.5,1382.5,1814.5,1214.5,1552.5,1151.5,884
NFkB-p100/p52 (Phospho-Ser869),905.5,1340.5,2474.5,1512,1513.5,1061.5,1243.5,1257,1165,1111,1343,1823,1488,1607,1629.5,1494.5,1082,1221,1517,1538,1517,1086.5
MKK4/SEK1 (Phospho-Ser80),1313,1427,1997,1665,2508.5,1076.5,1529,1164,1139.5,1108.5,1569.5,2500,1895.5,1656,1968.5,1509.5,1235.5,1353,1689.5,1611,1640.5,1021
ASK1 (Phospho-Ser966),1073.5,1263,1588.5,1457.5,1441.5,994.5,1446.5,1113,1084,1012,1352.5,2068.5,1709,1561.5,1934.5,1446,938.5,1195,1493.5,1425,1403,921
HDAC4 (Phospho-Ser632),1243.5,1127,2023,1529,1794,949,1355,1130,1047.5,931,1340.5,2218,1336.5,1692,1697.5,1528.5,1008,1319,1613,1553.5,1550.5,1073
HDAC5 (Phospho-Ser498),1943,2395.5,3092.5,2887.5,2606,1898.5,2661,2123,2388.5,1773.5,2144,3568,2764,2322,2891.5,2654.5,1630.5,2277,2777,2518,2604,1945.5
HDAC8 (Phospho-Ser39),894.5,1132,1591,1155.5,1358,795.5,1234,863,860.5,1049.5,1201,2236.5,1543,1324,1541.5,1218,775.5,860,1283,1253.5,1259,741
HSP27 (Phospho-Ser15),1299.5,1535,2139.5,1664.5,2062,1312,1879,1398.5,1497,1472.5,1687.5,2168.5,1357.5,1887,1837,1617.5,1242.5,1337,1886,1753,1578,1338.5
SMC1 (Phospho-Ser957),750,1142,1339,1394,1587,707.5,1425,824.5,816,1126.5,1204,2295,875,1592,1645,952.5,784,910,1491,1445.5,1229.5,736
BCR (Phospho-Tyr177),1235,1413.5,1830.5,1314.5,1792,1057,1527,1086,1183,1012,1335.5,2329.5,1697.5,2006.5,2460,1942.5,1256,1275,1699,1696,1769.5,925.5
MSK1 (Phospho-Ser376),879,804,1230,1119,1416.5,711.5,1023,723,782,669,945,1629,1032,1365,1351,931,633.5,661,1046.5,1054.5,1035,632.5
Paxillin (Phospho-Tyr31),1051.5,1149,1727,1085,1580.5,892.5,1162,954.5,941,943.5,1357,2259,1352.5,1616.5,1828.5,1260,992,1168,1476,1333.5,2128.5,829
Ezrin (Phospho-Thr566),1545,1638,2258.5,1817,2023,1319.5,1602.5,1340.5,1326,1133,1828,2575.5,1920,1848.5,2032.5,1906,1320.5,1377.5,2053.5,1889,2169,1252
Rac1/cdc42 (Phospho-Ser71),1016,1186.5,1430,1550,1534,788.5,1214.5,753,713,985,1269.5,2121.5,1355,1303,2098,1313.5,838,1364.5,1449.5,1447,1458.5,727
Raf1 (Phospho-Ser338),1079,1091.5,2134,1614.5,1553,960,1345.5,855,965,964.5,1208,2297.5,1155,1807,1953,1214.5,915.5,1177,1689.5,1625,1707.5,882.5
MEK1 (Phospho-Ser217),1011.5,1226.5,1796.5,947,1697,750,2499.5,970,1086,1016,1258,2090.5,1690,1477,1665.5,1456.5,925.5,995.5,1603.5,1263.5,1591,857.5
p21Cip1 (Phospho-Thr145),617,713.5,1180,924,1091.5,568,1877,540.5,591.5,721.5,894.5,1376,770,1302.5,1299.5,832,444.5,565,1104.5,1059,963,498
p27Kip1 (Phospho-Ser10),867.5,986.5,1723.5,1244.5,1448.5,862,1626,842.5,876.5,867.5,1051.5,1757,1331.5,1588,1533,1096,707,826.5,1426.5,1291,1218,727.5
p27Kip1 (Phospho-Thr187),675,839,1345.5,1058.5,1303.5,725,1207,818,826,1096.5,1082.5,1729.5,1054,1706,1696.5,1030.5,733.5,772,1355,1241.5,1251,762
Histone H3.1 (Phospho-Ser10),1267.5,1551.5,1868.5,1626.5,1464.5,961.5,1260.5,898.5,1029.5,912,996,2472,1951.5,1926.5,2077.5,1626,1519.5,1307,1700,1486.5,1742.5,925.5
ASK1 (Phospho-Ser83),1433,1626.5,1913.5,1976,1781.5,1053.5,1247,1450,1236.5,1050.5,1286.5,2002,1867,1764,1828.5,1594.5,1448,1286,1650,1454,1598.5,936.5
NFkB-p105/p50 (Ab-893),530,652,1065,805,901,544,916,534.5,565,689.5,790.5,1253,681.5,1014,1095.5,760,403.5,503.5,1063.5,986,778.5,470
NFkB-p105/p50 (Ab-907),790,962,1574.5,1190,1332,771,1266.5,764,775,923,1115.5,1704.5,1056,1281,1334,985.5,537.5,785.5,1294.5,1266,1073.5,687.5
Rel (Ab-503),728.5,782,1265.5,966,1235.5,665,1199.5,617.5,642,821.5,1012,1642.5,919,1133.5,1229,851.5,486.5,708,1278,1128,953.5,527.5
c-Jun (Ab-91),585.5,643,1039,833,963.5,508,871,466.5,473,602,769,1255.5,746.5,930.5,965,656.5,391,549.5,1894.5,866,717.5,420
c-Jun (Ab-93),1083,1062,1901.5,1345.5,2015,1044,1677,961,605,1501.5,1429.5,2371.5,1217.5,1591.5,1334,837,522,871,1706,1508,1280,547
c-Jun (Ab-170),619.5,680,1201.5,856,972.5,521.5,973.5,626,616.5,611.5,786,1470.5,964.5,1550.5,1133.5,750,417,609.5,1073,993,832.5,455.5
c-Jun (Ab-239),1039,1079,1717.5,1278.5,1432,752,1281.5,784,818.5,1137,1186.5,2125.5,1356,3833.5,1664,1174.5,903,940.5,1533.5,1313.5,1296,680.5
c-Jun (Ab-243),1356.5,1580,2201.5,1829,1895.5,1092,2093.5,1146,1110.5,1264.5,1776.5,2459,1544.5,6102,1695,1246.5,778,1163,1974,1700,1676.5,990
JunB (Ab-79),790.5,861,1406,1065.5,1121,691.5,1175.5,658,657,799.5,1025.5,1747.5,821,2308.5,1221,882,482,679.5,1269.5,1145,1452,625
JunB (Ab-259),583.5,690.5,1206,901,1049.5,547,926.5,549,586.5,633.5,870,1261,763.5,1112,1216.5,787.5,439,577,1121,1007.5,1715,568.5
JunD (Ab-255),484,550.5,1074,1830,880,516,951.5,468.5,479.5,581,820,1278.5,770.5,1088,1344.5,658.5,349,490,1013,847.5,889.5,697
ATF2 (Ab-62/44),1604.5,2870,3424,3263,2872.5,1413.5,2405,1159,1092,1120.5,1565,2579.5,1306,2823.5,2242.5,1373,636,1750.5,2785.5,2348,1800,1154.5
ATF2 (Ab-69/51),540,645,1241.5,925,938,601,1005,1683,551,666,744.5,1229.5,690.5,1375,1085,699.5,372.5,481.5,1107.5,927.5,887.5,458.5
ATF2 (Ab-71/53),606.5,695.5,1223.5,906.5,1101.5,531,1911.5,552,509.5,661.5,793,1372,783,1284,1138.5,720,352.5,528,1101,920.5,830.5,413.5
ATF2 (Ab-73/55),593.5,658.5,1142.5,902.5,1086.5,613.5,2058.5,555,572,717,839.5,1251,736,1237.5,1865,718.5,426.5,561.5,1108.5,1014.5,932.5,465.5
ATF2 (Ab-112/94),673,839,1293,1017.5,1168.5,589,1043.5,586.5,619,651,901,1532.5,881.5,1494.5,1522,838.5,493.5,620,1156.5,1094.5,989,531.5
Myc (Ab-58),1401,1463,2302,1795.5,2365,1260.5,1445.5,1020.5,1095.5,1321.5,1458.5,1983.5,1359,2075.5,1679,1241.5,954,1142.5,1623.5,1616,1560,1098.5
Myc (Ab-358),10506.5,13471,14373,12983.5,11287.5,9482,10160.5,8526,9370.5,7305.5,9219.5,12825,7838,13652.5,12501,11293,6795.5,9543,14221,11433,12404,8895.5
Myc (Ab-373),560.5,674.5,1088.5,898.5,959,513,822.5,587,525,705.5,770,1097.5,731.5,1099.5,1003,711,436.5,482.5,1106,940.5,831,465
FAK (Ab-397),748,815.5,1219,964.5,1196.5,767.5,1085.5,747.5,779,836.5,1012,1322,834.5,1167.5,1264,933.5,596.5,755,1228.5,1157,1013.5,648
Pyk2 (Ab-402),966.5,1127.5,1635,1275,1454.5,773,1439,671.5,710.5,880,1226.5,2279,1387.5,1453.5,1469,1057.5,614,838,1540.5,1353.5,1265.5,644.5
NFkB-p65 (Ab-529),1393.5,1723.5,2111,1741,2170,1170,2071,1105.5,1040.5,1238,1603,2910.5,1618,1947.5,1725,1480.5,858.5,1292,2164,1783.5,1660.5,939
Catenin beta (Ab-37),2350,2917.5,2713.5,2638.5,2776.5,1530,2299,1116.5,1193,1568.5,1934,3401.5,1955,2619.5,2214,1792,1028,1805.5,2948.5,2118.5,1982.5,1202
EGFR (Ab-1172),2141,2397.5,2822,2545.5,2638.5,1879.5,2566,2411,2456.5,2091,2420.5,2823,2232,2834.5,2569,2837.5,1929,2152.5,2617.5,2497,2493.5,2137.5
mTOR (Ab-2448),775,892.5,1398.5,1036.5,1194.5,678.5,1332.5,521.5,548.5,808.5,1038,2008,1036.5,1646.5,1224.5,773.5,469.5,689,1358,1106.5,1068.5,488
4E-BP1 (Ab-36),759.5,912,1444,1105.5,1177,1141,1341.5,578,571.5,1025.5,1048.5,1885,1062.5,1805.5,1198,812,483,702,1318,1135,1012,510.5
4E-BP1 (Ab-45),1235.5,1581.5,2323,1950,1777.5,1106,2188.5,1342.5,1277.5,1274.5,1802.5,2458,1628,7117.5,1819.5,1608,1132.5,1380.5,2060,1828,1838.5,1104.5
Stathmin 1 (Ab-24),681.5,711,1263,924,1013,577.5,1117.5,508,493.5,718,876.5,1597.5,880.5,3589,1321.5,762.5,420.5,645,1214,1004.5,986,507
Stathmin 1 (Ab-37),957,1030,1604,1221,1349.5,777,1262.5,715,713,915.5,1168,2033,1273,1632.5,1628.5,1035,649.5,825.5,1553,1246,1274,854.5
PDGFR beta (Ab-751),3152,3362,2571.5,3555,4643,1613.5,2014.5,1128.5,1123.5,1956.5,2087,3782.5,1653,2610.5,1975.5,1396.5,960,1349,2353.5,1693,1547.5,1353
Met (Ab-1234),770,860.5,1412,2310,1185.5,747.5,1105.5,744,645.5,815,997,1650,958.5,1473,1376,933.5,597,777.5,1343,1149,1107,654.5
EGFR (Ab-1197),1023,1261,1882,1523.5,1560.5,867,1258,1670,841.5,960.5,1201,2103,1316.5,1798.5,1721,1234,905,993.5,1517.5,1359,1373,749
EGFR (Ab-869),7076.5,9183,9480.5,8125.5,8269,5430.5,6213.5,3599,4445,4496,4914.5,9684,4787.5,10708,6794,5805.5,3069,6272,8845,7552,6770.5,5160.5
IRS-1 (Ab-636),777,869,1332,1031.5,1287.5,717.5,1128.5,586,595.5,830,967,1637,957,1547,1443,760.5,503,669,1336,1125,1109.5,512
IRS-1 (Ab-639),9552.5,18216,11107.5,11968,16027,8532,6716.5,3990,5184.5,6039,6799.5,11792.5,4198,11020,6020.5,4210,3387.5,8187.5,8678,5848.5,5578.5,5377
S6 Ribosomal Protein (Ab-235),731,886.5,1399,1058.5,1166,684.5,1005,622.5,606.5,823,970,1744.5,1084.5,1590,1498,928,524.5,714.5,1352.5,1108,1218.5,651
eIF4E (Ab-209),770,915,1510.5,1052.5,1215.5,659,1083,657,644,879,1025,1645,1004,1556.5,1449,923.5,553.5,678,1293.5,1135.5,1145,597
Stathmin 1 (Ab-15),863,1041,1624.5,1308,1168.5,969.5,1167,811.5,756.5,961,1256.5,1588.5,1043.5,1413.5,1543.5,1147,699,815.5,1588,1367.5,1204.5,650.5
DYN1 (Phospho-Ser774),1139.5,1404.5,2103,1951.5,1961.5,1157,1472.5,1186,1357.5,1283.5,1592.5,2094,1588,1582,1879,1270,865,1155,2047,1663,1470,1052.5
E2F1 (Phospho-Thr433),1367,1475.5,1901.5,1899.5,1866,1104,1609.5,1024,1015,1273.5,1388,3045,2099,1678.5,1770,1484.5,941,1289.5,1631,1542,1565.5,893
FAK (Phospho-Tyr576),1140.5,1335.5,1778,1514,1733,1037.5,1438.5,822,885.5,936,1308.5,2400,1451,1549,1559.5,1119.5,758.5,1029.5,1532,1405.5,1264.5,706.5
Fos (Phospho-Ser362),1077.5,1097,1913,1563.5,1595,889.5,1604,837,894.5,1161.5,1320,2816,1897.5,1565,1790.5,1281,878.5,1039,1684.5,1722.5,1602.5,782.5
GRF-1 (Phospho-Tyr1105),1185,1117,1920.5,1437.5,1527.5,913,1545,976.5,879.5,1169.5,1463.5,2785,1800,1703.5,1762.5,1266,849.5,1263,1719.5,1396,1420.5,839
HDAC5 (Phospho-Ser259),1103.5,1406,2271.5,1637,1475.5,1152,1644.5,885.5,777.5,915,1244.5,3387.5,2077.5,1857.5,2006,1515.5,957,1297.5,1797,1512.5,1344,821
HSL (Phospho-Ser552/563),854,963.5,1472,1160,1287.5,726,1212,641,665.5,1219.5,1040.5,2117,1631,1378.5,1599,982,669.5,867.5,1384,1228,1297,588.5
IkB-beta (Phospho-Thr19),823,1168,1901,1221.5,1502.5,878.5,1269,706.5,803,931,1221,2158,1486,1362,1463,1018,727.5,1028.5,1480.5,1354,1209,704
IKK-alpha/beta (Phospho-Ser180/181),850.5,1211.5,2367.5,1692,1639.5,745,1431.5,671,714,976.5,1158,2651,1512.5,1802.5,1794,1026,659.5,925.5,1610,1625,1265,744.5
IKK-beta (Phospho-Tyr188),1112.5,1184.5,1950,1852,1326.5,1100.5,1352,897.5,836,1041.5,1261.5,1717,1849.5,1421,1940.5,1250,747.5,860,1785.5,1423.5,1230,831
IKK-gamma (Phospho-Ser31),959.5,1071,1722.5,1444.5,1386,1011.5,1354.5,741,800,910.5,1284.5,1667,1074.5,1712,1598,1255,654,1038,1759,1288,1368.5,724
IRS-1 (Phospho-Ser1101),713.5,820.5,1428,1121,1233.5,837.5,1043.5,465,519.5,728,857,1997,1041.5,1383.5,1376,814,524,768.5,1265.5,1059.5,1071,522
IRS-1 (Phospho-Ser612),893.5,1073,1813,1332.5,1415.5,902.5,1345.5,819.5,820.5,778,1052,1954,1216.5,1644,1462,1151.5,621,1029.5,1788.5,1247.5,1617.5,696.5
AKT1S1 (Phospho-Thr246),1486,1649,2360,1980,2013,1331.5,1771.5,1110,1157,1292,1520,2822.5,1712,2337.5,2039,1386,1004.5,1352.5,2010.5,1776.5,1888.5,1046
Arrestin-1 (Phospho-Ser412),1162,1189,1909.5,1453.5,1500.5,862.5,1241,701,782.5,1016,1162.5,2374,1362.5,1966,1985,1087,696.5,950,1487,1478.5,1422.5,716
BCL-2 (Phospho-Ser87),1253.5,1639,2405.5,1937,1736.5,1241,1592.5,1000.5,1160,1083,1403,3036,1953.5,2414.5,2251,1321.5,1170.5,1440,2020,1541,2017,1025.5
BID (Phospho-Ser78),1126,1189.5,1726.5,1055,1743.5,986.5,1225.5,634.5,821,1127.5,997.5,1897.5,1609.5,1730.5,1419,1084,786,987,1794,1380.5,1476.5,837
CD3Z (Phospho-Tyr142),1490,1533,2187.5,1547.5,2104.5,1164.5,1622,954,947.5,1394,1395,2736.5,1391,1858.5,1419.5,1348.5,838.5,1138.5,1968,1763,1540.5,1022.5
CDK1/CDC2 (Phospho-Thr14),802,850.5,1319.5,1112,1180,716.5,908,644,683,742.5,901,1210,862,1232.5,1177.5,838.5,518.5,644.5,1125.5,1016,1045,620
FAK (Phospho-Ser910),1473,2394,2728.5,2062.5,2029,2275.5,1676,665.5,2021,1978.5,1445,2617,1824,1773,1970.5,956,1007,716,1800.5,2348.5,993.5,880
FosB (Phospho-Ser27),1021.5,1213.5,1697,1350.5,1459,809,1500,808,893.5,961.5,1232,2252.5,1632.5,1477,1601,994.5,744.5,971.5,1586,1205,1188.5,685
GRK1 (Phospho-Ser21),1566,1818.5,2668,1915.5,1903,1123,1803.5,955,1092.5,1021.5,1512.5,3297.5,2310.5,2008,2578,1897,1334,1592.5,2116,1822.5,2108.5,1143
HDAC3 (Phospho-Ser424),1391.5,1590.5,2232.5,1872,1838,1268,1727,1013,1076.5,1230,1583,2564.5,2061,1994,2284,1234,931,1229,1995,1720.5,1550.5,1061
HDAC6 (Phospho-Ser22),1874,2040,2842,2366,1854.5,1447,1823,1099,967,1557.5,1737.5,3780,1840,2307.5,1954.5,1361.5,1075.5,1296.5,2160,1591,1095,623
HER3/ErbB3 (Phospho-Tyr1222),946.5,1041,1740,1319,1453,855,1459,674,699,890.5,1131,2397.5,1291.5,1617.5,2544,1022,613.5,860,1474,1284.5,1288,611
HER3/ErbB3 (Phospho-Tyr1289),1037.5,1134,1769.5,1381,1475,832.5,1412,663.5,699.5,1184.5,1266,2538.5,1456.5,1713.5,1672,1110.5,642.5,873.5,1594.5,1323,1286,621.5
HER4/ErbB4 (Phospho-Tyr1284),2732,4166,4352,4309,3945,2282.5,3549.5,2098,2363.5,2648,2766.5,4292.5,2547.5,4454,2724,2809.5,1668,2902,3964.5,2766.5,3400.5,2136.5
PKA-R2B (Phospho-Ser113),1012,1332.5,2039,1420,2024,1207,1431.5,920,981,1089.5,1389.5,2506,1376.5,1465,1622.5,1096.5,840.5,1127.5,1562.5,1230.5,1329,988.5
Smad1 (Phospho-Ser187),975.5,1166.5,2207.5,1899,1657,1051.5,1324,767.5,848,994.5,1280,2517.5,1459.5,1749,1923.5,1076.5,708.5,1042.5,1878,1708,1474,936.5
Smad2 (Phospho-Ser250),720.5,869.5,1420.5,1066,1317,922,948,472.5,502,800,965,2064.5,1196.5,1610.5,1398,767,428.5,672.5,1452,1092.5,1021.5,595
Smad2 (Phospho-Thr220),937,1130,1834,1362.5,1429.5,2091.5,1276.5,653,690,912.5,1148.5,2504,1460.5,1740,1841.5,1078.5,685.5,1032.5,1557,1400.5,1334.5,762
Smad2/3 (Phospho-Thr8),1974.5,2530.5,3103.5,2684.5,2862.5,2784,2361.5,1679,1663.5,1739.5,2109,3538,2122.5,3136,2523.5,2174,1490.5,1970,2898.5,2531.5,2659,1658.5
Smad3 (Phospho-Thr179),1055,1207.5,1790,1278,1474.5,1334.5,1229.5,696.5,800,965.5,1128,2377,1263.5,1668.5,1536.5,1005.5,695.5,990.5,1531.5,1227.5,1353.5,714
Smad3 (Phospho-Ser204),890.5,1009.5,1646.5,1219.5,1314,849.5,1217.5,543,588,895.5,1057.5,2272,1326.5,1925,1511.5,910,555.5,768.5,1475,1272,1320,531
Smad3 (Phospho-Ser208),1057.5,1239,1962.5,1506.5,1509,956,1359.5,765,786,1026,1200.5,2681,1536,2267,1811.5,1209,768,991,1798.5,1537,1595.5,731
Smad3 (Phospho-Ser213),1457.5,2540,2933,3025.5,2879,1499,2341.5,1311.5,2147.5,2092.5,2594.5,4168.5,2163.5,4229,2620.5,2252,1528,2395.5,2413.5,2015.5,4154,1196.5
STAT5A (Phospho-Ser725),998,1110,1465,1283,1409,850.5,1163,738,785.5,873,1028.5,1918.5,1182.5,1858,1367,1025.5,654,850.5,1442,1221.5,1331,704
Calsenilin/KCNIP3 (Phospho-Ser63),2863.5,4046.5,3732.5,4412.5,3346,3299,2922.5,2805.5,2660.5,3130.5,2772,4197.5,2197.5,3425.5,2614.5,2269.5,2273.5,2735,3629.5,2877.5,3488,2460
NMDAR2B (Phospho-Tyr1472),1851.5,2079,2816,2309.5,2358,1916,2083,1228.5,1527.5,1565.5,1449.5,3232,2444,1783,2549,2048.5,1596,1900,2442.5,2338.5,1665.5,1435
PECAM-1 (Phospho-Tyr713),1354,1457.5,2356,1808.5,2062.5,1210.5,1701,1169.5,1109.5,1197,1509,2213,1606.5,1940.5,1924,1374,913.5,1266.5,1993.5,1738.5,1653.5,996.5
PTPRA (Phospho-Tyr798),1855,1886.5,3397,2233,2078,1526,2004,1489.5,1798.5,1464.5,2246,3352.5,2262,2562.5,2702,2459.5,1571.5,2240.5,2424,1876,2416,1746
TFII-I (Phospho-Tyr248),1711,1752.5,2759,1976,2046,1481.5,1889,1374,1471,1302,1568.5,3248.5,2531,2255.5,3034,2291,1385,1531,2468.5,2018.5,2258,1412.5
ACK1 (Phospho-Tyr284),1405.5,1412.5,2245,1702.5,1513,1019.5,1670.5,969.5,1053,1636.5,1609.5,2853.5,1941,1604.5,2139.5,1146.5,850,1051,1946,1448.5,1356.5,901
ALK (Phospho-Tyr1507),2364.5,2356,3446.5,2668.5,2491,1836,2501.5,2105,2029,2072.5,2431,3379,2424.5,2850,3066,2394.5,1821,2262,2858,2374.5,2516,1893.5
ALK (Phospho-Tyr1604),2143.5,2325,3255,2690.5,2602,1862,2569,2161.5,2491.5,2575.5,2419.5,3975.5,2912.5,3044,3003.5,2450.5,2011.5,2252,2937,2477.5,3112,2056
BLNK (Phospho-Tyr96),2561,2243.5,3502,2883.5,2450.5,1710.5,2050,2060,2355,1680.5,2304,4041,3306,3190,3704.5,2534,2048.5,2668,3414,2220,2628,2427.5
ETK (Phospho-Tyr40),1968.5,1499.5,2811,2470,2373.5,1317,2072,1415.5,1384,1389,1628,3423,1574.5,2316.5,2340,1626,1289,1303.5,2034.5,1718,1816,1269.5
Pim-1 (Phospho-Tyr309),1026,1165.5,1737.5,1408.5,1421,917.5,1297,832.5,876,1003,1208.5,2293,1374.5,1902,1645,1158.5,716,951.5,1737.5,1430,1437,838
PLD1 (Phospho-Ser561),1222,1538,2061,1560.5,1760,2766.5,1244,914,1022.5,1024,1408.5,2262,1553.5,1358.5,1747.5,927,730,1103,1594,1672.5,1470,1455.5
BCR (Phospho-Tyr360),1760,1800,2827.5,2069,2372.5,2582.5,1898,1542.5,1589,1566,1997,2827.5,1800,2471,2167.5,1752,1330,1730,2335.5,2058.5,2134,1943.5
Breast tumor kinase (Phospho-Tyr447),2093,1940.5,2810.5,2160.5,2009,2527,1999,1533,1825,1415.5,1881.5,3363,2453,2812.5,2700,2324,1737,1802.5,2575.5,2242,3825.5,1526.5
ADD1 (Phospho-Ser726),1198,1323,1745.5,1382.5,1498,1022.5,1223,663,715,885.5,1037.5,2181.5,1331,1858.5,1697.5,1019,677.5,1030.5,1557.5,1306,1425.5,646
CD5 (Phospho-Tyr453),3625,3979,4977,3136,3240.5,1952,1733.5,1544.5,1928.5,1365.5,1896.5,4804,3095,3545.5,3565,2463,3074.5,4422.5,4348.5,2949,3746,1974.5
M-CSF Receptor (Phospho-Tyr561),2356,2526.5,3310,2800.5,3276.5,2113,2322.5,1926,2383.5,2039.5,2241.5,3691,2390,2946,2358.5,1962.5,1973.5,2262,2746.5,2476.5,2721,1808.5
DAPP1 (Phospho-Tyr139),962.5,1296.5,1668,1056,1925,919,1080,885,977.5,1134,1368,1488,1456,1346.5,1142,950.5,747,1044.5,1204.5,1214.5,1276.5,707.5
DDX5/DEAD-box protein 5 (Phospho-Tyr593),2167.5,2244,3538.5,2372.5,2711.5,1721,2029.5,2017.5,2060,1749,2146,3036.5,2098,2151.5,2286,1933,1802.5,1948,2708,2657,3367,1887.5
HCK (Phospho-Tyr410),3346.5,2249,2625.5,3320.5,2540,2767,2614,2396,2119.5,2480,2594,1696,1967.5,2496,2245,1459,2142.5,2096,2314.5,2717.5,3165,2052.5
Raf1 (Ab-296),883.5,1037.5,1449.5,1192,1232.5,930,1104.5,753.5,793.5,917,950.5,1358.5,859,1114,1306,911,620,864.5,1284.5,1169,1036,699
Cyclin B1 (Ab-147),1262.5,1742,2230,1656,1372.5,920.5,1397,777.5,868.5,909.5,1189,2658.5,1990.5,1592,1939.5,1288,687,1216.5,1627,1480,1462.5,766
Cyclin E1 (Ab-77),14020,15724,17317,18674.5,13469,12801.5,13178.5,12066,13013,12259.5,14410.5,15013.5,11878.5,16380,11579.5,14514.5,9802.5,14351,16140.5,12268,14857,12699.5
eIF4G (Ab-1108),2193.5,2551.5,3455,2847,2883.5,2007,2564.5,1749,2039,3457.5,2265,3252.5,2188,2722,2517.5,2538,1376,2073,2951.5,2481.5,2570,1726
IRS-1 (Ab-794),780.5,820,1306,946,1149,612.5,1146.5,507,549.5,943.5,973,1666,843,1225,1125.5,733,391,631,1260.5,992.5,967,441.5
LAT (Ab-171),1398,1313,2293,1725,1610.5,1080,1390,864,854,1353,1126,1916,1199,1420.5,1469,1042,682,1130,1621,1395.5,1532.5,806
LKB1 (Ab-428),901.5,1052.5,1436,1128,1238,659,1194,614,561,993.5,1006,1932,966,1290,1227,897.5,470.5,672.5,1330.5,1104.5,1008,504.5
LKB1 (Ab-189),910.5,1585,1618,1126.5,1328,715,1141.5,646.5,657,832,1008,1687.5,959,1325.5,1353.5,907.5,556.5,730,1323.5,1139,1127.5,579.5
MEK1 (Ab-298),2139,10168,3784.5,2629.5,3656.5,3333.5,3339.5,1054.5,1857.5,1038.5,1391.5,2506,1861,3245.5,1610.5,1067,996.5,1557.5,2085.5,2217,1614,2821
