"","q","s","p"
"EGFR_(Ab-869)",0.957802083333333,0.928125,0.772291666666667
"IRS-1_(Ab-636)",1.20607291666667,1.13355729166667,1.28363541666667
"IRS-1_(Ab-639)",1.152796875,0.628713541666667,0.626989583333333
"S6_Ribosomal_Protein_(Ab-235)",1.254671875,1.366546875,1.48730208333333
"eIF4E_(Ab-209)",1.22100520833333,1.22294791666667,1.33046875
"Stathmin_1_(Ab-15)",1.20596875,1.18950520833333,1.20309375
"DYN1_(Phospho-Ser774)",1.39402083333333,1.223890625,1.28038541666667
"E2F1_(Phospho-Thr433)",1.11415104166667,0.969140625,1.44079166666667
"FAK_(Phospho-Tyr576)",1.15241666666667,0.950989583333333,1.29201041666667
"Fos_(Phospho-Ser362)",1.20521875,1.20747916666667,1.67398958333333
"GRF-1_(Phospho-Tyr1105)",1.03702604166667,1.03188020833333,1.48469791666667
"HDAC5_(Phospho-Ser259)",1.20486979166667,1.08391145833333,1.86196875
"HSL_(Phospho-Ser552/563)",1.17393229166667,1.1835,1.70207291666667
"IkB-beta_(Phospho-Thr19)",1.37749479166667,1.27995833333333,1.71165625
"IKK-alpha/beta_(Phospho-Ser180/181)",1.65215625,1.32956770833333,1.84758333333333
"IKK-beta_(Phospho-Tyr188)",1.20272395833333,1.029359375,1.2898125
"IKK-gamma_(Phospho-Ser31)",1.2201875,1.17566666666667,1.12288541666667
"IRS-1_(Phospho-Ser1101)",1.35093229166667,1.20817708333333,1.59735416666667
"IRS-1_(Phospho-Ser612)",1.278671875,1.35475,1.35957291666667
"AKT1S1_(Phospho-Thr246)",1.10560416666667,1.0585,1.169
"Arrestin-1_(Phospho-Ser412)",1.05608854166667,0.998921875,1.2215625
"BCL-2_(Phospho-Ser87)",1.23283333333333,1.26747395833333,1.51619791666667
"BID_(Phospho-Ser78)",0.999354166666667,1.10479166666667,1.21807291666667
"CD3Z_(Phospho-Tyr142)",0.992776041666667,0.950515625,1.04915625
"CDK1/CDC2_(Phospho-Thr14)",1.166609375,1.11797916666667,1.01903125
"FAK_(Phospho-Ser910)",1.17316666666667,0.79953125,1.17254166666667
"FosB_(Phospho-Ser27)",1.13143229166667,0.99940625,1.47196875
"GRK1_(Phospho-Ser21)",1.030578125,1.09966666666667,1.36985416666667
"HDAC3_(Phospho-Ser424)",1.10230729166667,1.03240104166667,1.30267708333333
"HDAC6_(Phospho-Ser22)",0.959901041666667,0.536057291666667,1.12527083333333
"HER3/ErbB3_(Phospho-Tyr1222)",1.2063125,1.08569270833333,1.47107291666667
"HER3/ErbB3_(Phospho-Tyr1289)",1.13496354166667,1.001546875,1.46572916666667
"HER4/ErbB4_(Phospho-Tyr1284)",1.2404375,1.07158333333333,0.970479166666667
"PKA-R2B_(Phospho-Ser113)",1.37075,1.22986458333333,1.46329166666667
"Smad1_(Phospho-Ser187)",1.516140625,1.36790625,1.55125
"Smad2_(Phospho-Ser250)",1.342609375,1.234109375,1.71520833333333
"Smad2_(Phospho-Thr220)",1.24004166666667,1.21967708333333,1.60213541666667
"Smad2/3_(Phospho-Thr8)",1.14804166666667,1.174875,1.10403125
"Smad3_(Phospho-Thr179)",1.08005208333333,1.047546875,1.30252083333333
"Smad3_(Phospho-Ser204)",1.17966145833333,1.118421875,1.53236458333333
"Smad3_(Phospho-Ser208)",1.1885,1.18380208333333,1.50709375
"Smad3_(Phospho-Ser213)",1.64275,1.79117708333333,1.66510416666667
"STAT5A_(Phospho-Ser725)",1.09385416666667,1.090125,1.19115625
"Calsenilin/KCNIP3_(Phospho-Ser63)",1.11530208333333,1.09800520833333,0.8639375
"NMDAR2B_(Phospho-Tyr1472)",1.041171875,0.952510416666667,1.18132291666667
"PECAM-1_(Phospho-Tyr713)",1.17021875,1.06784895833333,1.10676041666667
"PTPRA_(Phospho-Tyr798)",1.001484375,1.17849479166667,1.17948958333333
"TFII-I_(Phospho-Tyr248)",0.986140625,1.14441145833333,1.30516666666667
"ACK1_(Phospho-Tyr284)",0.97090625,0.882625,1.32145833333333
"ALK_(Phospho-Tyr1507)",0.918927083333333,1.00288541666667,0.966291666666667
"ALK_(Phospho-Tyr1604)",1.02538020833333,1.26602604166667,1.2563125
"BLNK_(Phospho-Tyr96)",0.878,1.05438541666667,1.12
"ETK_(Phospho-Tyr40)",1.00805729166667,0.842583333333333,0.950375
"Pim-1_(Phospho-Tyr309)",1.14056770833333,1.20171354166667,1.36670833333333
"PLD1_(Phospho-Ser561)",1.1210625,1.31244791666667,1.21305208333333
"BCR_(Phospho-Tyr360)",1.04019791666667,1.24798958333333,1.02711458333333
"Breast_tumor_kinase_(Phospho-Tyr447)",0.840307291666667,1.28197395833333,1.07686458333333
"ADD1_(Phospho-Ser726)",0.990739583333333,0.923671875,1.1161875
"CD5_(Phospho-Tyr453)",0.759640625,0.830213541666667,0.824322916666667
"M-CSF_Receptor_(Phospho-Tyr561)",1.04244270833333,1.02615625,1.00019791666667
"DAPP1_(Phospho-Tyr139)",1.22463020833333,1.10299479166667,1.243875
"DDX5/DEAD-box_protein_5_(Phospho-Tyr593)",0.980578125,1.26483333333333,0.929697916666667
"HCK_(Phospho-Tyr410)",0.710515625,0.820630208333333,0.469958333333333
"Raf1_(Ab-296)",1.13047395833333,1.08208333333333,0.981864583333333
"Cyclin_B1_(Ab-147)",1.03723958333333,0.956489583333333,1.41361458333333
"Cyclin_E1_(Ab-77)",0.956171875,1.04215625,0.7763125
"eIF4G_(Ab-1108)",1.07972916666667,1.0555625,0.98009375
"IRS-1_(Ab-794)",1.09883333333333,0.984385416666667,1.22767708333333
"LAT_(Ab-171)",1.0054375,0.89275,0.8633125
"LKB1_(Ab-428)",1.08049479166667,0.924489583333333,1.21794791666667
"LKB1_(Ab-189)",1.1289375,1.01689583333333,1.11661458333333
"MEK1_(Ab-298)",1.26666145833333,1.15536458333333,0.791895833333333
"MEK1_(Ab-286)",1.07399479166667,0.989791666666667,0.843375
"MSK1_(Ab-360)",1.14172395833333,1.13767708333333,0.74984375
"MSK1_(Ab-581)",1.04322916666667,1.00661979166667,0.850364583333333
"mTOR_(Ab-2481)",1.01558333333333,0.923885416666667,0.913291666666667
"PAK4_(Ab-474)",1.22371354166667,1.17182291666667,1.03203125
"PKC_alpha/beta_II_(Ab-638)",1.084125,0.886578125,0.999479166666667
"PKC_delta_(Ab-505)",1.06741666666667,1.08315104166667,1.10869791666667
"Cyclin_E2_(Phospho-Thr392)",0.728755208333333,0.7253125,0.79315625
"PKD1/PKC_mu_(Ab-744/748)",1.02604166666667,0.945,1.03894791666667
"PKD1/PKC_mu_(Ab-910)",1.13456770833333,0.968510416666667,1.02789583333333
"NFkB-p105/p50_(Phospho-Ser337)",1.067234375,1.26781770833333,0.983145833333333
"NFkB-p105/p50_(Phospho-Ser893)",0.906296875,1.816328125,0.898458333333333
"NFkB-p105/p50_(Phospho-Ser907)",0.769567708333333,0.958182291666667,0.822260416666667
"Rel_(Phospho-Ser503)",0.8305,0.807026041666667,1.2864375
"c-Jun_(Phospho-Thr91)",0.99609375,0.931630208333333,0.96434375
"c-Jun_(Phospho-Thr93)",1.08274479166667,0.762020833333333,0.624229166666667
"c-Jun_(Phospho-Tyr170)",1.00228125,0.930052083333333,1.01663541666667
"c-Jun_(Phospho-Thr239)",1.07308333333333,0.984994791666667,1.16363541666667
"c-Jun_(Phospho-Ser243)",1.30533333333333,1.306546875,1.48180208333333
"JunB_(Phospho-Ser79)",1.37816145833333,1.043109375,1.2344375
"JunB_(Phospho-Ser259)",1.07303645833333,1.10327083333333,1.2203125
"JunD_(Phospho-Ser255)",1.085234375,1.237546875,1.35611458333333
"ATF2_(Phospho-Ser62/44)",0.985432291666667,1.16625520833333,1.24464583333333
"ATF2_(Phospho-Thr69/51)",0.987921875,1.20626041666667,1.21170833333333
"ATF2_(Phospho-Thr71/53)",1.27197395833333,1.10391666666667,1.08745833333333
"ATF2_(Phospho-Thr73/55)",1.28064583333333,1.23272916666667,1.04007291666667
"ATF2_(Phospho-Ser112/94)",1.27066145833333,1.171296875,1.12463541666667
"Myc_(Phospho-Thr58)",1.05263020833333,1.02994270833333,1.0545
"Myc_(Phospho-Thr358)",1.000578125,1.088890625,0.88928125
"VASP_(Phospho-Ser157)",1.403078125,1.57964583333333,1.4420625
"Pyk2_(Phospho-Tyr402)",1.11585416666667,1.10848958333333,1.2068125
"NFkB-p65_(Phospho-Ser529)",1.27971354166667,1.33630729166667,1.35175
"Catenin_beta_(Phospho-Ser33)",1.04419270833333,1.05878125,1.21938541666667
"Catenin_beta_(Phospho-Ser37)",1.328203125,1.132453125,1.39951041666667
"EGFR_(Phospho-Tyr1172)",1.11769270833333,1.1018125,1.30669791666667
"mTOR_(Phospho-Ser2448)",1.31605729166667,1.12234375,1.17021875
"4E-BP1_(Phospho-Thr36)",1.161609375,1.139828125,1.30051041666667
"4E-BP1_(Phospho-Thr45)",1.11094791666667,1.01080729166667,1.18258333333333
"Stathmin_1_(Phospho-Ser24)",1.129890625,1.13878125,1.3228125
"Stathmin_1_(Phospho-Ser37)",1.12771354166667,1.11682291666667,1.26648958333333
"PDGFR_beta_(Phospho-Tyr751)",1.133234375,1.15997395833333,1.25376041666667
"Met_(Phospho-Tyr1234)",1.07192708333333,1.14303125,1.20183333333333
"EGFR_(Phospho-Tyr1197)",1.05486979166667,1.14911979166667,1.21814583333333
"EGFR_(Phospho-Tyr869)",0.696020833333333,0.757833333333333,0.661114583333333
"IRS-1_(Phospho-Ser636)",0.994796875,1.14375520833333,1.33534375
"IRS-1_(Phospho-Ser639)",1.25455208333333,1.19082291666667,0.993322916666667
"S6_Ribosomal_Protein_(Phospho-Ser235)",1.11046875,1.02128645833333,1.25404166666667
"eIF4E_(Phospho-Ser209)",1.13023958333333,1.03340625,0.968479166666667
"Elk1_(Ab-389)",1.48419270833333,1.443609375,1.50248958333333
"Elk1_(Ab-417)",1.48197916666667,1.46661979166667,1.65807291666667
"MEF2A_(Ab-312)",1.425296875,1.007765625,0.756020833333333
"MEF2A_(Ab-319)",1.260515625,1.15534895833333,1.20126041666667
"GATA1_(Ab-142)",1.335140625,1.30000520833333,1.40894791666667
"GATA1_(Ab-310)",1.22155208333333,1.154921875,1.25546875
"HNF4_alpha_(Ab-313)",1.4941875,1.184484375,1.3858125
"STAT1_(Ab-701)",1.45370833333333,1.31518229166667,1.50998958333333
"STAT3_(Ab-705)",1.04605729166667,1.07810416666667,1.15926041666667
"STAT3_(Ab-727)",1.172046875,1.0265,1.2030625
"STAT4_(Ab-693)",1.243546875,1.26198958333333,1.44779166666667
"STAT5A_(Ab-694)",1.15498958333333,1.12611979166667,1.26894791666667
"STAT5A_(Ab-780)",1.13559375,1.197453125,0.716520833333333
"STAT6_(Ab-641)",1.07334895833333,1.09910416666667,1.25161458333333
"STAT6_(Ab-645)",1.19109375,1.317296875,0.985208333333333
"CREB_(Ab-133)",0.939260416666667,1.09930729166667,1.05232291666667
"ATF4_(Ab-245)",0.72215625,0.604026041666667,0.740458333333333
"AKT1_(Ab-473)",1.01902604166667,0.98521875,1.13847916666667
"AKT1_(Ab-308)",1.08658854166667,1.06372916666667,1.10651041666667
"IRS-1_(Ab-307)",1.087421875,1.05214583333333,1.37488541666667
"Met_(Ab-1349)",1.19724479166667,1.12625,1.18701041666667
"FGFR1_(Ab-154)",1.12571875,1.00119791666667,1.26171875
"KIT_(Ab-721)",1.04770833333333,1.038390625,1.21340625
"SP1_(Ab-739)",1.20198958333333,1.18215104166667,1.31846875
"BAX_(Phospho-Thr167)",1.30148958333333,1.12865104166667,1.53705208333333
"eNOS_(Ab-495)",1.0313125,1.02490104166667,1.22113541666667
"CDK1/CDC2_(Ab-15)",1.081,1.11542708333333,1.324375
"p44/42MAPK_(Ab-202)",1.04891145833333,1.072015625,1.26634375
"p44/42_MAPK_(Ab-204)",1.11820833333333,1.106828125,1.38045833333333
"HSP27_(Ab-78)",1.19153645833333,1.0576875,1.46079166666667
"HSP27_(Ab-82)",1.07303125,0.986161458333333,0.96575
"SAPK/JNK_(Ab-183)",1.04371875,0.999395833333333,1.26277083333333
"SAPK/JNK_(Ab-185)",1.05830729166667,1.11965104166667,1.43822916666667
"NFkB-p105/p50_(Ab-932)",0.99871875,1.02365625,1.54109375
"p38_MAPK_(Ab-182)",0.976421875,0.632520833333333,0.612552083333333
"RelB_(Ab-552)",0.88628125,0.920161458333333,0.90615625
"Synuclein_alpha_(Ab-125)",0.99275,1.00271875,1.05726041666667
"Tau_(Ab-212)",1.02729166666667,0.841052083333333,0.721395833333333
"CREB_(Phospho-Ser121)",1.18114583333333,1.11927604166667,1.31
"EGFR_(Phospho-Tyr1016)",1.06840625,1.06401041666667,1.18235416666667
"FAK_(Phospho-Tyr407)",1.02951041666667,1.09920833333333,1.54098958333333
"FOXO1/3/4-pan_(Phospho-Thr24/32)",1.08592708333333,1.13159375,1.4585625
"FKHR/FOXO1A_(Phospho-Ser329)",1.23949479166667,1.14310416666667,1.80984375
"FOXO1A/3A_(Phospho-Ser322/325)",1.02558854166667,0.954083333333333,1.23732291666667
"GRK2_(Phospho-Ser29)",1.20177604166667,0.960635416666667,1.22098958333333
"IKK-beta_(Phospho-Tyr199)",1.27710416666667,1.17213541666667,1.31636458333333
"IRS-1_(Phospho-Ser323)",1.33844791666667,1.434515625,1.5505625
"JNK1/2/3_(Phospho-Thr183/Tyr185)",1.16341666666667,1.07253645833333,1.32797916666667
"LAT_(Phospho-Tyr191)",1.10309375,1.15505208333333,1.16779166666667
"LCK_(Phospho-Tyr504)",1.11830208333333,1.31547395833333,1.2961875
"LCK_(Phospho-Tyr192)",0.994541666666667,1.28213541666667,1.13219791666667
"MDM2_(Phospho-Ser166)",1.109046875,1.010640625,1.12471875
"MEF2D_(Phospho-Ser444)",1.132109375,1.08939583333333,1.99829166666667
"NFAT4_(Phospho-Ser165)",1.14888541666667,1.0395,1.25914583333333
"p53_(Phospho-Ser20)",0.960791666666667,1.03323958333333,1.0498125
"p53_(Phospho-Ser392)",1.269984375,1.10964583333333,1.32619791666667
"P70S6K_(Phospho-Thr229)",1.07053125,1.07948958333333,1.159625
"Caspase_1_(Phospho-Ser376)",1.164609375,0.987130208333333,1.12478125
"Caspase_2_(Phospho-Ser157)",1.309390625,1.11372395833333,1.37067708333333
"GRB10/Growth_factor_receptor-bound_protein_10_(Phospho-Tyr67)",1.14352604166667,1.05560416666667,1.31442708333333
"GTPase_activating_protein_(Phospho-Ser387)",1.11505208333333,1.08358854166667,1.53817708333333
"HSP90_co-chaperone_Cdc37_(Phospho-Ser13)",1.109234375,1.04352083333333,1.28122916666667
"IkB-alpha_(Phospho-Tyr305)",1.22295833333333,1.341109375,1.7949375
"MKP-1_(Phospho-Ser359)",1.092078125,1.05833854166667,1.35276041666667
"NFkB-p100/p52_(Phospho-Ser872)",3.55346875,1.779203125,2.709875
"PAK1/2_(Phospho-Ser199)",1.12333333333333,1.215984375,1.50023958333333
"RapGEF1_(Phospho-Tyr504)",1.18880208333333,1.181515625,1.5895625
"MAP3K7/TAK1_(Phospho-Thr184)",1.16430208333333,1.08614583333333,1.53371875
"eNOS_(Phospho-Ser615)",1.05046875,1.15638020833333,1.27670833333333
"IKK-gamma_(Phospho-Ser85)",0.967098958333333,1.11007291666667,1.33676041666667
"mTOR_(Phospho-Thr2446)",0.9840625,0.919036458333333,1.182125
"IGF2R_(Phospho-Ser2409)",0.934979166666667,1.07840104166667,1.77720833333333
"PI3-kinase_p85-subunit_alpha/gamma_(Phospho-Tyr467/Tyr199)",1.29422916666667,1.332640625,1.53255208333333
"PI3-kinase_p85-alpha_(Phospho-Tyr607)",0.332703125,0.327963541666667,0.429458333333333
"RGS16_(Phospho-Tyr168)",0.226984375,0.208880208333333,0.264677083333333
"Rho/Rac_guanine_nucleotide_exchange_factor_2_(Phospho-Ser885)",0.891276041666667,0.868661458333333,1.27959375
"NMDAR2A/B_(Phospho-Tyr1246/1252)",0.894494791666667,0.879244791666667,0.919302083333334
"VEGFR2_(Phospho-Tyr1054)",1.02907291666667,1.13285416666667,1.13020833333333
"Vinculin_(Phospho-Tyr821)",0.964114583333333,1.12033333333333,1.05833333333333
"HRS_(Phospho-Tyr334)",0.979182291666667,1.07327083333333,1.18745833333333
"IL-10R-alpha_(Phospho-Tyr496)",0.95696875,1.0151875,0.996135416666667
"IL-13R/CD213a1_(Phospho-Tyr405)",0.871546875,0.859614583333333,0.791010416666667
"IL-4R/CD124_(Phospho-Tyr497)",1.06477604166667,1.133609375,1.18239583333333
"IL7R/CD127_(Phospho-Tyr449)",0.484942708333333,0.47775,0.299489583333333
"Integrin_beta-4_(Phospho-Tyr1510)",0.85515625,0.983453125,1.03855208333333
"Kv1.3/KCNA3_(Phospho-Tyr135)",0.939057291666667,1.08565625,0.91328125
"Kv2.1/Kcnb1_(Phospho-Tyr128)",0.927598958333333,0.923572916666667,1.03646875
"CDK5_(Phospho-Tyr15)",0.795484375,0.965885416666667,0.7715
"STAM2_(Phospho-Tyr192)",0.977119791666667,1.23303645833333,1.03060416666667
"AXL_(Phospho-Tyr691)",0.949901041666667,1.09799479166667,1.29448958333333
"FER_(Phospho-Tyr402)",0.928270833333333,0.900713541666667,0.69703125
"FLT3_(Phospho-Tyr842)",0.758489583333333,0.903515625,0.795
"FLT3_(Phospho-Tyr969)",0.315640625,0.432880208333333,0.441489583333333
"ICK_(Phospho-Tyr159)",0.382197916666667,0.441265625,0.407260416666667
"BLNK_(Phospho-Tyr84)",0.978786458333333,1.06945833333333,0.996052083333333
"PLC_beta3_(Ab-537)",1.26336458333333,1.17350520833333,1.50652083333333
"Ras-GRF1_(Ab-916)",1.25779166666667,1.021484375,1.01035416666667
"14-3-3_theta/tau_(Ab-232)",1.09693229166667,0.829567708333333,1.06420833333333
"14-3-3_zeta/delta_(Ab-232)",1.59258854166667,1.20470833333333,0.83771875
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase_2_(PFKFB2)(Ab-483)",1.40933333333333,1.083,1.29359375
"Actin_Pan_(a/b/g)(Ab-55/53)",1.380328125,0.873119791666667,0.873979166666667
"A-RAF_(Ab-301/302)",1.17155208333333,1.05675520833333,1.24342708333333
"ATRIP_(Ab-68/72)",1.14929166666667,1.11865104166667,0.88621875
"BAX_(Ab-167)",1.21935416666667,1.22375,1.33163541666667
"BCL-2_(Ab-69)",1.18517708333333,1.15467708333333,1.39347916666667
"BCL-XL_(Ab-47)",0.8163125,0.420572916666667,0.561875
"B-RAF_(Ab-598)",0.741348958333333,0.509385416666667,0.42703125
"B-RAF_(Ab-601)",1.20563020833333,1.04808854166667,1.18592708333333
"Chk2_(Ab-383)",1.00554166666667,0.717869791666667,0.652791666666667
"Gab1_(Ab-659)",0.97040625,0.979453125,1.08551041666667
"HDAC1_(Ab-421)",8.15307291666667,8.70875520833333,5.77321875
"p38_MAPK_(Ab-322)",0.468145833333333,0.436604166666667,0.46628125
"PKC_alpha_(Ab-657)",0.178817708333333,0.177229166666667,0.19859375
"PKC_epsilon_(Ab-729)",1.03716666666667,0.905015625,1.01345833333333
"Myc_(Phospho-Ser373)",1.39819791666667,1.14330208333333,1.27677083333333
"Elk1_(Phospho-Ser389)",1.057765625,1.064875,1.31078125
"Elk1_(Phospho-Thr417)",1.29073958333333,1.3961875,1.11055208333333
"MEF2A_(Phospho-Thr312)",1.07914583333333,1.100734375,1.153
"MEF2A_(Phospho-Thr319)",1.28022916666667,1.383546875,1.37777083333333
"GATA1_(Phospho-Ser142)",1.23969270833333,1.51578125,1.63296875
"GATA1_(Phospho-Ser310)",1.01663541666667,1.245890625,1.41417708333333
"HNF4_alpha_(Phospho-Ser313)",1.06896354166667,1.30507291666667,1.38044791666667
"STAT1_(Phospho-Tyr701)",1.11336979166667,1.26827604166667,1.12365625
"STAT3_(Phospho-Tyr705)",1.41245833333333,1.46423958333333,1.19261458333333
"STAT3_(Phospho-Ser727)",0.988057291666667,1.03155208333333,1.393875
"STAT4_(Phospho-Tyr693)",1.12899479166667,1.174359375,1.06289583333333
"STAT5A_(Phospho-Tyr694)",1.13253645833333,1.34216145833333,1.29070833333333
"STAT5A_(Phospho-Ser780)",1.04851041666667,1.40447395833333,1.28635416666667
"STAT6_(Phospho-Tyr641)",1.17045833333333,1.25250520833333,1.20305208333333
"STAT6_(Phospho-Thr645)",1.226703125,1.09563541666667,1.02167708333333
"CREB_(Phospho-Ser133)",0.974703125,1.12077083333333,1.32210416666667
"ATF4_(Phospho-Ser245)",0.60471875,0.594166666666667,0.574020833333333
"AKT1_(Phospho-Ser473)",1.14431770833333,1.28577083333333,1.26863541666667
"Stathmin_1_(Phospho-Ser15)",1.23703645833333,1.14288541666667,1.37360416666667
"IRS-1_(Phospho-Ser307)",1.05195833333333,1.12563541666667,1.22125
"Met_(Phospho-Tyr1349)",1.24322916666667,1.22074479166667,1.43588541666667
"FGFR1_(Phospho-Tyr154)",1.07600520833333,1.096640625,1.154
"KIT_(Phospho-Tyr721)",0.787072916666667,1.00132291666667,0.900927083333333
"SP1_(Phospho-Thr739)",1.070078125,1.02902083333333,1.233625
"BRCA1_(Phospho-Ser1423)",0.855989583333333,1.56241666666667,0.933385416666667
"eNOS_(Phospho-Thr495)",1.30169270833333,1.40951041666667,1.60583333333333
"CDK1/CDC2_(Phospho-Tyr15)",1.321359375,1.52710416666667,1.437375
"p44/42_MAPK_(Phospho-Thr202)",1.3235,1.523359375,1.2170625
"p44/42_MAPK_(Phospho-Tyr204)",1.24913541666667,1.362046875,1.144
"HSP27_(Phospho-Ser78)",1.01390625,1.03920833333333,1.12288541666667
"HSP27_(Phospho-Ser82)",1.09438020833333,1.1554375,1.04288541666667
"SAPK/JNK_(Phospho-Thr183)",1.27806770833333,1.286140625,1.33259375
"SAPK/JNK_(Phospho-Tyr185)",1.03980729166667,1.10658854166667,1.21091666666667
"NFkB-p105/p50_(Phospho-Ser932)",1.00755208333333,1.10116145833333,1.29575
"p38_MAPK_(Phospho-Thr180)",1.15278645833333,1.156953125,1.15588541666667
"p38_MAPK_(Phospho-Tyr182)",0.720192708333333,0.682505208333333,0.83553125
"RelB_(Phospho-Ser552)",1.01319270833333,1.08456770833333,1.15309375
"PTEN_(Ab-380/382/383)",1.11119791666667,1.09453125,0.966239583333333
"PTEN_(Ab-370)",1.07238020833333,0.990916666666667,0.836541666666667
"P95/NBS1_(Ab-343)",0.7515,0.624588541666667,0.46834375
"BCL-2_(Ab-56)",1.00811979166667,0.879755208333333,1.13351041666667
