,GeneID,symbol
AKT1 (Ab-308),207,AKT1
IRS-1 (Ab-307),3667,IRS1
Met (Ab-1349),4233,MET
FGFR1 (Ab-154),2260,FGFR1
KIT (Ab-721),3815,KIT
SP1 (Ab-739),6667,SP1
BAX (Phospho-Thr167),581,BAX
eNOS (Ab-495),4846,NOS3
CDK1/CDC2 (Ab-15),983,CDK1
p44/42MAPK (Ab-202),5595/5594,MAPK3/MAPK1
p44/42 MAPK (Ab-204),5595/5594,MAPK3/MAPK1
HSP27 (Ab-78),3315,HSPB1
HSP27 (Ab-82),3315,HSPB1
SAPK/JNK (Ab-183),5599/5601/5602,MAPK8/MAPK9/MAPK10
SAPK/JNK (Ab-185),5599/5601/5602,MAPK8/MAPK9/MAPK10
NFkB-p105/p50 (Ab-932),4790,NFKB1
p38 MAPK (Ab-182),1432,MAPK14
RelB (Ab-552),5971,RELB
Synuclein alpha (Ab-125),6622,SNCA
Tau (Ab-212),4137,MAPT
CREB (Phospho-Ser121),1385,CREB1
EGFR (Phospho-Tyr1016),1956,EGFR
FAK (Phospho-Tyr407),5747,PTK2
FOXO1/3/4-pan (Phospho-Thr24/32),2308/4303,FOXO1/FOXO4
FKHR/FOXO1A (Phospho-Ser329),2308,FOXO1
FOXO1A/3A (Phospho-Ser322/325),2308,FOXO1
GRK2 (Phospho-Ser29),156,GRK2
IKK-beta (Phospho-Tyr199),3551,IKBKB
IRS-1 (Phospho-Ser323),3667,IRS1
JNK1/2/3 (Phospho-Thr183/Tyr185),5599/5601/5602,MAPK8/MAPK9/MAPK10
LAT (Phospho-Tyr191),27040,LAT
LCK (Phospho-Tyr504),3932,LCK
LCK (Phospho-Tyr192),3932,LCK
MDM2 (Phospho-Ser166),4193,MDM2
MEF2D (Phospho-Ser444),4209,MEF2D
NFAT4 (Phospho-Ser165),4775,NFATC3
p53 (Phospho-Ser20),7157,TP53
p53 (Phospho-Ser392),7157,TP53
P70S6K (Phospho-Thr229),6198,RPS6KB1
Caspase 1 (Phospho-Ser376),834,CASP1
Caspase 2 (Phospho-Ser157),835,CASP2
GRB10/Growth factor receptor-bound protein 10 (Phospho-Tyr67),2887,GRB10
GTPase activating protein (Phospho-Ser387),29127,RACGAP1
HSP90 co-chaperone Cdc37 (Phospho-Ser13),11140,CDC37
IkB-alpha (Phospho-Tyr305),4792,NFKBIA
MKP-1 (Phospho-Ser359),1843,DUSP1
NFkB-p100/p52 (Phospho-Ser872),4791,NFKB2
PAK1/2 (Phospho-Ser199),5058,PAK1
RapGEF1 (Phospho-Tyr504),2889,RAPGEF1
MAP3K7/TAK1 (Phospho-Thr184),6885,MAP3K7
eNOS (Phospho-Ser615),4846,NOS3
IKK-gamma (Phospho-Ser85),8517,IKBKG
mTOR (Phospho-Thr2446),2475,MTOR
IGF2R (Phospho-Ser2409),3482,IGF2R
PI3-kinase p85-subunit alpha/gamma (Phospho-Tyr467/Tyr199),5295/8503,PIK3R1/PIK3R3
PI3-kinase p85-alpha (Phospho-Tyr607),5295,PIK3R1
RGS16 (Phospho-Tyr168),6004,RGS16
Rho/Rac guanine nucleotide exchange factor 2 (Phospho-Ser885),9181,ARHGEF2
NMDAR2A/B (Phospho-Tyr1246/1252),2903/2904,GRIN2A/GRIN2B
VEGFR2 (Phospho-Tyr1054),3791,KDR
Vinculin (Phospho-Tyr821),7414,VCL
HRS (Phospho-Tyr334),9146,HGS
IL-10R-alpha (Phospho-Tyr496),3587,IL10RA
IL-13R/CD213a1 (Phospho-Tyr405),3597,IL13RA1
IL-4R/CD124 (Phospho-Tyr497),3566,IL4R
IL7R/CD127 (Phospho-Tyr449),3575,IL7R
Integrin beta-4 (Phospho-Tyr1510),3691,ITGB4
Kv1.3/KCNA3 (Phospho-Tyr135),3738,KCNA3
Kv2.1/Kcnb1 (Phospho-Tyr128),3745,KCNB1
CDK5 (Phospho-Tyr15),1020,CDK5
STAM2 (Phospho-Tyr192),10254,STAM2
AXL (Phospho-Tyr691),558,AXL
FER (Phospho-Tyr402),2241,FER
FLT3 (Phospho-Tyr842),2322,FLT3
FLT3 (Phospho-Tyr969),2322,FLT3
ICK (Phospho-Tyr159),22858,ICK
BLNK (Phospho-Tyr84),29760,BLNK
PLC beta3 (Ab-537),5331,PLCB3
Ras-GRF1 (Ab-916),5923,RASGRF1
14-3-3 theta/tau (Ab-232),10971,YWHAQ
14-3-3 zeta/delta (Ab-232),7534,YWHAZ
"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 (PFKFB2)(Ab-483)",5208,PFKFB2
Actin Pan (a/b/g)(Ab-55/53),58/70/71/72,ACTA1/ACTC1/ACTG1/ACTG2
A-RAF (Ab-301/302),369,ARAF
ATRIP (Ab-68/72),84126,ATRIP
BAX (Ab-167),581,BAX
BCL-2 (Ab-69),596,BCL2
BCL-XL (Ab-47),598,BCL2L1
B-RAF (Ab-598),673,BRAF
B-RAF (Ab-601),673,BRAF
Chk2 (Ab-383),11200,CHEK2
Gab1 (Ab-659),2549,GAB1
HDAC1 (Ab-421),3065,HDAC1
p38 MAPK (Ab-322),1432,MAPK14
PKC alpha (Ab-657),5578,PRKCA
PKC epsilon (Ab-729),5581,PRKCE
Myc (Phospho-Ser373),4609,MYC
Elk1 (Phospho-Ser389),2002,ELK1
Elk1 (Phospho-Thr417),2002,ELK1
MEF2A (Phospho-Thr312),4205,MEF2A
MEF2A (Phospho-Thr319),4205,MEF2A
GATA1 (Phospho-Ser142),2623,GATA1
GATA1 (Phospho-Ser310),2623,GATA1
HNF4 alpha (Phospho-Ser313),3172,HNF4A
STAT1 (Phospho-Tyr701),6772,STAT1
STAT3 (Phospho-Tyr705),6774,STAT3
STAT3 (Phospho-Ser727),6774,STAT3
STAT4 (Phospho-Tyr693),6775,STAT4
STAT5A (Phospho-Tyr694),6776,STAT5A
STAT5A (Phospho-Ser780),6776,STAT5A
STAT6 (Phospho-Tyr641),6778,STAT6
STAT6 (Phospho-Thr645),6778,STAT6
CREB (Phospho-Ser133),1385,CREB1
ATF4 (Phospho-Ser245),468,ATF4
AKT1 (Phospho-Ser473),207,AKT1
Stathmin 1 (Phospho-Ser15),3925,STMN1
IRS-1 (Phospho-Ser307),3667,IRS1
Met (Phospho-Tyr1349),4233,MET
FGFR1 (Phospho-Tyr154),2260,FGFR1
KIT (Phospho-Tyr721),3815,KIT
SP1 (Phospho-Thr739),6667,SP1
BRCA1 (Phospho-Ser1423),672,BRCA1
eNOS (Phospho-Thr495),4846,NOS3
CDK1/CDC2 (Phospho-Tyr15),983,CDK1
p44/42 MAPK (Phospho-Thr202),5595/5594,MAPK3/MAPK1
p44/42 MAPK (Phospho-Tyr204),5595/5594,MAPK3/MAPK1
HSP27 (Phospho-Ser78),3315,HSPB1
HSP27 (Phospho-Ser82),3315,HSPB1
SAPK/JNK (Phospho-Thr183),5599/5601/5602,MAPK8/MAPK9/MAPK10
SAPK/JNK (Phospho-Tyr185),5599/5601/5602,MAPK8/MAPK9/MAPK10
NFkB-p105/p50 (Phospho-Ser932),4790,NFKB1
p38 MAPK (Phospho-Thr180),1432,MAPK14
p38 MAPK (Phospho-Tyr182),1432,MAPK14
RelB (Phospho-Ser552),5971,RELB
PTEN (Ab-380/382/383),5728,PTEN
PTEN (Ab-370),5728,PTEN
P95/NBS1 (Ab-343),4683,NBN
BCL-2 (Ab-56),596,BCL2
BCL-2 (Ab-70),596,BCL2
NFkB-p65 (Phospho-Thr505),5970,RELA
BAD (Ab-112),572,BAD
BAD (Ab-136),572,BAD
BAD (Ab-155),572,BAD
Estrogen Receptor-alpha (Ab-104),2099,ESR1
Estrogen Receptor-alpha (Ab-106),2099,ESR1
Estrogen Receptor-alpha (Ab-118),2099,ESR1
Estrogen Receptor-alpha (Ab-167),2099,ESR1
Progesterone Receptor (Ab-190),5241,PGR
HER2 (Ab-877),2064,ERBB2
HER2 (Ab-1221/1222),2064,ERBB2
HER2 (Ab-1248),2064,ERBB2
EGFR (Ab-1070),1956,EGFR
EGFR (Ab-1092),1956,EGFR
Connexin 43 (Ab-367),2697,GJA1
DAB1 (Ab-232),1600,DAB1
NFkB-p65 (Ab-311),5970,RELA
GluR1 (Ab-849),2890,GRIA1
GluR1 (Ab-863),2890,GRIA1
HSF1 (Ab-303),3297,HSF1
EGFR (Ab-1110),1956,EGFR
MARCKS (Ab-163),4082,MARCKS
Merlin (Ab-518),4771,NF2
Synapsin (Ab-9),6853,SYN1
Histone H2A.X (Ab-139),3014,H2AFX
P70S6K (Ab-411),6198,RPS6KB1
Tau (Ab-422),4137,MAPT
Cortactin (Ab-421),2017,CTTN
Cortactin (Ab-466),2017,CTTN
CREB (Ab-129),1385,CREB1
DAB1 (Ab-220),1600,DAB1
DARPP-32 (Ab-34),84152,PPP1R1B
Dok-1 (Ab-362),1796,DOK1
P70S6K (Phospho-Ser371),6198,RPS6KB1
P70S6K (Phospho-Thr389),6198,RPS6KB1
P70S6K (Phospho-Ser418),6198,RPS6KB1
P90RSK (Phospho-Thr359/Ser363),6195,RPS6KA1
P90RSK (Phospho-Ser380),6195,RPS6KA1
P90RSK (Phospho-Thr573),6195,RPS6KA1
PAK1 (Phospho-Thr212),5058,PAK1
PAK1/2/3 (Phospho-Thr423/402/421),5058/5062/5063,PAK1/PAK2/PAK3
PAK1/2/3 (Phospho-Ser141),5058/5062/5063,PAK1/PAK2/PAK3
PEA-15 (Phospho-Ser116),8682,PEA15
PKA CAT (Phospho-Thr197),5566,PRKACA
PP2A-alpha (Phospho-Tyr307),5515,PPP2CA
Raf1 (Phospho-Tyr341),5894,RAF1
Raf1 (Phospho-Ser621),5894,RAF1
RyR2 (Phospho-Ser2808),6262,RYR2
SYK (Phospho-Tyr323),6850,SYK
Synapsin (Phospho-Ser62),6853,SYN1
Tuberin/TSC2 (Phospho-Ser939),7249,TSC2
Tuberin/TSC2 (Phospho-Thr1462),7249,TSC2
VAV2 (Phospho-Tyr142),7410,VAV2
Catenin beta (Phospho-Tyr489),1499,CTNNB1
CREB (Phospho-Thr100),1385,CREB1
Ezrin (Phospho-Tyr478),7430,EZR
p53 (Phospho-Ser366),7157,TP53
p53 (Phospho-Ser378),7157,TP53
Rb (Phospho-Ser608),5925,RB1
SRF (Phospho-Ser77),6722,SRF
Trk A (Phospho-Tyr701),4914,NTRK1
Trk A (Phospho-Tyr680/681),4914,NTRK1
Abl1 (Phospho-Thr754/735),25,ABL1
B-RAF (Phospho-Ser446),673,BRAF
CaMK2-beta/gamma/delta (Phospho-Thr287),816/818/817,CAMK2B/CAMK2G/CAMK2D
MAP3K1/MEKK1 (Phospho-Thr1381),4214,MAP3K1
MKK3/MAP2K3 (Phospho-Thr222),5606,MAP2K3
MKK7/MAP2K7 (Phospho-Ser271),5609,MAP2K7
MKK7/MAP2K7 (Phospho-Thr275),5609,MAP2K7
MSK1 (Phospho-Ser212),9252,RPS6KA5
MSK2 (Phospho-Thr568),8986,RPS6KA4
VE-Cadherin (Phospho-Tyr731),1003,CDH5
WWOX (Phospho-Tyr33),51741,WWOX
Claudin 3 (Phospho-Tyr219),1365,CLDN3
Claudin 6 (Phospho-Tyr219),9074,CLDN6
Claudin 7 (Phospho-Tyr210),1366,CLDN7
PLD2 (Phospho-Tyr169),5338,PLD2
AMPK1/AMPK2 (Ab-485/491),5562/5563,PRKAA1/PRKAA2
MKK6/MAP2K6 (Ab-207),5608,MAP2K6
p38 MAPK (Ab-180),1432,MAPK14
Catenin beta (Ab-33),1499,CTNNB1
P70S6K (Ab-421),6198,RPS6KB1
GSK3 alpha/beta (Ab-216/279),2931,GSK3A
Caspase 8 (Ab-347),841,CASP8
CDC25B (Ab-323),994,CDC25B
Cyclin B1 (Ab-126),891,CCNB1
Cyclin E1 (Ab-395),898,CCNE1
KSR (Ab-392),8844,KSR1
PLC beta3 (Ab-1105),5331,PLCB3
STAT5B (Ab-731),6777,STAT5B
PKC pan activation site,5578/5579/5580/5581/5582/5583/5588/5590,PRKCA/PRKCB/PRKCD/PRKCE/PRKCG/PRKCH/PRKCQ/PRKCZ
PKC zeta (Ab-560),5590,PRKCZ
PKD1/PKC mu (Ab-205),5587,PRKD1
PKD1/PKC mu (Ab-463),5587,PRKD1
PKD2 (Ab-876),25865,PRKD2
Rb (Ab-811),5925,RB1
Rb-like-2 (RBL2)(Ab-952),5934,RBL2
AKT1 (Ab-326),207,AKT1
BAD (Ab-91/128),572,BAD
BAD (Ab-134),572,BAD
Calmodulin (Ab-79/81),801/805/808,CALM1/CALM2/CALM3
CaMK1-alpha (Ab-177),8536,CAMK1
CaMK4 (Ab-196/200),814,CAMK4
Caspase 9 (Ab-153),842,CASP9
Caspase 9 (Ab-144),842,CASP9
Caspase 9 (Ab-196),842,CASP9
Caspase 3 (Ab-150),836,CASP3
Catalase (Ab-385),847,CAT
Catenin beta (Ab-654),1499,CTNNB1
Fos (Ab-374),2353,FOS
Gab2 (Ab-623),9846,GAB2
MAPKAPK2 (Ab-272),9261,MAPKAPK2
MEF2C (Ab-396),4208,MEF2C
MKP-1/2 (Ab-296/318),1843/1846,DUSP1/DUSP4
NFAT3 (Ab-168/170),4776,NFATC4
SREBP-1 (Ab-439),6720,SREBF1
Tuberin/TSC2 (Ab-981),7249,TSC2
MKK4/SEK1 (Ab-80),6416,MAP2K4
Ephrin B2 (Ab-330),1947/1948,EFNB1/EFNB2
p130Cas (Ab-410),9564,BCAR1
PLCG1 (Ab-771),5335,PLCG1
PLCG1 (Ab-783),5335,PLCG1
LYN (Ab-507),4067,LYN
PLCG2 (Ab-753),5336,PLCG2
ATF1 (Ab-63),466,ATF1
CD19 (Ab-531),930,CD19
ATPase (Ab-16),476,ATP1A1
FGFR1 (Ab-766),2260,FGFR1
AKT1 (Phospho-Thr308),207,AKT1
PTEN (Phospho-Ser380/Thr382/Thr383),5728,PTEN
P95/NBS1 (Phospho-Ser343),4683,NBN
P73 (Phospho-Tyr99),7161,TP73
FAK (Phospho-Tyr861),5747,PTK2
Integrin beta-3 (Phospho-Tyr773),3690,ITGB3
Chk2 (Phospho-Thr68),11200,CHEK2
PTEN (Phospho-Ser370),5728,PTEN
Ezrin (Phospho-Tyr353),7430,EZR
BCL-2 (Phospho-Thr56),596,BCL2
BCL-2 (Phospho-Ser70),596,BCL2
BCL-XL (Phospho-Ser62),598,BCL2L1
BAD (Phospho-Ser112),572,BAD
BAD (Phospho-Ser136),572,BAD
BAD (Phospho-Ser155),572,BAD
Estrogen Receptor-alpha (Phospho-Ser104),2099,ESR1
Estrogen Receptor-alpha (Phospho-Ser106),2099,ESR1
Estrogen Receptor-alpha (Phospho-Ser118),2099,ESR1
Estrogen Receptor-alpha (Phospho-Ser167),2099,ESR1
Synuclein alpha (Phospho-Tyr125),6622,SNCA
Tau (Phospho-Thr212),4137,MAPT
Connexin 43 (Phospho-Ser367),2697,GJA1
DAB1 (Phospho-Tyr232),1600,DAB1
NFkB-p65 (Phospho-Ser311),5970,RELA
GluR1 (Phospho-Ser849),2890,GRIA1
GluR1 (Phospho-Ser863),2890,GRIA1
HSF1 (Phospho-Ser303),3297,HSF1
EGFR (Phospho-Tyr1110),1956,EGFR
MARCKS (Phospho-Ser163),4082,MARCKS
Merlin (Phospho-Ser518),4771,NF2
Synapsin (Phospho-Ser9),6853,SYN1
Histone H2A.X (Phospho-Ser139),3014,H2AFX
P70S6K (Phospho-Ser411),6198,RPS6KB1
Tau (Phospho-Ser422),4137,MAPT
Cortactin (Phospho-Tyr421),2017,CTTN
Cortactin (Phospho-Tyr466),2017,CTTN
CREB (Phospho-Ser129),1385,CREB1
DAB1 (Phospho-Tyr220),1600,DAB1
P73 (Ab-99),7161,TP73
FAK (Ab-861),5747,PTK2
VEGFR2 (Ab-1175),3791,KDR
VEGFR2 (Ab-1214),3791,KDR
VEGFR2 (Ab-951),3791,KDR
IGF1R (Ab-1161),3480,IGF1R
IGF1R (Ab-1165/1166),3480,IGF1R
Integrin beta-3 (Ab-773),3690,ITGB3
p53 (Ab-6),7157,TP53
p53 (Ab-9),7157,TP53
p53 (Ab-15),7157,TP53
p53 (Ab-18),7157,TP53
Chk2 (Ab-68),11200,CHEK2
p53 (Ab-33),7157,TP53
p53 (Ab-37),7157,TP53
p53 (Ab-46),7157,TP53
p53 (Ab-315),7157,TP53
Tau (Ab-356),4137,MAPT
Tau (Ab-396),4137,MAPT
Dok-1 (Ab-398),1796,DOK1
Dok-2 (Ab-299),9046,DOK2
eIF2A (Ab-51),1965,EIF2S1
PKR (Ab-446),5610,EIF2AK2
GAP43 (Ab-41),2596,GAP43
Integrin beta-3 (Ab-785),3690,ITGB3
Ret (Ab-905),5979,RET
P70S6K (Ab-424),6198,RPS6KB1
Synuclein alpha (Ab-133),6622,SNCA
CaMK2A (Ab-286),815,CAMK2A
BIM (Ab-69/65),10018,BCL2L11
CPI17 alpha (Ab-38),94274,PPP1R14A
PKR (Ab-451),5610,EIF2AK2
Gab1 (Ab-627),2549,GAB1
GluR2 (Ab-880),2891,GRIA2
MARCKS (Ab-158),4082,MARCKS
MEK1 (Ab-291),5604,MAP2K1
NMDAR1 (Ab-897),2902,GRIN1
PKC delta (Ab-645),5580,PRKCD
Tyrosine Hydroxylase (Phospho-Ser8),7054,TH
VEGFR1 (Phospho-Tyr1333),2321,FLT1
VEGFR2 (Phospho-Tyr1059),3791,KDR
WASP (Phospho-Tyr290),7454,WAS
Zap-70 (Phospho-Tyr292),7535,ZAP70
Zap-70 (Phospho-Tyr315),7535,ZAP70
AKT1 (Phospho-Tyr474),207,AKT1
AKT1 (Phospho-Ser246),207,AKT1
AKT1 (Phospho-Thr72),207,AKT1
c-Abl (Phospho-Tyr245),25,ABL1
CDC25C (Phospho-Thr48),995,CDC25C
